Maximum,193.6,@,No.984,,,,,,
Minimum,-0.2,@,No.2,,,,,,
Average,48.76,,,,,,,,
Data Quantity,1889,,,,,,,,
Number of NG,0,,,,,,,,
No.,Force,Unit,Displacement,Unit,Judge,Position,Time,Date,
1,0.0,gf,0.000,mm,OK,--,9:19:06 PM,2/24/2026,
2,-0.2,gf,0.000,mm,OK,--,9:19:06 PM,2/24/2026,
3,0.0,gf,0.000,mm,OK,--,9:19:06 PM,2/24/2026,
4,0.0,gf,0.000,mm,OK,--,9:19:06 PM,2/24/2026,
5,0.0,gf,0.000,mm,OK,--,9:19:06 PM,2/24/2026,
6,0.0,gf,0.000,mm,OK,--,9:19:06 PM,2/24/2026,
7,0.0,gf,0.000,mm,OK,--,9:19:06 PM,2/24/2026,
8,0.0,gf,0.000,mm,OK,--,9:19:06 PM,2/24/2026,
9,0.0,gf,0.005,mm,OK,--,9:19:07 PM,2/24/2026,
10,0.0,gf,0.005,mm,OK,--,9:19:07 PM,2/24/2026,
11,0.0,gf,0.005,mm,OK,--,9:19:07 PM,2/24/2026,
12,0.0,gf,0.010,mm,OK,--,9:19:07 PM,2/24/2026,
13,0.0,gf,0.010,mm,OK,--,9:19:07 PM,2/24/2026,
14,0.0,gf,0.015,mm,OK,--,9:19:07 PM,2/24/2026,
15,0.0,gf,0.015,mm,OK,--,9:19:07 PM,2/24/2026,
16,0.0,gf,0.020,mm,OK,--,9:19:07 PM,2/24/2026,
17,0.0,gf,0.020,mm,OK,--,9:19:07 PM,2/24/2026,
18,0.0,gf,0.025,mm,OK,--,9:19:07 PM,2/24/2026,
19,0.0,gf,0.030,mm,OK,--,9:19:08 PM,2/24/2026,
20,1.8,gf,0.030,mm,OK,--,9:19:08 PM,2/24/2026,
21,5.4,gf,0.035,mm,OK,--,9:19:08 PM,2/24/2026,
22,8.0,gf,0.040,mm,OK,--,9:19:08 PM,2/24/2026,
23,9.5,gf,0.040,mm,OK,--,9:19:08 PM,2/24/2026,
24,11.4,gf,0.045,mm,OK,--,9:19:08 PM,2/24/2026,
25,13.6,gf,0.045,mm,OK,--,9:19:08 PM,2/24/2026,
26,16.7,gf,0.050,mm,OK,--,9:19:08 PM,2/24/2026,
27,19.9,gf,0.050,mm,OK,--,9:19:08 PM,2/24/2026,
28,23.4,gf,0.055,mm,OK,--,9:19:08 PM,2/24/2026,
29,26.1,gf,0.060,mm,OK,--,9:19:09 PM,2/24/2026,
30,28.6,gf,0.060,mm,OK,--,9:19:09 PM,2/24/2026,
31,30.6,gf,0.060,mm,OK,--,9:19:09 PM,2/24/2026,
32,31.7,gf,0.065,mm,OK,--,9:19:09 PM,2/24/2026,
33,32.7,gf,0.065,mm,OK,--,9:19:09 PM,2/24/2026,
34,33.4,gf,0.065,mm,OK,--,9:19:09 PM,2/24/2026,
35,34.2,gf,0.065,mm,OK,--,9:19:09 PM,2/24/2026,
36,35.3,gf,0.065,mm,OK,--,9:19:09 PM,2/24/2026,
37,36.4,gf,0.070,mm,OK,--,9:19:09 PM,2/24/2026,
38,37.4,gf,0.070,mm,OK,--,9:19:09 PM,2/24/2026,
39,38.3,gf,0.070,mm,OK,--,9:19:10 PM,2/24/2026,
40,39.4,gf,0.070,mm,OK,--,9:19:10 PM,2/24/2026,
41,40.5,gf,0.070,mm,OK,--,9:19:10 PM,2/24/2026,
42,41.7,gf,0.075,mm,OK,--,9:19:10 PM,2/24/2026,
