Maximum,192.5,@,No.1039,,,,,,
Minimum,-0.1,@,No.2,,,,,,
Average,48.28,,,,,,,,
Data Quantity,1755,,,,,,,,
Number of NG,0,,,,,,,,
No.,Force,Unit,Displacement,Unit,Judge,Position,Time,Date,
1,0.0,gf,0.000,mm,OK,--,2:00:27 PM,11/27/2025,
2,-0.1,gf,0.000,mm,OK,--,2:00:27 PM,11/27/2025,
3,0.0,gf,0.000,mm,OK,--,2:00:27 PM,11/27/2025,
4,0.0,gf,0.005,mm,OK,--,2:00:27 PM,11/27/2025,
5,0.0,gf,0.005,mm,OK,--,2:00:27 PM,11/27/2025,
6,0.0,gf,0.005,mm,OK,--,2:00:27 PM,11/27/2025,
7,0.0,gf,0.010,mm,OK,--,2:00:27 PM,11/27/2025,
8,0.0,gf,0.010,mm,OK,--,2:00:28 PM,11/27/2025,
9,0.0,gf,0.010,mm,OK,--,2:00:28 PM,11/27/2025,
10,0.0,gf,0.015,mm,OK,--,2:00:28 PM,11/27/2025,
11,0.0,gf,0.015,mm,OK,--,2:00:28 PM,11/27/2025,
12,0.0,gf,0.015,mm,OK,--,2:00:28 PM,11/27/2025,
13,0.0,gf,0.015,mm,OK,--,2:00:28 PM,11/27/2025,
14,0.0,gf,0.020,mm,OK,--,2:00:28 PM,11/27/2025,
15,0.0,gf,0.020,mm,OK,--,2:00:28 PM,11/27/2025,
16,0.0,gf,0.020,mm,OK,--,2:00:28 PM,11/27/2025,
17,0.0,gf,0.025,mm,OK,--,2:00:28 PM,11/27/2025,
18,0.0,gf,0.025,mm,OK,--,2:00:29 PM,11/27/2025,
19,0.0,gf,0.025,mm,OK,--,2:00:29 PM,11/27/2025,
20,-0.1,gf,0.030,mm,OK,--,2:00:29 PM,11/27/2025,
21,0.0,gf,0.030,mm,OK,--,2:00:29 PM,11/27/2025,
22,0.0,gf,0.030,mm,OK,--,2:00:29 PM,11/27/2025,
23,0.0,gf,0.030,mm,OK,--,2:00:29 PM,11/27/2025,
24,0.0,gf,0.030,mm,OK,--,2:00:29 PM,11/27/2025,
25,0.0,gf,0.035,mm,OK,--,2:00:29 PM,11/27/2025,
26,0.0,gf,0.035,mm,OK,--,2:00:29 PM,11/27/2025,
27,0.0,gf,0.035,mm,OK,--,2:00:29 PM,11/27/2025,
28,0.0,gf,0.035,mm,OK,--,2:00:30 PM,11/27/2025,
29,0.0,gf,0.040,mm,OK,--,2:00:30 PM,11/27/2025,
30,0.0,gf,0.040,mm,OK,--,2:00:30 PM,11/27/2025,
31,0.0,gf,0.045,mm,OK,--,2:00:30 PM,11/27/2025,
32,0.0,gf,0.045,mm,OK,--,2:00:30 PM,11/27/2025,
33,0.0,gf,0.050,mm,OK,--,2:00:30 PM,11/27/2025,
34,0.0,gf,0.050,mm,OK,--,2:00:30 PM,11/27/2025,
35,2.3,gf,0.055,mm,OK,--,2:00:30 PM,11/27/2025,
36,4.7,gf,0.060,mm,OK,--,2:00:30 PM,11/27/2025,
37,7.2,gf,0.060,mm,OK,--,2:00:30 PM,11/27/2025,
38,8.0,gf,0.065,mm,OK,--,2:00:31 PM,11/27/2025,
39,8.5,gf,0.065,mm,OK,--,2:00:31 PM,11/27/2025,
40,9.2,gf,0.070,mm,OK,--,2:00:31 PM,11/27/2025,
41,9.6,gf,0.070,mm,OK,--,2:00:31 PM,11/27/2025,
42,9.8,gf,0.070,mm,OK,--,2:00:31 PM,11/27/2025,
43,10.7,gf,0.070,mm,OK,--,2:00:31 PM,11/27/2025,
44,11.7,gf,0.075,mm,OK,--,2:00:31 PM,11/27/2025,
45,13.2,gf,0.075,mm,OK,--,2:00:31 PM,11/27/2025,
46,14.5,gf,0.075,mm,OK,--,2:00:31 PM,11/27/2025,
47,15.3,gf,0.075,mm,OK,--,2:00:31 PM,11/27/2025,
48,16.0,gf,0.080,mm,OK,--,2:00:32 PM,11/27/2025,
49,16.6,gf,0.080,mm,OK,--,2:00:32 PM,11/27/2025,
50,17.0,gf,0.080,mm,OK,--,2:00:32 PM,11/27/2025,
51,17.5,gf,0.080,mm,OK,--,2:00:32 PM,11/27/2025,
52,17.9,gf,0.080,mm,OK,--,2:00:32 PM,11/27/2025,
53,18.3,gf,0.080,mm,OK,--,2:00:32 PM,11/27/2025,
54,18.8,gf,0.080,mm,OK,--,2:00:32 PM,11/27/2025,
55,19.4,gf,0.080,mm,OK,--,2:00:32 PM,11/27/2025,
56,19.7,gf,0.080,mm,OK,--,2:00:32 PM,11/27/2025,
57,20.0,gf,0.080,mm,OK,--,2:00:32 PM,11/27/2025,
58,20.9,gf,0.085,mm,OK,--,2:00:33 PM,11/27/2025,
59,22.1,gf,0.085,mm,OK,--,2:00:33 PM,11/27/2025,
60,23.3,gf,0.085,mm,OK,--,2:00:33 PM,11/27/2025,
61,24.4,gf,0.085,mm,OK,--,2:00:33 PM,11/27/2025,
