Maximum,192.7,@,No.930,,,,,,
Minimum,-0.2,@,No.1,,,,,,
Average,53.21,,,,,,,,
Data Quantity,1927,,,,,,,,
Number of NG,0,,,,,,,,
No.,Force,Unit,Displacement,Unit,Judge,Position,Time,Date,
1,-0.2,gf,0.000,mm,OK,--,6:46:07 PM,1/26/2026,
2,-0.1,gf,0.000,mm,OK,--,6:46:07 PM,1/26/2026,
3,0.4,gf,0.000,mm,OK,--,6:46:07 PM,1/26/2026,
4,0.2,gf,0.005,mm,OK,--,6:46:07 PM,1/26/2026,
5,0.1,gf,0.005,mm,OK,--,6:46:08 PM,1/26/2026,
6,0.2,gf,0.005,mm,OK,--,6:46:08 PM,1/26/2026,
7,0.1,gf,0.010,mm,OK,--,6:46:08 PM,1/26/2026,
8,0.0,gf,0.010,mm,OK,--,6:46:08 PM,1/26/2026,
9,-0.1,gf,0.015,mm,OK,--,6:46:08 PM,1/26/2026,
10,-0.1,gf,0.015,mm,OK,--,6:46:08 PM,1/26/2026,
11,0.1,gf,0.020,mm,OK,--,6:46:08 PM,1/26/2026,
12,0.1,gf,0.020,mm,OK,--,6:46:08 PM,1/26/2026,
13,-0.1,gf,0.025,mm,OK,--,6:46:08 PM,1/26/2026,
14,0.0,gf,0.025,mm,OK,--,6:46:08 PM,1/26/2026,
15,0.1,gf,0.025,mm,OK,--,6:46:09 PM,1/26/2026,
16,0.0,gf,0.030,mm,OK,--,6:46:09 PM,1/26/2026,
17,0.0,gf,0.030,mm,OK,--,6:46:09 PM,1/26/2026,
18,0.1,gf,0.035,mm,OK,--,6:46:09 PM,1/26/2026,
19,0.0,gf,0.035,mm,OK,--,6:46:09 PM,1/26/2026,
20,-0.1,gf,0.035,mm,OK,--,6:46:09 PM,1/26/2026,
21,-0.1,gf,0.035,mm,OK,--,6:46:09 PM,1/26/2026,
22,0.2,gf,0.040,mm,OK,--,6:46:09 PM,1/26/2026,
23,0.0,gf,0.040,mm,OK,--,6:46:09 PM,1/26/2026,
24,-0.1,gf,0.045,mm,OK,--,6:46:09 PM,1/26/2026,
25,0.0,gf,0.045,mm,OK,--,6:46:10 PM,1/26/2026,
26,0.0,gf,0.050,mm,OK,--,6:46:10 PM,1/26/2026,
27,-0.1,gf,0.050,mm,OK,--,6:46:10 PM,1/26/2026,
28,-0.1,gf,0.050,mm,OK,--,6:46:10 PM,1/26/2026,
29,0.0,gf,0.050,mm,OK,--,6:46:10 PM,1/26/2026,
30,0.0,gf,0.055,mm,OK,--,6:46:10 PM,1/26/2026,
31,-0.1,gf,0.055,mm,OK,--,6:46:10 PM,1/26/2026,
32,-0.1,gf,0.060,mm,OK,--,6:46:10 PM,1/26/2026,
33,0.1,gf,0.060,mm,OK,--,6:46:10 PM,1/26/2026,
34,0.0,gf,0.065,mm,OK,--,6:46:10 PM,1/26/2026,
35,0.0,gf,0.070,mm,OK,--,6:46:11 PM,1/26/2026,
36,-0.1,gf,0.070,mm,OK,--,6:46:11 PM,1/26/2026,
37,0.1,gf,0.075,mm,OK,--,6:46:11 PM,1/26/2026,
38,0.0,gf,0.080,mm,OK,--,6:46:11 PM,1/26/2026,
39,3.6,gf,0.085,mm,OK,--,6:46:11 PM,1/26/2026,
40,6.9,gf,0.090,mm,OK,--,6:46:11 PM,1/26/2026,
41,10.7,gf,0.095,mm,OK,--,6:46:11 PM,1/26/2026,
42,12.9,gf,0.095,mm,OK,--,6:46:11 PM,1/26/2026,
43,14.0,gf,0.100,mm,OK,--,6:46:11 PM,1/26/2026,
44,15.6,gf,0.100,mm,OK,--,6:46:11 PM,1/26/2026,
45,18.4,gf,0.105,mm,OK,--,6:46:12 PM,1/26/2026,
46,22.1,gf,0.110,mm,OK,--,6:46:12 PM,1/26/2026,
47,25.8,gf,0.110,mm,OK,--,6:46:12 PM,1/26/2026,
48,28.1,gf,0.115,mm,OK,--,6:46:12 PM,1/26/2026,
49,29.3,gf,0.120,mm,OK,--,6:46:12 PM,1/26/2026,
50,31.1,gf,0.125,mm,OK,--,6:46:12 PM,1/26/2026,
51,33.0,gf,0.125,mm,OK,--,6:46:12 PM,1/26/2026,
52,34.5,gf,0.130,mm,OK,--,6:46:12 PM,1/26/2026,
53,35.8,gf,0.130,mm,OK,--,6:46:12 PM,1/26/2026,
54,36.5,gf,0.130,mm,OK,--,6:46:12 PM,1/26/2026,
55,37.0,gf,0.135,mm,OK,--,6:46:13 PM,1/26/2026,
56,37.1,gf,0.140,mm,OK,--,6:46:13 PM,1/26/2026,
57,36.9,gf,0.140,mm,OK,--,6:46:13 PM,1/26/2026,
58,36.9,gf,0.145,mm,OK,--,6:46:13 PM,1/26/2026,
59,36.9,gf,0.150,mm,OK,--,6:46:13 PM,1/26/2026,
60,36.8,gf,0.155,mm,OK,--,6:46:13 PM,1/26/2026,
61,36.9,gf,0.160,mm,OK,--,6:46:13 PM,1/26/2026,
62,36.9,gf,0.165,mm,OK,--,6:46:13 PM,1/26/2026,
63,36.8,gf,0.165,mm,OK,--,6:46:13 PM,1/26/2026,
64,37.0,gf,0.170,mm,OK,--,6:46:13 PM,1/26/2026,
65,37.0,gf,0.180,mm,OK,--,6:46:14 PM,1/26/2026,
66,36.8,gf,0.185,mm,OK,--,6:46:14 PM,1/26/2026,
67,36.8,gf,0.190,mm,OK,--,6:46:14 PM,1/26/2026,
68,36.6,gf,0.195,mm,OK,--,6:46:14 PM,1/26/2026,
69,36.6,gf,0.195,mm,OK,--,6:46:14 PM,1/26/2026,
70,36.6,gf,0.200,mm,OK,--,6:46:14 PM,1/26/2026,
71,36.5,gf,0.205,mm,OK,--,6:46:14 PM,1/26/2026,
72,36.5,gf,0.205,mm,OK,--,6:46:14 PM,1/26/2026,
73,36.5,gf,0.210,mm,OK,--,6:46:14 PM,1/26/2026,
74,36.5,gf,0.210,mm,OK,--,6:46:14 PM,1/26/2026,
75,36.4,gf,0.215,mm,OK,--,6:46:15 PM,1/26/2026,
76,36.4,gf,0.220,mm,OK,--,6:46:15 PM,1/26/2026,
77,36.4,gf,0.225,mm,OK,--,6:46:15 PM,1/26/2026,
78,36.4,gf,0.225,mm,OK,--,6:46:15 PM,1/26/2026,
79,36.4,gf,0.230,mm,OK,--,6:46:15 PM,1/26/2026,
80,36.5,gf,0.235,mm,OK,--,6:46:15 PM,1/26/2026,
81,36.5,gf,0.240,mm,OK,--,6:46:15 PM,1/26/2026,
82,36.6,gf,0.250,mm,OK,--,6:46:15 PM,1/26/2026,
83,36.6,gf,0.255,mm,OK,--,6:46:15 PM,1/26/2026,
84,36.5,gf,0.260,mm,OK,--,6:46:15 PM,1/26/2026,
85,36.6,gf,0.265,mm,OK,--,6:46:16 PM,1/26/2026,
86,36.7,gf,0.275,mm,OK,--,6:46:16 PM,1/26/2026,
87,36.7,gf,0.280,mm,OK,--,6:46:16 PM,1/26/2026,
88,36.7,gf,0.290,mm,OK,--,6:46:16 PM,1/26/2026,
89,36.6,gf,0.295,mm,OK,--,6:46:16 PM,1/26/2026,
90,36.8,gf,0.305,mm,OK,--,6:46:16 PM,1/26/2026,
91,36.7,gf,0.315,mm,OK,--,6:46:16 PM,1/26/2026,
92,36.8,gf,0.325,mm,OK,--,6:46:16 PM,1/26/2026,
93,36.7,gf,0.330,mm,OK,--,6:46:16 PM,1/26/2026,
94,36.8,gf,0.340,mm,OK,--,6:46:16 PM,1/26/2026,
95,36.8,gf,0.345,mm,OK,--,6:46:17 PM,1/26/2026,
96,36.8,gf,0.355,mm,OK,--,6:46:17 PM,1/26/2026,
97,36.8,gf,0.360,mm,OK,--,6:46:17 PM,1/26/2026,
98,36.7,gf,0.365,mm,OK,--,6:46:17 PM,1/26/2026,
99,36.8,gf,0.365,mm,OK,--,6:46:17 PM,1/26/2026,
100,36.9,gf,0.370,mm,OK,--,6:46:17 PM,1/26/2026,
101,37.0,gf,0.370,mm,OK,--,6:46:17 PM,1/26/2026,
