Maximum,193.1,@,No.1035,,,,,,
Minimum,-0.4,@,No.1893,,,,,,
Average,48.21,,,,,,,,
Data Quantity,1922,,,,,,,,
Number of NG,0,,,,,,,,
No.,Force,Unit,Displacement,Unit,Judge,Position,Time,Date,
1,0.0,gf,0.000,mm,OK,--,7:07:08 PM,3/4/2026,
2,0.0,gf,0.000,mm,OK,--,7:07:08 PM,3/4/2026,
3,0.0,gf,0.000,mm,OK,--,7:07:08 PM,3/4/2026,
4,0.0,gf,0.000,mm,OK,--,7:07:08 PM,3/4/2026,
5,0.0,gf,0.000,mm,OK,--,7:07:08 PM,3/4/2026,
6,0.0,gf,0.000,mm,OK,--,7:07:09 PM,3/4/2026,
7,0.0,gf,0.000,mm,OK,--,7:07:09 PM,3/4/2026,
8,0.0,gf,0.000,mm,OK,--,7:07:09 PM,3/4/2026,
9,0.1,gf,0.005,mm,OK,--,7:07:09 PM,3/4/2026,
10,-0.1,gf,0.005,mm,OK,--,7:07:09 PM,3/4/2026,
11,0.0,gf,0.010,mm,OK,--,7:07:09 PM,3/4/2026,
12,0.0,gf,0.015,mm,OK,--,7:07:09 PM,3/4/2026,
13,0.0,gf,0.020,mm,OK,--,7:07:09 PM,3/4/2026,
14,0.0,gf,0.025,mm,OK,--,7:07:09 PM,3/4/2026,
15,0.0,gf,0.035,mm,OK,--,7:07:09 PM,3/4/2026,
16,0.0,gf,0.050,mm,OK,--,7:07:10 PM,3/4/2026,
17,0.0,gf,0.060,mm,OK,--,7:07:10 PM,3/4/2026,
18,0.1,gf,0.065,mm,OK,--,7:07:10 PM,3/4/2026,
19,0.0,gf,0.065,mm,OK,--,7:07:10 PM,3/4/2026,
20,0.0,gf,0.070,mm,OK,--,7:07:10 PM,3/4/2026,
21,0.1,gf,0.070,mm,OK,--,7:07:10 PM,3/4/2026,
22,0.0,gf,0.070,mm,OK,--,7:07:10 PM,3/4/2026,
23,0.0,gf,0.070,mm,OK,--,7:07:10 PM,3/4/2026,
24,0.0,gf,0.070,mm,OK,--,7:07:10 PM,3/4/2026,
25,0.0,gf,0.075,mm,OK,--,7:07:10 PM,3/4/2026,
26,0.0,gf,0.075,mm,OK,--,7:07:11 PM,3/4/2026,
27,0.0,gf,0.080,mm,OK,--,7:07:11 PM,3/4/2026,
28,0.0,gf,0.080,mm,OK,--,7:07:11 PM,3/4/2026,
29,0.0,gf,0.085,mm,OK,--,7:07:11 PM,3/4/2026,
30,0.0,gf,0.085,mm,OK,--,7:07:11 PM,3/4/2026,
31,0.0,gf,0.090,mm,OK,--,7:07:11 PM,3/4/2026,
32,-0.1,gf,0.090,mm,OK,--,7:07:11 PM,3/4/2026,
33,0.0,gf,0.095,mm,OK,--,7:07:11 PM,3/4/2026,
34,0.0,gf,0.095,mm,OK,--,7:07:11 PM,3/4/2026,
35,0.0,gf,0.100,mm,OK,--,7:07:11 PM,3/4/2026,
36,1.8,gf,0.100,mm,OK,--,7:07:12 PM,3/4/2026,
37,3.1,gf,0.100,mm,OK,--,7:07:12 PM,3/4/2026,
38,4.3,gf,0.105,mm,OK,--,7:07:12 PM,3/4/2026,
39,5.2,gf,0.105,mm,OK,--,7:07:12 PM,3/4/2026,
40,6.2,gf,0.105,mm,OK,--,7:07:12 PM,3/4/2026,
41,7.0,gf,0.105,mm,OK,--,7:07:12 PM,3/4/2026,
42,7.8,gf,0.105,mm,OK,--,7:07:12 PM,3/4/2026,
43,9.0,gf,0.110,mm,OK,--,7:07:12 PM,3/4/2026,
44,10.9,gf,0.110,mm,OK,--,7:07:12 PM,3/4/2026,
45,12.8,gf,0.115,mm,OK,--,7:07:12 PM,3/4/2026,
46,14.1,gf,0.115,mm,OK,--,7:07:13 PM,3/4/2026,
47,14.8,gf,0.115,mm,OK,--,7:07:13 PM,3/4/2026,
48,15.3,gf,0.115,mm,OK,--,7:07:13 PM,3/4/2026,
49,15.9,gf,0.115,mm,OK,--,7:07:13 PM,3/4/2026,
50,16.5,gf,0.115,mm,OK,--,7:07:13 PM,3/4/2026,
51,17.3,gf,0.115,mm,OK,--,7:07:13 PM,3/4/2026,
52,17.8,gf,0.120,mm,OK,--,7:07:13 PM,3/4/2026,
53,18.4,gf,0.120,mm,OK,--,7:07:13 PM,3/4/2026,
54,19.1,gf,0.120,mm,OK,--,7:07:13 PM,3/4/2026,
55,19.5,gf,0.120,mm,OK,--,7:07:13 PM,3/4/2026,
56,19.9,gf,0.120,mm,OK,--,7:07:14 PM,3/4/2026,
57,20.4,gf,0.120,mm,OK,--,7:07:14 PM,3/4/2026,
58,21.0,gf,0.120,mm,OK,--,7:07:14 PM,3/4/2026,
59,21.6,gf,0.120,mm,OK,--,7:07:14 PM,3/4/2026,
60,22.4,gf,0.120,mm,OK,--,7:07:14 PM,3/4/2026,
61,23.2,gf,0.125,mm,OK,--,7:07:14 PM,3/4/2026,
62,24.2,gf,0.125,mm,OK,--,7:07:14 PM,3/4/2026,
63,25.3,gf,0.125,mm,OK,--,7:07:14 PM,3/4/2026,
64,26.5,gf,0.125,mm,OK,--,7:07:14 PM,3/4/2026,
65,27.9,gf,0.130,mm,OK,--,7:07:14 PM,3/4/2026,
66,29.4,gf,0.130,mm,OK,--,7:07:15 PM,3/4/2026,
67,31.7,gf,0.130,mm,OK,--,7:07:15 PM,3/4/2026,
68,33.9,gf,0.135,mm,OK,--,7:07:15 PM,3/4/2026,
69,35.8,gf,0.140,mm,OK,--,7:07:15 PM,3/4/2026,
70,37.0,gf,0.140,mm,OK,--,7:07:15 PM,3/4/2026,
71,37.6,gf,0.145,mm,OK,--,7:07:15 PM,3/4/2026,
72,38.1,gf,0.150,mm,OK,--,7:07:15 PM,3/4/2026,
73,38.6,gf,0.150,mm,OK,--,7:07:15 PM,3/4/2026,
74,39.1,gf,0.155,mm,OK,--,7:07:15 PM,3/4/2026,
75,39.8,gf,0.155,mm,OK,--,7:07:15 PM,3/4/2026,
76,40.3,gf,0.160,mm,OK,--,7:07:16 PM,3/4/2026,
77,40.6,gf,0.165,mm,OK,--,7:07:16 PM,3/4/2026,
78,40.3,gf,0.165,mm,OK,--,7:07:16 PM,3/4/2026,
79,40.2,gf,0.170,mm,OK,--,7:07:16 PM,3/4/2026,
80,40.3,gf,0.170,mm,OK,--,7:07:16 PM,3/4/2026,
81,40.3,gf,0.175,mm,OK,--,7:07:16 PM,3/4/2026,
82,40.3,gf,0.175,mm,OK,--,7:07:16 PM,3/4/2026,
83,40.4,gf,0.180,mm,OK,--,7:07:16 PM,3/4/2026,
84,40.2,gf,0.180,mm,OK,--,7:07:16 PM,3/4/2026,
85,40.2,gf,0.185,mm,OK,--,7:07:16 PM,3/4/2026,
86,40.1,gf,0.185,mm,OK,--,7:07:17 PM,3/4/2026,
87,40.2,gf,0.185,mm,OK,--,7:07:17 PM,3/4/2026,
88,40.2,gf,0.185,mm,OK,--,7:07:17 PM,3/4/2026,
89,40.2,gf,0.190,mm,OK,--,7:07:17 PM,3/4/2026,
90,40.2,gf,0.190,mm,OK,--,7:07:17 PM,3/4/2026,
91,40.1,gf,0.195,mm,OK,--,7:07:17 PM,3/4/2026,
92,40.1,gf,0.200,mm,OK,--,7:07:17 PM,3/4/2026,
93,40.1,gf,0.205,mm,OK,--,7:07:17 PM,3/4/2026,
94,40.1,gf,0.205,mm,OK,--,7:07:17 PM,3/4/2026,
95,40.0,gf,0.210,mm,OK,--,7:07:17 PM,3/4/2026,
96,40.1,gf,0.210,mm,OK,--,7:07:18 PM,3/4/2026,
97,40.0,gf,0.215,mm,OK,--,7:07:18 PM,3/4/2026,
98,40.0,gf,0.215,mm,OK,--,7:07:18 PM,3/4/2026,
99,39.9,gf,0.220,mm,OK,--,7:07:18 PM,3/4/2026,
100,39.9,gf,0.220,mm,OK,--,7:07:18 PM,3/4/2026,
101,40.1,gf,0.220,mm,OK,--,7:07:18 PM,3/4/2026,
102,40.0,gf,0.225,mm,OK,--,7:07:18 PM,3/4/2026,
103,39.9,gf,0.225,mm,OK,--,7:07:18 PM,3/4/2026,
104,40.0,gf,0.225,mm,OK,--,7:07:18 PM,3/4/2026,
105,39.9,gf,0.230,mm,OK,--,7:07:18 PM,3/4/2026,
106,39.8,gf,0.230,mm,OK,--,7:07:19 PM,3/4/2026,
