Maximum,191.9,@,No.1103,,,,,,
Minimum,-0.1,@,No.10,,,,,,
Average,53.01,,,,,,,,
Data Quantity,2132,,,,,,,,
Number of NG,0,,,,,,,,
No.,Force,Unit,Displacement,Unit,Judge,Position,Time,Date,
1,0.0,gf,0.000,mm,OK,--,7:11:22 PM,3/4/2026,
2,0.0,gf,0.000,mm,OK,--,7:11:22 PM,3/4/2026,
3,0.0,gf,0.000,mm,OK,--,7:11:22 PM,3/4/2026,
4,0.0,gf,0.000,mm,OK,--,7:11:22 PM,3/4/2026,
5,0.0,gf,0.000,mm,OK,--,7:11:22 PM,3/4/2026,
6,0.1,gf,0.000,mm,OK,--,7:11:22 PM,3/4/2026,
7,0.0,gf,0.005,mm,OK,--,7:11:23 PM,3/4/2026,
8,0.0,gf,0.005,mm,OK,--,7:11:23 PM,3/4/2026,
9,0.0,gf,0.005,mm,OK,--,7:11:23 PM,3/4/2026,
10,-0.1,gf,0.010,mm,OK,--,7:11:23 PM,3/4/2026,
11,-0.1,gf,0.010,mm,OK,--,7:11:23 PM,3/4/2026,
12,0.0,gf,0.015,mm,OK,--,7:11:23 PM,3/4/2026,
13,0.0,gf,0.015,mm,OK,--,7:11:23 PM,3/4/2026,
14,-0.1,gf,0.020,mm,OK,--,7:11:23 PM,3/4/2026,
15,-0.1,gf,0.020,mm,OK,--,7:11:23 PM,3/4/2026,
16,0.0,gf,0.025,mm,OK,--,7:11:23 PM,3/4/2026,
17,1.6,gf,0.030,mm,OK,--,7:11:24 PM,3/4/2026,
18,3.5,gf,0.030,mm,OK,--,7:11:24 PM,3/4/2026,
19,4.7,gf,0.030,mm,OK,--,7:11:24 PM,3/4/2026,
20,5.5,gf,0.035,mm,OK,--,7:11:24 PM,3/4/2026,
21,6.3,gf,0.035,mm,OK,--,7:11:24 PM,3/4/2026,
22,6.9,gf,0.035,mm,OK,--,7:11:24 PM,3/4/2026,
23,7.5,gf,0.035,mm,OK,--,7:11:24 PM,3/4/2026,
24,8.5,gf,0.040,mm,OK,--,7:11:24 PM,3/4/2026,
25,9.2,gf,0.040,mm,OK,--,7:11:24 PM,3/4/2026,
26,10.2,gf,0.040,mm,OK,--,7:11:24 PM,3/4/2026,
27,11.2,gf,0.040,mm,OK,--,7:11:25 PM,3/4/2026,
28,11.7,gf,0.040,mm,OK,--,7:11:25 PM,3/4/2026,
29,11.9,gf,0.040,mm,OK,--,7:11:25 PM,3/4/2026,
30,12.4,gf,0.040,mm,OK,--,7:11:25 PM,3/4/2026,
31,13.0,gf,0.045,mm,OK,--,7:11:25 PM,3/4/2026,
32,14.1,gf,0.045,mm,OK,--,7:11:25 PM,3/4/2026,
33,15.2,gf,0.045,mm,OK,--,7:11:25 PM,3/4/2026,
34,16.6,gf,0.045,mm,OK,--,7:11:25 PM,3/4/2026,
35,18.3,gf,0.050,mm,OK,--,7:11:25 PM,3/4/2026,
36,19.4,gf,0.050,mm,OK,--,7:11:25 PM,3/4/2026,
37,20.3,gf,0.050,mm,OK,--,7:11:26 PM,3/4/2026,
38,21.0,gf,0.050,mm,OK,--,7:11:26 PM,3/4/2026,
39,21.9,gf,0.055,mm,OK,--,7:11:26 PM,3/4/2026,
40,22.8,gf,0.055,mm,OK,--,7:11:26 PM,3/4/2026,
41,23.9,gf,0.055,mm,OK,--,7:11:26 PM,3/4/2026,
42,25.1,gf,0.055,mm,OK,--,7:11:26 PM,3/4/2026,
43,26.5,gf,0.060,mm,OK,--,7:11:26 PM,3/4/2026,
44,28.8,gf,0.060,mm,OK,--,7:11:26 PM,3/4/2026,
45,31.3,gf,0.065,mm,OK,--,7:11:26 PM,3/4/2026,
46,33.3,gf,0.065,mm,OK,--,7:11:26 PM,3/4/2026,
47,34.3,gf,0.065,mm,OK,--,7:11:27 PM,3/4/2026,
48,35.2,gf,0.065,mm,OK,--,7:11:27 PM,3/4/2026,
49,36.0,gf,0.070,mm,OK,--,7:11:27 PM,3/4/2026,
50,36.6,gf,0.070,mm,OK,--,7:11:27 PM,3/4/2026,
51,37.0,gf,0.070,mm,OK,--,7:11:27 PM,3/4/2026,
52,37.3,gf,0.070,mm,OK,--,7:11:27 PM,3/4/2026,
53,37.4,gf,0.070,mm,OK,--,7:11:27 PM,3/4/2026,
54,37.5,gf,0.070,mm,OK,--,7:11:27 PM,3/4/2026,
55,37.6,gf,0.070,mm,OK,--,7:11:27 PM,3/4/2026,
56,38.0,gf,0.075,mm,OK,--,7:11:27 PM,3/4/2026,
57,38.5,gf,0.075,mm,OK,--,7:11:28 PM,3/4/2026,
58,38.9,gf,0.075,mm,OK,--,7:11:28 PM,3/4/2026,
59,39.4,gf,0.080,mm,OK,--,7:11:28 PM,3/4/2026,
60,39.9,gf,0.080,mm,OK,--,7:11:28 PM,3/4/2026,
61,40.6,gf,0.080,mm,OK,--,7:11:28 PM,3/4/2026,
62,40.9,gf,0.085,mm,OK,--,7:11:28 PM,3/4/2026,
63,40.3,gf,0.090,mm,OK,--,7:11:28 PM,3/4/2026,
64,40.1,gf,0.095,mm,OK,--,7:11:28 PM,3/4/2026,
65,40.0,gf,0.095,mm,OK,--,7:11:28 PM,3/4/2026,
66,39.9,gf,0.100,mm,OK,--,7:11:28 PM,3/4/2026,
