Maximum,192.2,@,No.817,,,,,,
Minimum,-0.6,@,No.1649,,,,,,
Average,50.42,,,,,,,,
Data Quantity,1663,,,,,,,,
Number of NG,0,,,,,,,,
No.,Force,Unit,Displacement,Unit,Judge,Position,Time,Date,
1,0.0,gf,0.000,mm,OK,--,3:12:29 PM,11/27/2025,
2,-0.1,gf,0.000,mm,OK,--,3:12:29 PM,11/27/2025,
3,0.2,gf,0.000,mm,OK,--,3:12:29 PM,11/27/2025,
4,0.0,gf,0.005,mm,OK,--,3:12:29 PM,11/27/2025,
5,-0.1,gf,0.005,mm,OK,--,3:12:30 PM,11/27/2025,
6,-0.1,gf,0.005,mm,OK,--,3:12:30 PM,11/27/2025,
7,0.1,gf,0.010,mm,OK,--,3:12:30 PM,11/27/2025,
8,0.0,gf,0.010,mm,OK,--,3:12:30 PM,11/27/2025,
9,0.0,gf,0.010,mm,OK,--,3:12:30 PM,11/27/2025,
10,-0.1,gf,0.015,mm,OK,--,3:12:30 PM,11/27/2025,
11,0.0,gf,0.015,mm,OK,--,3:12:30 PM,11/27/2025,
12,0.0,gf,0.015,mm,OK,--,3:12:30 PM,11/27/2025,
13,-0.1,gf,0.020,mm,OK,--,3:12:30 PM,11/27/2025,
14,0.1,gf,0.020,mm,OK,--,3:12:30 PM,11/27/2025,
15,0.1,gf,0.025,mm,OK,--,3:12:31 PM,11/27/2025,
16,0.0,gf,0.025,mm,OK,--,3:12:31 PM,11/27/2025,
17,0.0,gf,0.030,mm,OK,--,3:12:31 PM,11/27/2025,
18,0.1,gf,0.030,mm,OK,--,3:12:31 PM,11/27/2025,
19,-0.1,gf,0.035,mm,OK,--,3:12:31 PM,11/27/2025,
20,0.0,gf,0.035,mm,OK,--,3:12:31 PM,11/27/2025,
21,0.1,gf,0.040,mm,OK,--,3:12:31 PM,11/27/2025,
22,0.1,gf,0.040,mm,OK,--,3:12:31 PM,11/27/2025,
23,-0.1,gf,0.045,mm,OK,--,3:12:31 PM,11/27/2025,
24,0.0,gf,0.045,mm,OK,--,3:12:31 PM,11/27/2025,
25,0.0,gf,0.050,mm,OK,--,3:12:32 PM,11/27/2025,
26,-0.1,gf,0.050,mm,OK,--,3:12:32 PM,11/27/2025,
27,0.0,gf,0.055,mm,OK,--,3:12:32 PM,11/27/2025,
28,0.1,gf,0.055,mm,OK,--,3:12:32 PM,11/27/2025,
29,0.7,gf,0.060,mm,OK,--,3:12:32 PM,11/27/2025,
30,2.4,gf,0.060,mm,OK,--,3:12:32 PM,11/27/2025,
31,3.9,gf,0.060,mm,OK,--,3:12:32 PM,11/27/2025,
32,5.6,gf,0.065,mm,OK,--,3:12:32 PM,11/27/2025,
