Maximum,194.1,@,No.1170,,,,,,
Minimum,-0.5,@,No.2069,,,,,,
Average,49.44,,,,,,,,
Data Quantity,2084,,,,,,,,
Number of NG,0,,,,,,,,
No.,Force,Unit,Displacement,Unit,Judge,Position,Time,Date,
1,-0.1,gf,0.000,mm,OK,--,9:14:43 PM,1/12/2026,
2,0.0,gf,0.000,mm,OK,--,9:14:44 PM,1/12/2026,
3,0.0,gf,0.000,mm,OK,--,9:14:44 PM,1/12/2026,
4,0.1,gf,0.000,mm,OK,--,9:14:44 PM,1/12/2026,
5,0.0,gf,0.000,mm,OK,--,9:14:44 PM,1/12/2026,
6,0.0,gf,0.000,mm,OK,--,9:14:44 PM,1/12/2026,
7,0.0,gf,0.000,mm,OK,--,9:14:44 PM,1/12/2026,
8,0.0,gf,0.005,mm,OK,--,9:14:44 PM,1/12/2026,
9,0.0,gf,0.005,mm,OK,--,9:14:44 PM,1/12/2026,
10,0.0,gf,0.005,mm,OK,--,9:14:44 PM,1/12/2026,
11,0.1,gf,0.005,mm,OK,--,9:14:44 PM,1/12/2026,
12,0.0,gf,0.010,mm,OK,--,9:14:44 PM,1/12/2026,
13,0.0,gf,0.010,mm,OK,--,9:14:45 PM,1/12/2026,
14,0.0,gf,0.010,mm,OK,--,9:14:45 PM,1/12/2026,
15,0.0,gf,0.015,mm,OK,--,9:14:45 PM,1/12/2026,
16,-0.1,gf,0.015,mm,OK,--,9:14:45 PM,1/12/2026,
17,0.1,gf,0.020,mm,OK,--,9:14:45 PM,1/12/2026,
18,0.0,gf,0.020,mm,OK,--,9:14:45 PM,1/12/2026,
19,0.0,gf,0.020,mm,OK,--,9:14:45 PM,1/12/2026,
20,-0.1,gf,0.020,mm,OK,--,9:14:45 PM,1/12/2026,
21,0.0,gf,0.020,mm,OK,--,9:14:45 PM,1/12/2026,
22,0.0,gf,0.020,mm,OK,--,9:14:45 PM,1/12/2026,
23,0.0,gf,0.025,mm,OK,--,9:14:46 PM,1/12/2026,
24,0.0,gf,0.025,mm,OK,--,9:14:46 PM,1/12/2026,
25,0.0,gf,0.025,mm,OK,--,9:14:46 PM,1/12/2026,
26,0.0,gf,0.025,mm,OK,--,9:14:46 PM,1/12/2026,
27,0.0,gf,0.030,mm,OK,--,9:14:46 PM,1/12/2026,
28,0.0,gf,0.030,mm,OK,--,9:14:46 PM,1/12/2026,
29,0.0,gf,0.030,mm,OK,--,9:14:46 PM,1/12/2026,
30,0.0,gf,0.035,mm,OK,--,9:14:46 PM,1/12/2026,
31,-0.1,gf,0.035,mm,OK,--,9:14:46 PM,1/12/2026,
32,0.0,gf,0.040,mm,OK,--,9:14:46 PM,1/12/2026,
33,0.0,gf,0.040,mm,OK,--,9:14:47 PM,1/12/2026,
34,0.0,gf,0.045,mm,OK,--,9:14:47 PM,1/12/2026,
35,0.0,gf,0.045,mm,OK,--,9:14:47 PM,1/12/2026,
36,0.1,gf,0.050,mm,OK,--,9:14:47 PM,1/12/2026,
37,0.0,gf,0.055,mm,OK,--,9:14:47 PM,1/12/2026,
38,0.0,gf,0.060,mm,OK,--,9:14:47 PM,1/12/2026,
39,0.0,gf,0.060,mm,OK,--,9:14:47 PM,1/12/2026,
40,0.1,gf,0.065,mm,OK,--,9:14:47 PM,1/12/2026,
41,0.0,gf,0.080,mm,OK,--,9:14:47 PM,1/12/2026,
42,0.1,gf,0.085,mm,OK,--,9:14:47 PM,1/12/2026,
43,5.0,gf,0.090,mm,OK,--,9:14:48 PM,1/12/2026,
44,8.9,gf,0.095,mm,OK,--,9:14:48 PM,1/12/2026,
45,11.4,gf,0.100,mm,OK,--,9:14:48 PM,1/12/2026,
46,13.6,gf,0.100,mm,OK,--,9:14:48 PM,1/12/2026,
47,16.3,gf,0.105,mm,OK,--,9:14:48 PM,1/12/2026,
48,18.7,gf,0.105,mm,OK,--,9:14:48 PM,1/12/2026,
49,20.2,gf,0.110,mm,OK,--,9:14:48 PM,1/12/2026,
50,21.9,gf,0.110,mm,OK,--,9:14:48 PM,1/12/2026,
51,23.7,gf,0.110,mm,OK,--,9:14:48 PM,1/12/2026,
52,25.7,gf,0.115,mm,OK,--,9:14:48 PM,1/12/2026,
53,27.9,gf,0.115,mm,OK,--,9:14:49 PM,1/12/2026,
54,31.0,gf,0.120,mm,OK,--,9:14:49 PM,1/12/2026,
55,35.8,gf,0.125,mm,OK,--,9:14:49 PM,1/12/2026,
56,39.4,gf,0.130,mm,OK,--,9:14:49 PM,1/12/2026,
57,41.7,gf,0.135,mm,OK,--,9:14:49 PM,1/12/2026,
58,43.2,gf,0.135,mm,OK,--,9:14:49 PM,1/12/2026,
59,44.3,gf,0.140,mm,OK,--,9:14:49 PM,1/12/2026,
60,44.6,gf,0.140,mm,OK,--,9:14:49 PM,1/12/2026,
61,45.1,gf,0.140,mm,OK,--,9:14:49 PM,1/12/2026,
62,45.6,gf,0.140,mm,OK,--,9:14:49 PM,1/12/2026,
63,45.8,gf,0.145,mm,OK,--,9:14:50 PM,1/12/2026,
64,45.9,gf,0.145,mm,OK,--,9:14:50 PM,1/12/2026,
65,46.1,gf,0.145,mm,OK,--,9:14:50 PM,1/12/2026,
66,46.4,gf,0.145,mm,OK,--,9:14:50 PM,1/12/2026,
67,46.2,gf,0.150,mm,OK,--,9:14:50 PM,1/12/2026,
68,46.0,gf,0.150,mm,OK,--,9:14:50 PM,1/12/2026,
69,46.0,gf,0.150,mm,OK,--,9:14:50 PM,1/12/2026,
70,45.9,gf,0.150,mm,OK,--,9:14:50 PM,1/12/2026,
71,45.8,gf,0.155,mm,OK,--,9:14:50 PM,1/12/2026,
72,45.9,gf,0.155,mm,OK,--,9:14:50 PM,1/12/2026,
73,45.8,gf,0.155,mm,OK,--,9:14:51 PM,1/12/2026,
74,45.8,gf,0.160,mm,OK,--,9:14:51 PM,1/12/2026,
75,45.7,gf,0.160,mm,OK,--,9:14:51 PM,1/12/2026,
76,45.7,gf,0.160,mm,OK,--,9:14:51 PM,1/12/2026,
77,45.6,gf,0.165,mm,OK,--,9:14:51 PM,1/12/2026,
78,45.5,gf,0.165,mm,OK,--,9:14:51 PM,1/12/2026,
79,45.5,gf,0.165,mm,OK,--,9:14:51 PM,1/12/2026,
80,45.5,gf,0.170,mm,OK,--,9:14:51 PM,1/12/2026,
81,45.5,gf,0.170,mm,OK,--,9:14:51 PM,1/12/2026,
