Maximum,203.6,@,No.963,,,,,,
Minimum,-0.2,@,No.1791,,,,,,
Average,46.10,,,,,,,,
Data Quantity,1805,,,,,,,,
Number of NG,4,,,,,,,,
No.,Force,Unit,Displacement,Unit,Judge,Position,Time,Date,
1,0.0,gf,0.000,mm,OK,--,7:08:11 PM,1/25/2026,
2,0.0,gf,0.000,mm,OK,--,7:08:12 PM,1/25/2026,
3,0.1,gf,0.000,mm,OK,--,7:08:12 PM,1/25/2026,
4,0.0,gf,0.000,mm,OK,--,7:08:12 PM,1/25/2026,
5,0.0,gf,0.000,mm,OK,--,7:08:12 PM,1/25/2026,
6,0.0,gf,0.000,mm,OK,--,7:08:12 PM,1/25/2026,
7,0.0,gf,0.005,mm,OK,--,7:08:12 PM,1/25/2026,
8,0.0,gf,0.005,mm,OK,--,7:08:12 PM,1/25/2026,
9,0.0,gf,0.005,mm,OK,--,7:08:12 PM,1/25/2026,
10,0.0,gf,0.005,mm,OK,--,7:08:12 PM,1/25/2026,
11,-0.1,gf,0.005,mm,OK,--,7:08:12 PM,1/25/2026,
12,0.0,gf,0.005,mm,OK,--,7:08:13 PM,1/25/2026,
13,0.0,gf,0.010,mm,OK,--,7:08:13 PM,1/25/2026,
14,0.0,gf,0.010,mm,OK,--,7:08:13 PM,1/25/2026,
15,0.0,gf,0.010,mm,OK,--,7:08:13 PM,1/25/2026,
16,0.0,gf,0.010,mm,OK,--,7:08:13 PM,1/25/2026,
17,0.1,gf,0.010,mm,OK,--,7:08:13 PM,1/25/2026,
18,0.0,gf,0.015,mm,OK,--,7:08:13 PM,1/25/2026,
19,0.0,gf,0.015,mm,OK,--,7:08:13 PM,1/25/2026,
20,0.0,gf,0.015,mm,OK,--,7:08:13 PM,1/25/2026,
21,0.0,gf,0.015,mm,OK,--,7:08:13 PM,1/25/2026,
22,0.0,gf,0.015,mm,OK,--,7:08:14 PM,1/25/2026,
23,0.0,gf,0.020,mm,OK,--,7:08:14 PM,1/25/2026,
24,0.0,gf,0.020,mm,OK,--,7:08:14 PM,1/25/2026,
25,0.0,gf,0.025,mm,OK,--,7:08:14 PM,1/25/2026,
26,0.0,gf,0.025,mm,OK,--,7:08:14 PM,1/25/2026,
27,0.0,gf,0.030,mm,OK,--,7:08:14 PM,1/25/2026,
28,0.0,gf,0.030,mm,OK,--,7:08:14 PM,1/25/2026,
29,0.0,gf,0.035,mm,OK,--,7:08:14 PM,1/25/2026,
30,0.0,gf,0.040,mm,OK,--,7:08:14 PM,1/25/2026,
31,0.0,gf,0.040,mm,OK,--,7:08:14 PM,1/25/2026,
32,0.0,gf,0.045,mm,OK,--,7:08:15 PM,1/25/2026,
33,0.8,gf,0.050,mm,OK,--,7:08:15 PM,1/25/2026,
34,2.7,gf,0.050,mm,OK,--,7:08:15 PM,1/25/2026,
35,4.4,gf,0.055,mm,OK,--,7:08:15 PM,1/25/2026,
36,6.1,gf,0.055,mm,OK,--,7:08:15 PM,1/25/2026,
37,7.3,gf,0.060,mm,OK,--,7:08:15 PM,1/25/2026,
38,9.9,gf,0.060,mm,OK,--,7:08:15 PM,1/25/2026,
39,12.9,gf,0.065,mm,OK,--,7:08:15 PM,1/25/2026,
40,17.6,gf,0.070,mm,OK,--,7:08:15 PM,1/25/2026,
41,24.4,gf,0.080,mm,OK,--,7:08:15 PM,1/25/2026,
42,30.6,gf,0.085,mm,OK,--,7:08:16 PM,1/25/2026,
43,33.5,gf,0.090,mm,OK,--,7:08:16 PM,1/25/2026,
44,34.7,gf,0.095,mm,OK,--,7:08:16 PM,1/25/2026,
45,36.4,gf,0.100,mm,OK,--,7:08:16 PM,1/25/2026,
46,36.0,gf,0.105,mm,OK,--,7:08:16 PM,1/25/2026,
47,35.9,gf,0.110,mm,OK,--,7:08:16 PM,1/25/2026,
48,35.8,gf,0.110,mm,OK,--,7:08:16 PM,1/25/2026,
49,35.8,gf,0.115,mm,OK,--,7:08:16 PM,1/25/2026,
50,35.9,gf,0.115,mm,OK,--,7:08:16 PM,1/25/2026,
51,35.7,gf,0.120,mm,OK,--,7:08:16 PM,1/25/2026,
52,35.7,gf,0.125,mm,OK,--,7:08:17 PM,1/25/2026,
53,35.6,gf,0.130,mm,OK,--,7:08:17 PM,1/25/2026,
54,35.6,gf,0.130,mm,OK,--,7:08:17 PM,1/25/2026,
55,35.6,gf,0.135,mm,OK,--,7:08:17 PM,1/25/2026,
56,35.6,gf,0.140,mm,OK,--,7:08:17 PM,1/25/2026,
57,35.5,gf,0.145,mm,OK,--,7:08:17 PM,1/25/2026,
58,35.5,gf,0.145,mm,OK,--,7:08:17 PM,1/25/2026,
59,35.6,gf,0.150,mm,OK,--,7:08:17 PM,1/25/2026,
60,35.6,gf,0.150,mm,OK,--,7:08:17 PM,1/25/2026,
61,35.5,gf,0.155,mm,OK,--,7:08:17 PM,1/25/2026,
62,35.4,gf,0.155,mm,OK,--,7:08:18 PM,1/25/2026,
63,35.4,gf,0.155,mm,OK,--,7:08:18 PM,1/25/2026,
64,35.3,gf,0.160,mm,OK,--,7:08:18 PM,1/25/2026,
65,35.3,gf,0.160,mm,OK,--,7:08:18 PM,1/25/2026,
66,35.3,gf,0.160,mm,OK,--,7:08:18 PM,1/25/2026,
67,35.3,gf,0.160,mm,OK,--,7:08:18 PM,1/25/2026,
68,35.4,gf,0.160,mm,OK,--,7:08:18 PM,1/25/2026,
69,35.4,gf,0.160,mm,OK,--,7:08:18 PM,1/25/2026,
70,35.5,gf,0.160,mm,OK,--,7:08:18 PM,1/25/2026,
71,35.4,gf,0.165,mm,OK,--,7:08:18 PM,1/25/2026,
72,35.5,gf,0.165,mm,OK,--,7:08:19 PM,1/25/2026,
73,35.6,gf,0.170,mm,OK,--,7:08:19 PM,1/25/2026,
74,35.4,gf,0.170,mm,OK,--,7:08:19 PM,1/25/2026,
75,35.4,gf,0.175,mm,OK,--,7:08:19 PM,1/25/2026,
76,35.5,gf,0.175,mm,OK,--,7:08:19 PM,1/25/2026,
77,35.5,gf,0.175,mm,OK,--,7:08:19 PM,1/25/2026,
78,35.6,gf,0.180,mm,OK,--,7:08:19 PM,1/25/2026,
79,35.6,gf,0.185,mm,OK,--,7:08:19 PM,1/25/2026,
80,35.7,gf,0.190,mm,OK,--,7:08:19 PM,1/25/2026,
81,35.6,gf,0.200,mm,OK,--,7:08:19 PM,1/25/2026,
82,35.6,gf,0.205,mm,OK,--,7:08:20 PM,1/25/2026,
83,35.7,gf,0.210,mm,OK,--,7:08:20 PM,1/25/2026,
84,35.6,gf,0.210,mm,OK,--,7:08:20 PM,1/25/2026,
85,35.6,gf,0.215,mm,OK,--,7:08:20 PM,1/25/2026,
86,35.6,gf,0.215,mm,OK,--,7:08:20 PM,1/25/2026,
87,35.6,gf,0.215,mm,OK,--,7:08:20 PM,1/25/2026,
88,35.6,gf,0.220,mm,OK,--,7:08:20 PM,1/25/2026,
89,35.6,gf,0.220,mm,OK,--,7:08:20 PM,1/25/2026,
90,35.7,gf,0.220,mm,OK,--,7:08:20 PM,1/25/2026,
91,35.7,gf,0.220,mm,OK,--,7:08:20 PM,1/25/2026,
92,35.7,gf,0.225,mm,OK,--,7:08:21 PM,1/25/2026,
93,35.7,gf,0.225,mm,OK,--,7:08:21 PM,1/25/2026,
94,35.7,gf,0.225,mm,OK,--,7:08:21 PM,1/25/2026,
95,35.7,gf,0.225,mm,OK,--,7:08:21 PM,1/25/2026,
96,35.8,gf,0.230,mm,OK,--,7:08:21 PM,1/25/2026,
97,35.9,gf,0.230,mm,OK,--,7:08:21 PM,1/25/2026,
98,35.9,gf,0.235,mm,OK,--,7:08:21 PM,1/25/2026,
99,35.8,gf,0.240,mm,OK,--,7:08:21 PM,1/25/2026,
100,35.8,gf,0.240,mm,OK,--,7:08:21 PM,1/25/2026,
101,35.9,gf,0.245,mm,OK,--,7:08:21 PM,1/25/2026,
102,35.9,gf,0.245,mm,OK,--,7:08:22 PM,1/25/2026,
103,35.9,gf,0.250,mm,OK,--,7:08:22 PM,1/25/2026,
104,35.9,gf,0.250,mm,OK,--,7:08:22 PM,1/25/2026,
105,35.9,gf,0.255,mm,OK,--,7:08:22 PM,1/25/2026,
106,35.9,gf,0.255,mm,OK,--,7:08:22 PM,1/25/2026,
107,35.9,gf,0.260,mm,OK,--,7:08:22 PM,1/25/2026,
108,35.9,gf,0.260,mm,OK,--,7:08:22 PM,1/25/2026,
109,36.0,gf,0.260,mm,OK,--,7:08:22 PM,1/25/2026,
110,36.0,gf,0.265,mm,OK,--,7:08:22 PM,1/25/2026,
111,36.0,gf,0.265,mm,OK,--,7:08:22 PM,1/25/2026,
112,36.0,gf,0.270,mm,OK,--,7:08:23 PM,1/25/2026,
113,36.0,gf,0.270,mm,OK,--,7:08:23 PM,1/25/2026,
114,36.0,gf,0.270,mm,OK,--,7:08:23 PM,1/25/2026,
115,36.0,gf,0.275,mm,OK,--,7:08:23 PM,1/25/2026,
116,36.0,gf,0.275,mm,OK,--,7:08:23 PM,1/25/2026,
117,36.0,gf,0.280,mm,OK,--,7:08:23 PM,1/25/2026,
118,36.0,gf,0.280,mm,OK,--,7:08:23 PM,1/25/2026,
119,36.1,gf,0.285,mm,OK,--,7:08:23 PM,1/25/2026,
120,36.1,gf,0.285,mm,OK,--,7:08:23 PM,1/25/2026,
121,36.1,gf,0.290,mm,OK,--,7:08:23 PM,1/25/2026,
122,36.1,gf,0.295,mm,OK,--,7:08:24 PM,1/25/2026,
123,36.1,gf,0.295,mm,OK,--,7:08:24 PM,1/25/2026,
124,36.1,gf,0.300,mm,OK,--,7:08:24 PM,1/25/2026,
125,36.0,gf,0.305,mm,OK,--,7:08:24 PM,1/25/2026,
126,35.9,gf,0.305,mm,OK,--,7:08:24 PM,1/25/2026,
127,35.9,gf,0.310,mm,OK,--,7:08:24 PM,1/25/2026,
128,35.9,gf,0.310,mm,OK,--,7:08:24 PM,1/25/2026,
129,35.9,gf,0.315,mm,OK,--,7:08:24 PM,1/25/2026,
130,35.9,gf,0.315,mm,OK,--,7:08:24 PM,1/25/2026,
131,35.9,gf,0.315,mm,OK,--,7:08:24 PM,1/25/2026,
132,35.9,gf,0.320,mm,OK,--,7:08:25 PM,1/25/2026,
133,36.0,gf,0.320,mm,OK,--,7:08:25 PM,1/25/2026,
134,36.0,gf,0.325,mm,OK,--,7:08:25 PM,1/25/2026,
135,36.0,gf,0.325,mm,OK,--,7:08:25 PM,1/25/2026,
136,35.9,gf,0.325,mm,OK,--,7:08:25 PM,1/25/2026,
137,36.0,gf,0.330,mm,OK,--,7:08:25 PM,1/25/2026,
138,36.0,gf,0.330,mm,OK,--,7:08:25 PM,1/25/2026,
139,36.0,gf,0.335,mm,OK,--,7:08:25 PM,1/25/2026,
140,36.0,gf,0.335,mm,OK,--,7:08:25 PM,1/25/2026,
141,36.0,gf,0.335,mm,OK,--,7:08:25 PM,1/25/2026,
142,36.0,gf,0.340,mm,OK,--,7:08:26 PM,1/25/2026,
143,35.9,gf,0.340,mm,OK,--,7:08:26 PM,1/25/2026,
144,36.0,gf,0.340,mm,OK,--,7:08:26 PM,1/25/2026,
145,36.0,gf,0.345,mm,OK,--,7:08:26 PM,1/25/2026,
146,36.0,gf,0.345,mm,OK,--,7:08:26 PM,1/25/2026,
147,36.0,gf,0.345,mm,OK,--,7:08:26 PM,1/25/2026,
148,36.1,gf,0.350,mm,OK,--,7:08:26 PM,1/25/2026,
149,36.1,gf,0.350,mm,OK,--,7:08:26 PM,1/25/2026,
150,36.1,gf,0.355,mm,OK,--,7:08:26 PM,1/25/2026,
151,36.1,gf,0.355,mm,OK,--,7:08:26 PM,1/25/2026,
152,36.1,gf,0.360,mm,OK,--,7:08:27 PM,1/25/2026,
153,36.0,gf,0.360,mm,OK,--,7:08:27 PM,1/25/2026,
154,36.1,gf,0.360,mm,OK,--,7:08:27 PM,1/25/2026,
155,36.1,gf,0.365,mm,OK,--,7:08:27 PM,1/25/2026,
156,36.1,gf,0.365,mm,OK,--,7:08:27 PM,1/25/2026,
157,36.1,gf,0.370,mm,OK,--,7:08:27 PM,1/25/2026,
158,36.1,gf,0.370,mm,OK,--,7:08:27 PM,1/25/2026,
159,36.1,gf,0.370,mm,OK,--,7:08:27 PM,1/25/2026,
160,36.2,gf,0.375,mm,OK,--,7:08:27 PM,1/25/2026,
161,36.2,gf,0.375,mm,OK,--,7:08:27 PM,1/25/2026,
162,36.2,gf,0.375,mm,OK,--,7:08:28 PM,1/25/2026,
163,36.2,gf,0.380,mm,OK,--,7:08:28 PM,1/25/2026,
164,36.2,gf,0.380,mm,OK,--,7:08:28 PM,1/25/2026,
