Maximum,191.3,@,No.1079,,,,,,
Minimum,-0.2,@,No.4,,,,,,
Average,48.01,,,,,,,,
Data Quantity,2074,,,,,,,,
Number of NG,0,,,,,,,,
No.,Force,Unit,Displacement,Unit,Judge,Position,Time,Date,
1,-0.1,gf,0.000,mm,OK,--,1:35:54 PM,11/27/2025,
2,-0.1,gf,0.000,mm,OK,--,1:35:54 PM,11/27/2025,
3,0.0,gf,0.000,mm,OK,--,1:35:54 PM,11/27/2025,
4,-0.2,gf,0.000,mm,OK,--,1:35:54 PM,11/27/2025,
5,-0.1,gf,0.000,mm,OK,--,1:35:54 PM,11/27/2025,
6,0.0,gf,0.000,mm,OK,--,1:35:54 PM,11/27/2025,
7,0.1,gf,0.000,mm,OK,--,1:35:54 PM,11/27/2025,
8,0.0,gf,0.000,mm,OK,--,1:35:54 PM,11/27/2025,
9,0.0,gf,0.000,mm,OK,--,1:35:54 PM,11/27/2025,
10,0.1,gf,0.000,mm,OK,--,1:35:54 PM,11/27/2025,
11,-0.1,gf,0.000,mm,OK,--,1:35:54 PM,11/27/2025,
12,0.0,gf,0.000,mm,OK,--,1:35:55 PM,11/27/2025,
13,0.2,gf,0.000,mm,OK,--,1:35:55 PM,11/27/2025,
14,-0.1,gf,0.000,mm,OK,--,1:35:55 PM,11/27/2025,
15,-0.1,gf,0.000,mm,OK,--,1:35:55 PM,11/27/2025,
16,0.1,gf,0.000,mm,OK,--,1:35:55 PM,11/27/2025,
17,0.1,gf,0.000,mm,OK,--,1:35:55 PM,11/27/2025,
18,-0.2,gf,0.000,mm,OK,--,1:35:55 PM,11/27/2025,
19,-0.1,gf,0.000,mm,OK,--,1:35:55 PM,11/27/2025,
20,0.0,gf,0.000,mm,OK,--,1:35:55 PM,11/27/2025,
21,0.0,gf,0.000,mm,OK,--,1:35:55 PM,11/27/2025,
22,0.0,gf,0.000,mm,OK,--,1:35:56 PM,11/27/2025,
23,0.1,gf,0.000,mm,OK,--,1:35:56 PM,11/27/2025,
24,0.0,gf,0.000,mm,OK,--,1:35:56 PM,11/27/2025,
25,-0.1,gf,0.000,mm,OK,--,1:35:56 PM,11/27/2025,
26,0.0,gf,0.000,mm,OK,--,1:35:56 PM,11/27/2025,
27,0.1,gf,0.000,mm,OK,--,1:35:56 PM,11/27/2025,
28,0.1,gf,0.000,mm,OK,--,1:35:56 PM,11/27/2025,
29,-0.1,gf,0.000,mm,OK,--,1:35:56 PM,11/27/2025,
30,0.1,gf,0.000,mm,OK,--,1:35:56 PM,11/27/2025,
31,0.1,gf,0.000,mm,OK,--,1:35:56 PM,11/27/2025,
32,-0.1,gf,0.000,mm,OK,--,1:35:57 PM,11/27/2025,
33,0.0,gf,0.000,mm,OK,--,1:35:57 PM,11/27/2025,
34,0.1,gf,0.000,mm,OK,--,1:35:57 PM,11/27/2025,
35,-0.1,gf,0.000,mm,OK,--,1:35:57 PM,11/27/2025,
36,0.0,gf,0.000,mm,OK,--,1:35:57 PM,11/27/2025,
37,0.0,gf,0.000,mm,OK,--,1:35:57 PM,11/27/2025,
38,0.0,gf,0.005,mm,OK,--,1:35:57 PM,11/27/2025,
39,-0.2,gf,0.005,mm,OK,--,1:35:57 PM,11/27/2025,
40,0.2,gf,0.005,mm,OK,--,1:35:57 PM,11/27/2025,
41,0.1,gf,0.005,mm,OK,--,1:35:57 PM,11/27/2025,
42,-0.2,gf,0.005,mm,OK,--,1:35:58 PM,11/27/2025,
43,-0.1,gf,0.005,mm,OK,--,1:35:58 PM,11/27/2025,
44,0.0,gf,0.005,mm,OK,--,1:35:58 PM,11/27/2025,
