Maximum,191.8,@,No.995,,,,,,
Minimum,-0.3,@,No.18,,,,,,
Average,44.68,,,,,,,,
Data Quantity,1890,,,,,,,,
Number of NG,0,,,,,,,,
No.,Force,Unit,Displacement,Unit,Judge,Position,Time,Date,
1,0.0,gf,0.005,mm,OK,--,1:39:44 PM,11/27/2025,
2,0.0,gf,0.005,mm,OK,--,1:39:44 PM,11/27/2025,
3,-0.1,gf,0.005,mm,OK,--,1:39:44 PM,11/27/2025,
4,-0.1,gf,0.005,mm,OK,--,1:39:44 PM,11/27/2025,
5,0.0,gf,0.005,mm,OK,--,1:39:45 PM,11/27/2025,
6,0.1,gf,0.005,mm,OK,--,1:39:45 PM,11/27/2025,
7,0.0,gf,0.010,mm,OK,--,1:39:45 PM,11/27/2025,
8,0.0,gf,0.010,mm,OK,--,1:39:45 PM,11/27/2025,
9,0.0,gf,0.010,mm,OK,--,1:39:45 PM,11/27/2025,
10,0.0,gf,0.010,mm,OK,--,1:39:45 PM,11/27/2025,
11,0.0,gf,0.010,mm,OK,--,1:39:45 PM,11/27/2025,
12,0.0,gf,0.015,mm,OK,--,1:39:45 PM,11/27/2025,
13,0.0,gf,0.015,mm,OK,--,1:39:45 PM,11/27/2025,
14,0.0,gf,0.015,mm,OK,--,1:39:45 PM,11/27/2025,
15,0.1,gf,0.015,mm,OK,--,1:39:46 PM,11/27/2025,
16,0.0,gf,0.015,mm,OK,--,1:39:46 PM,11/27/2025,
17,0.1,gf,0.020,mm,OK,--,1:39:46 PM,11/27/2025,
18,-0.3,gf,0.020,mm,OK,--,1:39:46 PM,11/27/2025,
19,0.0,gf,0.025,mm,OK,--,1:39:46 PM,11/27/2025,
20,0.0,gf,0.025,mm,OK,--,1:39:46 PM,11/27/2025,
21,0.3,gf,0.025,mm,OK,--,1:39:46 PM,11/27/2025,
22,0.0,gf,0.025,mm,OK,--,1:39:46 PM,11/27/2025,
23,-0.1,gf,0.030,mm,OK,--,1:39:46 PM,11/27/2025,
24,0.0,gf,0.035,mm,OK,--,1:39:46 PM,11/27/2025,
25,0.1,gf,0.035,mm,OK,--,1:39:47 PM,11/27/2025,
26,0.0,gf,0.040,mm,OK,--,1:39:47 PM,11/27/2025,
27,0.0,gf,0.040,mm,OK,--,1:39:47 PM,11/27/2025,
28,0.0,gf,0.045,mm,OK,--,1:39:47 PM,11/27/2025,
29,0.0,gf,0.050,mm,OK,--,1:39:47 PM,11/27/2025,
30,0.0,gf,0.055,mm,OK,--,1:39:47 PM,11/27/2025,
31,0.1,gf,0.055,mm,OK,--,1:39:47 PM,11/27/2025,
32,0.0,gf,0.060,mm,OK,--,1:39:47 PM,11/27/2025,
33,0.0,gf,0.060,mm,OK,--,1:39:47 PM,11/27/2025,
34,0.8,gf,0.060,mm,OK,--,1:39:47 PM,11/27/2025,
35,1.8,gf,0.060,mm,OK,--,1:39:48 PM,11/27/2025,
36,2.3,gf,0.065,mm,OK,--,1:39:48 PM,11/27/2025,
37,2.8,gf,0.065,mm,OK,--,1:39:48 PM,11/27/2025,
38,3.3,gf,0.065,mm,OK,--,1:39:48 PM,11/27/2025,
39,3.8,gf,0.065,mm,OK,--,1:39:48 PM,11/27/2025,
40,4.6,gf,0.065,mm,OK,--,1:39:48 PM,11/27/2025,
41,5.4,gf,0.065,mm,OK,--,1:39:48 PM,11/27/2025,
42,6.4,gf,0.065,mm,OK,--,1:39:48 PM,11/27/2025,
43,7.4,gf,0.070,mm,OK,--,1:39:48 PM,11/27/2025,
44,8.3,gf,0.070,mm,OK,--,1:39:48 PM,11/27/2025,
45,9.8,gf,0.070,mm,OK,--,1:39:49 PM,11/27/2025,
46,11.3,gf,0.070,mm,OK,--,1:39:49 PM,11/27/2025,
47,12.5,gf,0.075,mm,OK,--,1:39:49 PM,11/27/2025,
48,14.0,gf,0.075,mm,OK,--,1:39:49 PM,11/27/2025,
49,15.5,gf,0.075,mm,OK,--,1:39:49 PM,11/27/2025,
50,16.5,gf,0.080,mm,OK,--,1:39:49 PM,11/27/2025,
51,17.9,gf,0.080,mm,OK,--,1:39:49 PM,11/27/2025,
