Maximum,191.1,@,No.1078,,,,,,
Minimum,-0.2,@,No.2069,,,,,,
Average,49.06,,,,,,,,
Data Quantity,2087,,,,,,,,
Number of NG,0,,,,,,,,
No.,Force,Unit,Displacement,Unit,Judge,Position,Time,Date,
1,-0.1,gf,0.000,mm,OK,--,12:26:00 PM,11/27/2025,
2,0.0,gf,0.005,mm,OK,--,12:26:00 PM,11/27/2025,
3,0.0,gf,0.005,mm,OK,--,12:26:00 PM,11/27/2025,
4,0.1,gf,0.010,mm,OK,--,12:26:00 PM,11/27/2025,
5,-0.1,gf,0.010,mm,OK,--,12:26:00 PM,11/27/2025,
6,0.0,gf,0.010,mm,OK,--,12:26:00 PM,11/27/2025,
7,1.9,gf,0.015,mm,OK,--,12:26:00 PM,11/27/2025,
8,4.3,gf,0.015,mm,OK,--,12:26:00 PM,11/27/2025,
9,6.8,gf,0.020,mm,OK,--,12:26:01 PM,11/27/2025,
10,9.1,gf,0.025,mm,OK,--,12:26:01 PM,11/27/2025,
11,11.3,gf,0.025,mm,OK,--,12:26:01 PM,11/27/2025,
12,12.8,gf,0.025,mm,OK,--,12:26:01 PM,11/27/2025,
13,14.3,gf,0.030,mm,OK,--,12:26:01 PM,11/27/2025,
14,15.4,gf,0.030,mm,OK,--,12:26:01 PM,11/27/2025,
15,16.5,gf,0.030,mm,OK,--,12:26:01 PM,11/27/2025,
16,17.4,gf,0.035,mm,OK,--,12:26:01 PM,11/27/2025,
17,18.0,gf,0.035,mm,OK,--,12:26:01 PM,11/27/2025,
18,18.6,gf,0.035,mm,OK,--,12:26:01 PM,11/27/2025,
19,19.9,gf,0.035,mm,OK,--,12:26:02 PM,11/27/2025,
20,21.9,gf,0.040,mm,OK,--,12:26:02 PM,11/27/2025,
21,24.2,gf,0.045,mm,OK,--,12:26:02 PM,11/27/2025,
22,25.8,gf,0.045,mm,OK,--,12:26:02 PM,11/27/2025,
23,26.6,gf,0.045,mm,OK,--,12:26:02 PM,11/27/2025,
24,27.0,gf,0.050,mm,OK,--,12:26:02 PM,11/27/2025,
25,27.4,gf,0.050,mm,OK,--,12:26:02 PM,11/27/2025,
26,28.1,gf,0.050,mm,OK,--,12:26:02 PM,11/27/2025,
27,28.6,gf,0.050,mm,OK,--,12:26:02 PM,11/27/2025,
28,29.1,gf,0.050,mm,OK,--,12:26:02 PM,11/27/2025,
29,29.3,gf,0.055,mm,OK,--,12:26:03 PM,11/27/2025,
30,29.6,gf,0.055,mm,OK,--,12:26:03 PM,11/27/2025,
31,29.9,gf,0.055,mm,OK,--,12:26:03 PM,11/27/2025,
32,30.5,gf,0.055,mm,OK,--,12:26:03 PM,11/27/2025,
33,31.4,gf,0.055,mm,OK,--,12:26:03 PM,11/27/2025,
34,31.9,gf,0.060,mm,OK,--,12:26:03 PM,11/27/2025,
35,33.2,gf,0.060,mm,OK,--,12:26:03 PM,11/27/2025,
36,34.0,gf,0.065,mm,OK,--,12:26:03 PM,11/27/2025,
37,34.3,gf,0.065,mm,OK,--,12:26:03 PM,11/27/2025,
38,34.6,gf,0.065,mm,OK,--,12:26:03 PM,11/27/2025,
39,34.9,gf,0.065,mm,OK,--,12:26:04 PM,11/27/2025,
40,35.5,gf,0.070,mm,OK,--,12:26:04 PM,11/27/2025,
41,36.4,gf,0.070,mm,OK,--,12:26:04 PM,11/27/2025,
42,36.8,gf,0.075,mm,OK,--,12:26:04 PM,11/27/2025,
43,37.2,gf,0.075,mm,OK,--,12:26:04 PM,11/27/2025,
44,37.6,gf,0.080,mm,OK,--,12:26:04 PM,11/27/2025,
45,38.0,gf,0.080,mm,OK,--,12:26:04 PM,11/27/2025,
46,38.2,gf,0.080,mm,OK,--,12:26:04 PM,11/27/2025,
47,38.1,gf,0.085,mm,OK,--,12:26:04 PM,11/27/2025,
48,38.0,gf,0.085,mm,OK,--,12:26:04 PM,11/27/2025,
49,37.9,gf,0.090,mm,OK,--,12:26:05 PM,11/27/2025,
50,37.8,gf,0.095,mm,OK,--,12:26:05 PM,11/27/2025,
51,37.8,gf,0.095,mm,OK,--,12:26:05 PM,11/27/2025,
52,37.8,gf,0.100,mm,OK,--,12:26:05 PM,11/27/2025,
53,37.7,gf,0.100,mm,OK,--,12:26:05 PM,11/27/2025,
54,37.8,gf,0.105,mm,OK,--,12:26:05 PM,11/27/2025,
55,37.8,gf,0.110,mm,OK,--,12:26:05 PM,11/27/2025,
56,37.8,gf,0.110,mm,OK,--,12:26:05 PM,11/27/2025,
57,37.9,gf,0.115,mm,OK,--,12:26:05 PM,11/27/2025,
58,38.0,gf,0.120,mm,OK,--,12:26:05 PM,11/27/2025,
59,37.8,gf,0.120,mm,OK,--,12:26:06 PM,11/27/2025,
60,37.9,gf,0.125,mm,OK,--,12:26:06 PM,11/27/2025,
61,38.0,gf,0.125,mm,OK,--,12:26:06 PM,11/27/2025,
62,37.9,gf,0.130,mm,OK,--,12:26:06 PM,11/27/2025,
63,38.0,gf,0.135,mm,OK,--,12:26:06 PM,11/27/2025,
64,38.2,gf,0.140,mm,OK,--,12:26:06 PM,11/27/2025,
65,38.2,gf,0.140,mm,OK,--,12:26:06 PM,11/27/2025,
66,38.0,gf,0.145,mm,OK,--,12:26:06 PM,11/27/2025,
67,37.9,gf,0.150,mm,OK,--,12:26:06 PM,11/27/2025,
68,37.8,gf,0.155,mm,OK,--,12:26:06 PM,11/27/2025,
69,37.8,gf,0.160,mm,OK,--,12:26:07 PM,11/27/2025,
70,37.7,gf,0.165,mm,OK,--,12:26:07 PM,11/27/2025,
71,37.6,gf,0.170,mm,OK,--,12:26:07 PM,11/27/2025,
72,37.6,gf,0.175,mm,OK,--,12:26:07 PM,11/27/2025,
73,37.5,gf,0.180,mm,OK,--,12:26:07 PM,11/27/2025,
74,37.4,gf,0.185,mm,OK,--,12:26:07 PM,11/27/2025,
75,37.3,gf,0.190,mm,OK,--,12:26:07 PM,11/27/2025,
76,37.3,gf,0.195,mm,OK,--,12:26:07 PM,11/27/2025,
77,37.3,gf,0.195,mm,OK,--,12:26:07 PM,11/27/2025,
78,37.3,gf,0.200,mm,OK,--,12:26:07 PM,11/27/2025,
79,37.3,gf,0.205,mm,OK,--,12:26:08 PM,11/27/2025,
80,37.4,gf,0.205,mm,OK,--,12:26:08 PM,11/27/2025,
81,37.3,gf,0.210,mm,OK,--,12:26:08 PM,11/27/2025,
82,37.3,gf,0.215,mm,OK,--,12:26:08 PM,11/27/2025,
83,37.4,gf,0.215,mm,OK,--,12:26:08 PM,11/27/2025,
84,37.4,gf,0.220,mm,OK,--,12:26:08 PM,11/27/2025,
85,37.3,gf,0.225,mm,OK,--,12:26:08 PM,11/27/2025,
86,37.2,gf,0.230,mm,OK,--,12:26:08 PM,11/27/2025,
87,37.2,gf,0.230,mm,OK,--,12:26:08 PM,11/27/2025,
88,37.2,gf,0.235,mm,OK,--,12:26:08 PM,11/27/2025,
89,37.3,gf,0.240,mm,OK,--,12:26:09 PM,11/27/2025,
90,37.1,gf,0.240,mm,OK,--,12:26:09 PM,11/27/2025,
91,37.3,gf,0.245,mm,OK,--,12:26:09 PM,11/27/2025,
92,37.2,gf,0.245,mm,OK,--,12:26:09 PM,11/27/2025,
93,37.4,gf,0.250,mm,OK,--,12:26:09 PM,11/27/2025,
94,37.5,gf,0.255,mm,OK,--,12:26:09 PM,11/27/2025,
95,37.4,gf,0.260,mm,OK,--,12:26:09 PM,11/27/2025,
96,37.4,gf,0.265,mm,OK,--,12:26:09 PM,11/27/2025,
97,37.4,gf,0.270,mm,OK,--,12:26:09 PM,11/27/2025,
98,37.3,gf,0.270,mm,OK,--,12:26:09 PM,11/27/2025,
99,37.3,gf,0.275,mm,OK,--,12:26:10 PM,11/27/2025,
100,37.3,gf,0.280,mm,OK,--,12:26:10 PM,11/27/2025,
101,37.4,gf,0.285,mm,OK,--,12:26:10 PM,11/27/2025,
102,37.3,gf,0.290,mm,OK,--,12:26:10 PM,11/27/2025,
103,37.1,gf,0.295,mm,OK,--,12:26:10 PM,11/27/2025,
104,37.1,gf,0.300,mm,OK,--,12:26:10 PM,11/27/2025,
105,37.0,gf,0.305,mm,OK,--,12:26:10 PM,11/27/2025,
106,37.1,gf,0.310,mm,OK,--,12:26:10 PM,11/27/2025,
107,37.1,gf,0.315,mm,OK,--,12:26:10 PM,11/27/2025,
108,37.2,gf,0.320,mm,OK,--,12:26:10 PM,11/27/2025,
109,37.2,gf,0.320,mm,OK,--,12:26:11 PM,11/27/2025,
110,37.2,gf,0.325,mm,OK,--,12:26:11 PM,11/27/2025,
111,37.3,gf,0.330,mm,OK,--,12:26:11 PM,11/27/2025,
112,37.4,gf,0.335,mm,OK,--,12:26:11 PM,11/27/2025,
113,37.4,gf,0.340,mm,OK,--,12:26:11 PM,11/27/2025,
114,37.4,gf,0.345,mm,OK,--,12:26:11 PM,11/27/2025,
115,37.4,gf,0.350,mm,OK,--,12:26:11 PM,11/27/2025,
116,37.4,gf,0.350,mm,OK,--,12:26:11 PM,11/27/2025,
117,37.5,gf,0.355,mm,OK,--,12:26:11 PM,11/27/2025,
118,37.5,gf,0.360,mm,OK,--,12:26:11 PM,11/27/2025,
119,37.5,gf,0.360,mm,OK,--,12:26:12 PM,11/27/2025,
120,37.5,gf,0.365,mm,OK,--,12:26:12 PM,11/27/2025,
121,37.5,gf,0.370,mm,OK,--,12:26:12 PM,11/27/2025,
122,37.5,gf,0.370,mm,OK,--,12:26:12 PM,11/27/2025,
123,37.5,gf,0.375,mm,OK,--,12:26:12 PM,11/27/2025,
124,37.7,gf,0.380,mm,OK,--,12:26:12 PM,11/27/2025,
125,37.7,gf,0.385,mm,OK,--,12:26:12 PM,11/27/2025,
126,37.6,gf,0.385,mm,OK,--,12:26:12 PM,11/27/2025,
127,37.7,gf,0.390,mm,OK,--,12:26:12 PM,11/27/2025,
128,37.8,gf,0.395,mm,OK,--,12:26:12 PM,11/27/2025,
129,37.8,gf,0.400,mm,OK,--,12:26:13 PM,11/27/2025,
130,37.9,gf,0.400,mm,OK,--,12:26:13 PM,11/27/2025,
131,37.9,gf,0.405,mm,OK,--,12:26:13 PM,11/27/2025,
132,37.9,gf,0.410,mm,OK,--,12:26:13 PM,11/27/2025,
133,37.9,gf,0.410,mm,OK,--,12:26:13 PM,11/27/2025,
134,37.8,gf,0.415,mm,OK,--,12:26:13 PM,11/27/2025,
135,37.8,gf,0.420,mm,OK,--,12:26:13 PM,11/27/2025,
136,37.8,gf,0.420,mm,OK,--,12:26:13 PM,11/27/2025,
137,37.8,gf,0.425,mm,OK,--,12:26:13 PM,11/27/2025,
138,37.9,gf,0.425,mm,OK,--,12:26:13 PM,11/27/2025,
139,37.9,gf,0.430,mm,OK,--,12:26:14 PM,11/27/2025,
140,37.9,gf,0.430,mm,OK,--,12:26:14 PM,11/27/2025,
141,38.0,gf,0.435,mm,OK,--,12:26:14 PM,11/27/2025,
142,38.0,gf,0.435,mm,OK,--,12:26:14 PM,11/27/2025,
143,38.0,gf,0.440,mm,OK,--,12:26:14 PM,11/27/2025,
144,38.0,gf,0.445,mm,OK,--,12:26:14 PM,11/27/2025,
145,38.0,gf,0.445,mm,OK,--,12:26:14 PM,11/27/2025,
146,38.1,gf,0.450,mm,OK,--,12:26:14 PM,11/27/2025,
147,38.0,gf,0.455,mm,OK,--,12:26:14 PM,11/27/2025,
148,38.0,gf,0.460,mm,OK,--,12:26:14 PM,11/27/2025,
149,38.1,gf,0.465,mm,OK,--,12:26:15 PM,11/27/2025,
150,38.1,gf,0.470,mm,OK,--,12:26:15 PM,11/27/2025,
151,38.0,gf,0.470,mm,OK,--,12:26:15 PM,11/27/2025,
152,38.1,gf,0.475,mm,OK,--,12:26:15 PM,11/27/2025,
153,38.1,gf,0.480,mm,OK,--,12:26:15 PM,11/27/2025,
154,38.1,gf,0.480,mm,OK,--,12:26:15 PM,11/27/2025,
155,38.1,gf,0.485,mm,OK,--,12:26:15 PM,11/27/2025,
156,38.2,gf,0.485,mm,OK,--,12:26:15 PM,11/27/2025,
157,38.2,gf,0.490,mm,OK,--,12:26:15 PM,11/27/2025,
158,38.2,gf,0.495,mm,OK,--,12:26:15 PM,11/27/2025,
159,38.2,gf,0.495,mm,OK,--,12:26:16 PM,11/27/2025,
160,38.3,gf,0.500,mm,OK,--,12:26:16 PM,11/27/2025,
161,38.2,gf,0.505,mm,OK,--,12:26:16 PM,11/27/2025,
162,38.4,gf,0.505,mm,OK,--,12:26:16 PM,11/27/2025,
163,38.2,gf,0.510,mm,OK,--,12:26:16 PM,11/27/2025,
164,38.3,gf,0.510,mm,OK,--,12:26:16 PM,11/27/2025,
165,38.3,gf,0.515,mm,OK,--,12:26:16 PM,11/27/2025,
166,38.4,gf,0.520,mm,OK,--,12:26:16 PM,11/27/2025,
167,37.7,gf,0.520,mm,OK,--,12:26:16 PM,11/27/2025,
168,37.8,gf,0.525,mm,OK,--,12:26:16 PM,11/27/2025,
169,37.8,gf,0.525,mm,OK,--,12:26:17 PM,11/27/2025,
170,37.7,gf,0.530,mm,OK,--,12:26:17 PM,11/27/2025,
171,37.8,gf,0.530,mm,OK,--,12:26:17 PM,11/27/2025,
172,37.9,gf,0.535,mm,OK,--,12:26:17 PM,11/27/2025,
173,37.8,gf,0.540,mm,OK,--,12:26:17 PM,11/27/2025,
