Maximum,192.3,@,No.1025,,,,,,
Minimum,-0.1,@,No.1839,,,,,,
Average,45.33,,,,,,,,
Data Quantity,1851,,,,,,,,
Number of NG,0,,,,,,,,
No.,Force,Unit,Displacement,Unit,Judge,Position,Time,Date,
1,0.0,gf,0.000,mm,OK,--,9:23:06 PM,6/20/2025,
2,0.0,gf,0.000,mm,OK,--,9:23:06 PM,6/20/2025,
3,0.0,gf,0.000,mm,OK,--,9:23:06 PM,6/20/2025,
4,0.0,gf,0.000,mm,OK,--,9:23:06 PM,6/20/2025,
5,0.0,gf,0.000,mm,OK,--,9:23:06 PM,6/20/2025,
6,0.0,gf,0.000,mm,OK,--,9:23:07 PM,6/20/2025,
7,0.0,gf,0.000,mm,OK,--,9:23:07 PM,6/20/2025,
8,0.0,gf,0.000,mm,OK,--,9:23:07 PM,6/20/2025,
9,0.0,gf,0.000,mm,OK,--,9:23:07 PM,6/20/2025,
10,0.0,gf,0.000,mm,OK,--,9:23:07 PM,6/20/2025,
11,0.0,gf,0.000,mm,OK,--,9:23:07 PM,6/20/2025,
12,0.0,gf,0.000,mm,OK,--,9:23:07 PM,6/20/2025,
13,0.0,gf,0.000,mm,OK,--,9:23:07 PM,6/20/2025,
14,0.0,gf,0.000,mm,OK,--,9:23:07 PM,6/20/2025,
15,0.0,gf,0.000,mm,OK,--,9:23:07 PM,6/20/2025,
16,0.0,gf,0.000,mm,OK,--,9:23:08 PM,6/20/2025,
17,0.0,gf,0.000,mm,OK,--,9:23:08 PM,6/20/2025,
18,0.0,gf,0.005,mm,OK,--,9:23:08 PM,6/20/2025,
19,0.0,gf,0.010,mm,OK,--,9:23:08 PM,6/20/2025,
20,0.0,gf,0.015,mm,OK,--,9:23:08 PM,6/20/2025,
21,0.0,gf,0.030,mm,OK,--,9:23:08 PM,6/20/2025,
22,11.6,gf,0.045,mm,OK,--,9:23:08 PM,6/20/2025,
23,25.7,gf,0.060,mm,OK,--,9:23:08 PM,6/20/2025,
24,31.3,gf,0.070,mm,OK,--,9:23:08 PM,6/20/2025,
25,34.5,gf,0.075,mm,OK,--,9:23:08 PM,6/20/2025,
26,36.3,gf,0.080,mm,OK,--,9:23:09 PM,6/20/2025,
27,39.1,gf,0.085,mm,OK,--,9:23:09 PM,6/20/2025,
28,43.0,gf,0.090,mm,OK,--,9:23:09 PM,6/20/2025,
29,46.6,gf,0.095,mm,OK,--,9:23:09 PM,6/20/2025,
30,49.3,gf,0.100,mm,OK,--,9:23:09 PM,6/20/2025,
31,50.4,gf,0.105,mm,OK,--,9:23:09 PM,6/20/2025,
32,51.2,gf,0.110,mm,OK,--,9:23:09 PM,6/20/2025,
33,51.3,gf,0.120,mm,OK,--,9:23:09 PM,6/20/2025,
34,51.2,gf,0.125,mm,OK,--,9:23:09 PM,6/20/2025,
35,51.0,gf,0.130,mm,OK,--,9:23:09 PM,6/20/2025,
36,51.3,gf,0.135,mm,OK,--,9:23:10 PM,6/20/2025,
37,51.5,gf,0.140,mm,OK,--,9:23:10 PM,6/20/2025,
38,51.5,gf,0.145,mm,OK,--,9:23:10 PM,6/20/2025,
39,51.4,gf,0.155,mm,OK,--,9:23:10 PM,6/20/2025,
40,51.5,gf,0.160,mm,OK,--,9:23:10 PM,6/20/2025,
41,51.4,gf,0.165,mm,OK,--,9:23:10 PM,6/20/2025,
42,51.4,gf,0.170,mm,OK,--,9:23:10 PM,6/20/2025,
43,51.5,gf,0.175,mm,OK,--,9:23:10 PM,6/20/2025,
44,51.5,gf,0.180,mm,OK,--,9:23:10 PM,6/20/2025,
45,51.6,gf,0.185,mm,OK,--,9:23:10 PM,6/20/2025,
46,51.6,gf,0.190,mm,OK,--,9:23:11 PM,6/20/2025,
47,51.6,gf,0.190,mm,OK,--,9:23:11 PM,6/20/2025,
48,51.7,gf,0.195,mm,OK,--,9:23:11 PM,6/20/2025,
49,51.7,gf,0.200,mm,OK,--,9:23:11 PM,6/20/2025,
50,51.7,gf,0.200,mm,OK,--,9:23:11 PM,6/20/2025,
51,51.7,gf,0.205,mm,OK,--,9:23:11 PM,6/20/2025,
52,51.8,gf,0.210,mm,OK,--,9:23:11 PM,6/20/2025,
53,51.8,gf,0.215,mm,OK,--,9:23:11 PM,6/20/2025,
54,51.7,gf,0.220,mm,OK,--,9:23:11 PM,6/20/2025,
55,52.0,gf,0.220,mm,OK,--,9:23:11 PM,6/20/2025,
56,52.1,gf,0.225,mm,OK,--,9:23:12 PM,6/20/2025,
57,52.1,gf,0.230,mm,OK,--,9:23:12 PM,6/20/2025,
58,52.1,gf,0.235,mm,OK,--,9:23:12 PM,6/20/2025,
59,52.1,gf,0.240,mm,OK,--,9:23:12 PM,6/20/2025,
60,52.2,gf,0.240,mm,OK,--,9:23:12 PM,6/20/2025,
61,51.9,gf,0.245,mm,OK,--,9:23:12 PM,6/20/2025,
62,51.6,gf,0.250,mm,OK,--,9:23:12 PM,6/20/2025,
63,51.4,gf,0.250,mm,OK,--,9:23:12 PM,6/20/2025,
64,51.3,gf,0.255,mm,OK,--,9:23:12 PM,6/20/2025,
65,51.2,gf,0.255,mm,OK,--,9:23:12 PM,6/20/2025,
66,51.2,gf,0.260,mm,OK,--,9:23:13 PM,6/20/2025,
67,51.2,gf,0.265,mm,OK,--,9:23:13 PM,6/20/2025,
68,51.0,gf,0.265,mm,OK,--,9:23:13 PM,6/20/2025,
69,51.0,gf,0.270,mm,OK,--,9:23:13 PM,6/20/2025,
70,51.0,gf,0.275,mm,OK,--,9:23:13 PM,6/20/2025,
71,50.9,gf,0.280,mm,OK,--,9:23:13 PM,6/20/2025,
72,50.8,gf,0.280,mm,OK,--,9:23:13 PM,6/20/2025,
73,50.8,gf,0.285,mm,OK,--,9:23:13 PM,6/20/2025,
74,50.5,gf,0.290,mm,OK,--,9:23:13 PM,6/20/2025,
75,50.3,gf,0.295,mm,OK,--,9:23:13 PM,6/20/2025,
76,49.9,gf,0.300,mm,OK,--,9:23:14 PM,6/20/2025,
77,49.7,gf,0.310,mm,OK,--,9:23:14 PM,6/20/2025,
78,49.4,gf,0.315,mm,OK,--,9:23:14 PM,6/20/2025,
79,49.3,gf,0.320,mm,OK,--,9:23:14 PM,6/20/2025,
80,49.0,gf,0.325,mm,OK,--,9:23:14 PM,6/20/2025,
81,48.9,gf,0.330,mm,OK,--,9:23:14 PM,6/20/2025,
82,48.8,gf,0.335,mm,OK,--,9:23:14 PM,6/20/2025,
83,48.8,gf,0.340,mm,OK,--,9:23:14 PM,6/20/2025,
84,48.7,gf,0.345,mm,OK,--,9:23:14 PM,6/20/2025,
85,48.8,gf,0.350,mm,OK,--,9:23:14 PM,6/20/2025,
86,48.8,gf,0.350,mm,OK,--,9:23:15 PM,6/20/2025,
87,48.7,gf,0.355,mm,OK,--,9:23:15 PM,6/20/2025,
88,48.6,gf,0.360,mm,OK,--,9:23:15 PM,6/20/2025,
89,48.4,gf,0.365,mm,OK,--,9:23:15 PM,6/20/2025,
90,48.3,gf,0.370,mm,OK,--,9:23:15 PM,6/20/2025,
91,48.3,gf,0.375,mm,OK,--,9:23:15 PM,6/20/2025,
92,47.9,gf,0.380,mm,OK,--,9:23:15 PM,6/20/2025,
93,47.8,gf,0.385,mm,OK,--,9:23:15 PM,6/20/2025,
94,47.7,gf,0.390,mm,OK,--,9:23:15 PM,6/20/2025,
95,47.5,gf,0.390,mm,OK,--,9:23:15 PM,6/20/2025,
96,47.3,gf,0.395,mm,OK,--,9:23:16 PM,6/20/2025,
97,47.1,gf,0.400,mm,OK,--,9:23:16 PM,6/20/2025,
