Maximum,195.1,@,No.897,,,,,,
Minimum,-0.5,@,No.1836,,,,,,
Average,49.65,,,,,,,,
Data Quantity,1852,,,,,,,,
Number of NG,0,,,,,,,,
No.,Force,Unit,Displacement,Unit,Judge,Position,Time,Date,
1,0.0,gf,0.000,mm,OK,--,6:47:12 PM,1/25/2026,
2,0.1,gf,0.000,mm,OK,--,6:47:12 PM,1/25/2026,
3,-0.3,gf,0.000,mm,OK,--,6:47:12 PM,1/25/2026,
4,-0.1,gf,0.000,mm,OK,--,6:47:12 PM,1/25/2026,
5,1.4,gf,0.000,mm,OK,--,6:47:12 PM,1/25/2026,
6,0.5,gf,0.000,mm,OK,--,6:47:12 PM,1/25/2026,
7,-0.2,gf,0.000,mm,OK,--,6:47:13 PM,1/25/2026,
8,-0.1,gf,0.005,mm,OK,--,6:47:13 PM,1/25/2026,
9,-0.1,gf,0.005,mm,OK,--,6:47:13 PM,1/25/2026,
10,0.0,gf,0.010,mm,OK,--,6:47:13 PM,1/25/2026,
11,0.0,gf,0.010,mm,OK,--,6:47:13 PM,1/25/2026,
12,0.0,gf,0.015,mm,OK,--,6:47:13 PM,1/25/2026,
13,0.0,gf,0.015,mm,OK,--,6:47:13 PM,1/25/2026,
14,0.0,gf,0.020,mm,OK,--,6:47:13 PM,1/25/2026,
15,0.0,gf,0.020,mm,OK,--,6:47:13 PM,1/25/2026,
16,0.0,gf,0.025,mm,OK,--,6:47:13 PM,1/25/2026,
17,0.0,gf,0.025,mm,OK,--,6:47:14 PM,1/25/2026,
18,0.0,gf,0.030,mm,OK,--,6:47:14 PM,1/25/2026,
19,0.0,gf,0.030,mm,OK,--,6:47:14 PM,1/25/2026,
20,0.0,gf,0.035,mm,OK,--,6:47:14 PM,1/25/2026,
21,0.0,gf,0.035,mm,OK,--,6:47:14 PM,1/25/2026,
22,0.1,gf,0.040,mm,OK,--,6:47:14 PM,1/25/2026,
23,1.9,gf,0.045,mm,OK,--,6:47:14 PM,1/25/2026,
24,3.3,gf,0.045,mm,OK,--,6:47:14 PM,1/25/2026,
25,4.0,gf,0.045,mm,OK,--,6:47:14 PM,1/25/2026,
26,4.3,gf,0.045,mm,OK,--,6:47:14 PM,1/25/2026,
27,4.9,gf,0.045,mm,OK,--,6:47:15 PM,1/25/2026,
28,5.4,gf,0.045,mm,OK,--,6:47:15 PM,1/25/2026,
