Maximum,192.6,@,No.1022,,,,,,
Minimum,-0.3,@,No.10,,,,,,
Average,52.50,,,,,,,,
Data Quantity,1999,,,,,,,,
Number of NG,0,,,,,,,,
No.,Force,Unit,Displacement,Unit,Judge,Position,Time,Date,
1,0.0,gf,0.005,mm,OK,--,6:39:37 PM,1/25/2026,
2,0.0,gf,0.005,mm,OK,--,6:39:37 PM,1/25/2026,
3,0.0,gf,0.005,mm,OK,--,6:39:37 PM,1/25/2026,
4,0.0,gf,0.005,mm,OK,--,6:39:37 PM,1/25/2026,
5,0.0,gf,0.005,mm,OK,--,6:39:37 PM,1/25/2026,
6,0.0,gf,0.005,mm,OK,--,6:39:37 PM,1/25/2026,
7,0.0,gf,0.005,mm,OK,--,6:39:38 PM,1/25/2026,
8,0.0,gf,0.005,mm,OK,--,6:39:38 PM,1/25/2026,
9,0.0,gf,0.010,mm,OK,--,6:39:38 PM,1/25/2026,
10,-0.3,gf,0.010,mm,OK,--,6:39:38 PM,1/25/2026,
11,-0.1,gf,0.010,mm,OK,--,6:39:38 PM,1/25/2026,
12,0.0,gf,0.010,mm,OK,--,6:39:38 PM,1/25/2026,
13,0.0,gf,0.010,mm,OK,--,6:39:38 PM,1/25/2026,
14,0.0,gf,0.010,mm,OK,--,6:39:38 PM,1/25/2026,
15,0.0,gf,0.015,mm,OK,--,6:39:38 PM,1/25/2026,
16,0.0,gf,0.015,mm,OK,--,6:39:38 PM,1/25/2026,
17,-0.1,gf,0.020,mm,OK,--,6:39:39 PM,1/25/2026,
18,0.0,gf,0.020,mm,OK,--,6:39:39 PM,1/25/2026,
19,0.0,gf,0.025,mm,OK,--,6:39:39 PM,1/25/2026,
20,0.0,gf,0.025,mm,OK,--,6:39:39 PM,1/25/2026,
21,0.0,gf,0.025,mm,OK,--,6:39:39 PM,1/25/2026,
22,0.0,gf,0.025,mm,OK,--,6:39:39 PM,1/25/2026,
23,0.0,gf,0.025,mm,OK,--,6:39:39 PM,1/25/2026,
24,0.0,gf,0.030,mm,OK,--,6:39:39 PM,1/25/2026,
25,-0.1,gf,0.030,mm,OK,--,6:39:39 PM,1/25/2026,
26,0.0,gf,0.030,mm,OK,--,6:39:39 PM,1/25/2026,
27,0.0,gf,0.030,mm,OK,--,6:39:40 PM,1/25/2026,
28,0.0,gf,0.035,mm,OK,--,6:39:40 PM,1/25/2026,
29,0.0,gf,0.035,mm,OK,--,6:39:40 PM,1/25/2026,
