Maximum,191.7,@,No.1032,,,,,,
Minimum,-0.4,@,No.4,,,,,,
Average,52.17,,,,,,,,
Data Quantity,2124,,,,,,,,
Number of NG,0,,,,,,,,
No.,Force,Unit,Displacement,Unit,Judge,Position,Time,Date,
1,0.0,gf,0.000,mm,OK,--,1:20:19 PM,12/29/2025,
2,-0.1,gf,0.000,mm,OK,--,1:20:20 PM,12/29/2025,
3,-0.2,gf,0.000,mm,OK,--,1:20:20 PM,12/29/2025,
4,-0.4,gf,0.000,mm,OK,--,1:20:20 PM,12/29/2025,
5,0.0,gf,0.000,mm,OK,--,1:20:20 PM,12/29/2025,
6,0.1,gf,0.000,mm,OK,--,1:20:20 PM,12/29/2025,
7,0.1,gf,0.000,mm,OK,--,1:20:20 PM,12/29/2025,
8,-0.1,gf,0.000,mm,OK,--,1:20:20 PM,12/29/2025,
9,0.0,gf,0.000,mm,OK,--,1:20:20 PM,12/29/2025,
10,0.1,gf,0.000,mm,OK,--,1:20:20 PM,12/29/2025,
11,0.0,gf,0.000,mm,OK,--,1:20:20 PM,12/29/2025,
12,0.0,gf,0.000,mm,OK,--,1:20:21 PM,12/29/2025,
13,0.0,gf,0.000,mm,OK,--,1:20:21 PM,12/29/2025,
14,0.0,gf,0.000,mm,OK,--,1:20:21 PM,12/29/2025,
15,0.0,gf,0.000,mm,OK,--,1:20:21 PM,12/29/2025,
16,0.1,gf,0.000,mm,OK,--,1:20:21 PM,12/29/2025,
17,0.0,gf,0.000,mm,OK,--,1:20:21 PM,12/29/2025,
18,0.0,gf,0.000,mm,OK,--,1:20:21 PM,12/29/2025,
19,0.0,gf,0.000,mm,OK,--,1:20:21 PM,12/29/2025,
20,0.0,gf,0.000,mm,OK,--,1:20:21 PM,12/29/2025,
21,0.1,gf,0.000,mm,OK,--,1:20:21 PM,12/29/2025,
22,0.0,gf,0.000,mm,OK,--,1:20:22 PM,12/29/2025,
23,0.0,gf,0.000,mm,OK,--,1:20:22 PM,12/29/2025,
24,0.0,gf,0.000,mm,OK,--,1:20:22 PM,12/29/2025,
25,0.0,gf,0.000,mm,OK,--,1:20:22 PM,12/29/2025,
26,-0.1,gf,0.000,mm,OK,--,1:20:22 PM,12/29/2025,
27,0.1,gf,0.000,mm,OK,--,1:20:22 PM,12/29/2025,
28,0.0,gf,0.000,mm,OK,--,1:20:22 PM,12/29/2025,
29,0.1,gf,0.005,mm,OK,--,1:20:22 PM,12/29/2025,
30,0.0,gf,0.005,mm,OK,--,1:20:22 PM,12/29/2025,
31,0.1,gf,0.005,mm,OK,--,1:20:22 PM,12/29/2025,
32,0.0,gf,0.005,mm,OK,--,1:20:23 PM,12/29/2025,
33,-0.1,gf,0.005,mm,OK,--,1:20:23 PM,12/29/2025,
34,-0.1,gf,0.010,mm,OK,--,1:20:23 PM,12/29/2025,
35,0.0,gf,0.010,mm,OK,--,1:20:23 PM,12/29/2025,
36,0.1,gf,0.015,mm,OK,--,1:20:23 PM,12/29/2025,
37,0.0,gf,0.015,mm,OK,--,1:20:23 PM,12/29/2025,
38,0.1,gf,0.015,mm,OK,--,1:20:23 PM,12/29/2025,
39,0.0,gf,0.020,mm,OK,--,1:20:23 PM,12/29/2025,
40,0.0,gf,0.020,mm,OK,--,1:20:23 PM,12/29/2025,
41,0.0,gf,0.025,mm,OK,--,1:20:23 PM,12/29/2025,
42,0.0,gf,0.030,mm,OK,--,1:20:24 PM,12/29/2025,
43,0.0,gf,0.030,mm,OK,--,1:20:24 PM,12/29/2025,
44,0.0,gf,0.035,mm,OK,--,1:20:24 PM,12/29/2025,
45,0.0,gf,0.040,mm,OK,--,1:20:24 PM,12/29/2025,
46,0.1,gf,0.040,mm,OK,--,1:20:24 PM,12/29/2025,
47,0.4,gf,0.045,mm,OK,--,1:20:24 PM,12/29/2025,
48,4.4,gf,0.050,mm,OK,--,1:20:24 PM,12/29/2025,
49,9.4,gf,0.055,mm,OK,--,1:20:24 PM,12/29/2025,
50,14.2,gf,0.060,mm,OK,--,1:20:24 PM,12/29/2025,
51,17.5,gf,0.065,mm,OK,--,1:20:24 PM,12/29/2025,
52,20.8,gf,0.070,mm,OK,--,1:20:25 PM,12/29/2025,
53,24.1,gf,0.070,mm,OK,--,1:20:25 PM,12/29/2025,
54,26.8,gf,0.075,mm,OK,--,1:20:25 PM,12/29/2025,
55,29.6,gf,0.080,mm,OK,--,1:20:25 PM,12/29/2025,
56,32.5,gf,0.080,mm,OK,--,1:20:25 PM,12/29/2025,
57,36.0,gf,0.085,mm,OK,--,1:20:25 PM,12/29/2025,
58,37.1,gf,0.085,mm,OK,--,1:20:25 PM,12/29/2025,
59,37.8,gf,0.085,mm,OK,--,1:20:25 PM,12/29/2025,
60,38.0,gf,0.090,mm,OK,--,1:20:25 PM,12/29/2025,
61,38.2,gf,0.090,mm,OK,--,1:20:25 PM,12/29/2025,
62,38.2,gf,0.090,mm,OK,--,1:20:26 PM,12/29/2025,
63,38.1,gf,0.095,mm,OK,--,1:20:26 PM,12/29/2025,
64,38.1,gf,0.095,mm,OK,--,1:20:26 PM,12/29/2025,
65,38.2,gf,0.095,mm,OK,--,1:20:26 PM,12/29/2025,
66,37.9,gf,0.095,mm,OK,--,1:20:26 PM,12/29/2025,
67,37.8,gf,0.095,mm,OK,--,1:20:26 PM,12/29/2025,
68,38.0,gf,0.100,mm,OK,--,1:20:26 PM,12/29/2025,
69,38.2,gf,0.100,mm,OK,--,1:20:26 PM,12/29/2025,
70,38.1,gf,0.100,mm,OK,--,1:20:26 PM,12/29/2025,
71,37.9,gf,0.100,mm,OK,--,1:20:26 PM,12/29/2025,
72,38.0,gf,0.105,mm,OK,--,1:20:27 PM,12/29/2025,
73,38.0,gf,0.105,mm,OK,--,1:20:27 PM,12/29/2025,
74,38.0,gf,0.105,mm,OK,--,1:20:27 PM,12/29/2025,
75,38.0,gf,0.110,mm,OK,--,1:20:27 PM,12/29/2025,
76,38.0,gf,0.110,mm,OK,--,1:20:27 PM,12/29/2025,
77,38.0,gf,0.110,mm,OK,--,1:20:27 PM,12/29/2025,
78,37.8,gf,0.115,mm,OK,--,1:20:27 PM,12/29/2025,
79,37.8,gf,0.115,mm,OK,--,1:20:27 PM,12/29/2025,
80,38.0,gf,0.115,mm,OK,--,1:20:27 PM,12/29/2025,
81,37.9,gf,0.115,mm,OK,--,1:20:27 PM,12/29/2025,
82,37.9,gf,0.120,mm,OK,--,1:20:28 PM,12/29/2025,
83,37.9,gf,0.120,mm,OK,--,1:20:28 PM,12/29/2025,
84,37.9,gf,0.120,mm,OK,--,1:20:28 PM,12/29/2025,
85,37.8,gf,0.120,mm,OK,--,1:20:28 PM,12/29/2025,
86,37.8,gf,0.125,mm,OK,--,1:20:28 PM,12/29/2025,
87,37.9,gf,0.125,mm,OK,--,1:20:28 PM,12/29/2025,
88,38.0,gf,0.130,mm,OK,--,1:20:28 PM,12/29/2025,
89,37.9,gf,0.135,mm,OK,--,1:20:28 PM,12/29/2025,
90,37.8,gf,0.135,mm,OK,--,1:20:28 PM,12/29/2025,
91,37.8,gf,0.140,mm,OK,--,1:20:28 PM,12/29/2025,
92,37.8,gf,0.145,mm,OK,--,1:20:29 PM,12/29/2025,
93,37.8,gf,0.145,mm,OK,--,1:20:29 PM,12/29/2025,
94,37.8,gf,0.150,mm,OK,--,1:20:29 PM,12/29/2025,
95,37.8,gf,0.150,mm,OK,--,1:20:29 PM,12/29/2025,
96,37.9,gf,0.155,mm,OK,--,1:20:29 PM,12/29/2025,
97,37.8,gf,0.160,mm,OK,--,1:20:29 PM,12/29/2025,
98,37.7,gf,0.160,mm,OK,--,1:20:29 PM,12/29/2025,
99,37.9,gf,0.165,mm,OK,--,1:20:29 PM,12/29/2025,
100,37.9,gf,0.165,mm,OK,--,1:20:29 PM,12/29/2025,
101,37.8,gf,0.170,mm,OK,--,1:20:29 PM,12/29/2025,
102,37.9,gf,0.170,mm,OK,--,1:20:30 PM,12/29/2025,
103,37.9,gf,0.175,mm,OK,--,1:20:30 PM,12/29/2025,
104,37.9,gf,0.180,mm,OK,--,1:20:30 PM,12/29/2025,
105,37.9,gf,0.180,mm,OK,--,1:20:30 PM,12/29/2025,
106,38.0,gf,0.185,mm,OK,--,1:20:30 PM,12/29/2025,
107,38.0,gf,0.190,mm,OK,--,1:20:30 PM,12/29/2025,
108,37.9,gf,0.195,mm,OK,--,1:20:30 PM,12/29/2025,
109,37.9,gf,0.200,mm,OK,--,1:20:30 PM,12/29/2025,
110,38.0,gf,0.205,mm,OK,--,1:20:30 PM,12/29/2025,
111,38.1,gf,0.215,mm,OK,--,1:20:30 PM,12/29/2025,
112,38.1,gf,0.220,mm,OK,--,1:20:31 PM,12/29/2025,
113,38.0,gf,0.235,mm,OK,--,1:20:31 PM,12/29/2025,
114,37.9,gf,0.240,mm,OK,--,1:20:31 PM,12/29/2025,
115,37.9,gf,0.250,mm,OK,--,1:20:31 PM,12/29/2025,
116,37.9,gf,0.255,mm,OK,--,1:20:31 PM,12/29/2025,
117,37.9,gf,0.260,mm,OK,--,1:20:31 PM,12/29/2025,
118,37.9,gf,0.265,mm,OK,--,1:20:31 PM,12/29/2025,
119,37.9,gf,0.270,mm,OK,--,1:20:31 PM,12/29/2025,
120,37.9,gf,0.275,mm,OK,--,1:20:31 PM,12/29/2025,
121,38.0,gf,0.280,mm,OK,--,1:20:31 PM,12/29/2025,
122,38.0,gf,0.285,mm,OK,--,1:20:32 PM,12/29/2025,
123,38.0,gf,0.290,mm,OK,--,1:20:32 PM,12/29/2025,
124,38.0,gf,0.300,mm,OK,--,1:20:32 PM,12/29/2025,
125,38.1,gf,0.305,mm,OK,--,1:20:32 PM,12/29/2025,
126,38.1,gf,0.315,mm,OK,--,1:20:32 PM,12/29/2025,
127,38.2,gf,0.320,mm,OK,--,1:20:32 PM,12/29/2025,
128,38.2,gf,0.325,mm,OK,--,1:20:32 PM,12/29/2025,
129,38.3,gf,0.325,mm,OK,--,1:20:32 PM,12/29/2025,
130,38.3,gf,0.330,mm,OK,--,1:20:32 PM,12/29/2025,
131,38.3,gf,0.335,mm,OK,--,1:20:32 PM,12/29/2025,
132,38.4,gf,0.340,mm,OK,--,1:20:33 PM,12/29/2025,
133,38.3,gf,0.340,mm,OK,--,1:20:33 PM,12/29/2025,
134,38.3,gf,0.345,mm,OK,--,1:20:33 PM,12/29/2025,
135,38.3,gf,0.345,mm,OK,--,1:20:33 PM,12/29/2025,
136,38.4,gf,0.350,mm,OK,--,1:20:33 PM,12/29/2025,
137,38.4,gf,0.350,mm,OK,--,1:20:33 PM,12/29/2025,
138,38.3,gf,0.355,mm,OK,--,1:20:33 PM,12/29/2025,
139,38.3,gf,0.355,mm,OK,--,1:20:33 PM,12/29/2025,
140,38.4,gf,0.360,mm,OK,--,1:20:33 PM,12/29/2025,
141,38.4,gf,0.360,mm,OK,--,1:20:33 PM,12/29/2025,
142,38.4,gf,0.365,mm,OK,--,1:20:34 PM,12/29/2025,
143,38.5,gf,0.365,mm,OK,--,1:20:34 PM,12/29/2025,
144,38.4,gf,0.370,mm,OK,--,1:20:34 PM,12/29/2025,
145,38.4,gf,0.370,mm,OK,--,1:20:34 PM,12/29/2025,
146,38.4,gf,0.370,mm,OK,--,1:20:34 PM,12/29/2025,
147,38.4,gf,0.375,mm,OK,--,1:20:34 PM,12/29/2025,
148,38.3,gf,0.375,mm,OK,--,1:20:34 PM,12/29/2025,
149,38.4,gf,0.375,mm,OK,--,1:20:34 PM,12/29/2025,
150,38.5,gf,0.380,mm,OK,--,1:20:34 PM,12/29/2025,
151,38.5,gf,0.380,mm,OK,--,1:20:34 PM,12/29/2025,
152,38.5,gf,0.385,mm,OK,--,1:20:35 PM,12/29/2025,
153,38.4,gf,0.390,mm,OK,--,1:20:35 PM,12/29/2025,
154,38.4,gf,0.395,mm,OK,--,1:20:35 PM,12/29/2025,
155,38.4,gf,0.395,mm,OK,--,1:20:35 PM,12/29/2025,
156,38.4,gf,0.400,mm,OK,--,1:20:35 PM,12/29/2025,
157,38.4,gf,0.400,mm,OK,--,1:20:35 PM,12/29/2025,
158,38.4,gf,0.405,mm,OK,--,1:20:35 PM,12/29/2025,
159,38.4,gf,0.405,mm,OK,--,1:20:35 PM,12/29/2025,
160,38.4,gf,0.410,mm,OK,--,1:20:35 PM,12/29/2025,
161,38.4,gf,0.410,mm,OK,--,1:20:35 PM,12/29/2025,
162,38.5,gf,0.415,mm,OK,--,1:20:36 PM,12/29/2025,
163,38.5,gf,0.415,mm,OK,--,1:20:36 PM,12/29/2025,
164,38.5,gf,0.420,mm,OK,--,1:20:36 PM,12/29/2025,
165,38.5,gf,0.420,mm,OK,--,1:20:36 PM,12/29/2025,
166,38.6,gf,0.425,mm,OK,--,1:20:36 PM,12/29/2025,
167,38.6,gf,0.425,mm,OK,--,1:20:36 PM,12/29/2025,
168,38.7,gf,0.430,mm,OK,--,1:20:36 PM,12/29/2025,
169,38.7,gf,0.435,mm,OK,--,1:20:36 PM,12/29/2025,
170,38.7,gf,0.445,mm,OK,--,1:20:36 PM,12/29/2025,
171,38.7,gf,0.445,mm,OK,--,1:20:36 PM,12/29/2025,
172,38.7,gf,0.450,mm,OK,--,1:20:37 PM,12/29/2025,
173,38.7,gf,0.450,mm,OK,--,1:20:37 PM,12/29/2025,
174,38.8,gf,0.455,mm,OK,--,1:20:37 PM,12/29/2025,
175,38.8,gf,0.455,mm,OK,--,1:20:37 PM,12/29/2025,
176,38.8,gf,0.460,mm,OK,--,1:20:37 PM,12/29/2025,
177,38.7,gf,0.465,mm,OK,--,1:20:37 PM,12/29/2025,
178,38.8,gf,0.465,mm,OK,--,1:20:37 PM,12/29/2025,
179,38.9,gf,0.470,mm,OK,--,1:20:37 PM,12/29/2025,
