Maximum,191.3,@,No.1215,,,,,,
Minimum,-0.1,@,No.29,,,,,,
Average,47.77,,,,,,,,
Data Quantity,2195,,,,,,,,
Number of NG,0,,,,,,,,
No.,Force,Unit,Displacement,Unit,Judge,Position,Time,Date,
1,0.0,gf,0.000,mm,OK,--,6:40:30 PM,11/25/2025,
2,0.0,gf,0.000,mm,OK,--,6:40:31 PM,11/25/2025,
3,0.0,gf,0.000,mm,OK,--,6:40:31 PM,11/25/2025,
4,0.0,gf,0.000,mm,OK,--,6:40:31 PM,11/25/2025,
5,0.0,gf,0.000,mm,OK,--,6:40:31 PM,11/25/2025,
6,0.0,gf,0.000,mm,OK,--,6:40:31 PM,11/25/2025,
7,0.0,gf,0.000,mm,OK,--,6:40:31 PM,11/25/2025,
8,0.0,gf,0.000,mm,OK,--,6:40:31 PM,11/25/2025,
9,0.0,gf,0.000,mm,OK,--,6:40:31 PM,11/25/2025,
10,0.0,gf,0.005,mm,OK,--,6:40:31 PM,11/25/2025,
11,0.0,gf,0.005,mm,OK,--,6:40:31 PM,11/25/2025,
12,0.0,gf,0.005,mm,OK,--,6:40:32 PM,11/25/2025,
13,0.0,gf,0.005,mm,OK,--,6:40:32 PM,11/25/2025,
14,0.0,gf,0.005,mm,OK,--,6:40:32 PM,11/25/2025,
15,0.0,gf,0.005,mm,OK,--,6:40:32 PM,11/25/2025,
16,0.0,gf,0.010,mm,OK,--,6:40:32 PM,11/25/2025,
17,0.0,gf,0.010,mm,OK,--,6:40:32 PM,11/25/2025,
18,0.0,gf,0.010,mm,OK,--,6:40:32 PM,11/25/2025,
19,0.0,gf,0.010,mm,OK,--,6:40:32 PM,11/25/2025,
20,0.0,gf,0.010,mm,OK,--,6:40:32 PM,11/25/2025,
21,0.0,gf,0.015,mm,OK,--,6:40:32 PM,11/25/2025,
22,0.0,gf,0.015,mm,OK,--,6:40:33 PM,11/25/2025,
23,0.0,gf,0.015,mm,OK,--,6:40:33 PM,11/25/2025,
24,0.0,gf,0.015,mm,OK,--,6:40:33 PM,11/25/2025,
25,0.0,gf,0.020,mm,OK,--,6:40:33 PM,11/25/2025,
26,0.0,gf,0.020,mm,OK,--,6:40:33 PM,11/25/2025,
27,0.0,gf,0.020,mm,OK,--,6:40:33 PM,11/25/2025,
28,0.0,gf,0.020,mm,OK,--,6:40:33 PM,11/25/2025,
29,-0.1,gf,0.025,mm,OK,--,6:40:33 PM,11/25/2025,
30,-0.1,gf,0.025,mm,OK,--,6:40:33 PM,11/25/2025,
31,0.0,gf,0.025,mm,OK,--,6:40:33 PM,11/25/2025,
32,-0.1,gf,0.025,mm,OK,--,6:40:34 PM,11/25/2025,
33,0.0,gf,0.030,mm,OK,--,6:40:34 PM,11/25/2025,
34,0.2,gf,0.030,mm,OK,--,6:40:34 PM,11/25/2025,
35,1.6,gf,0.030,mm,OK,--,6:40:34 PM,11/25/2025,
36,3.9,gf,0.035,mm,OK,--,6:40:34 PM,11/25/2025,
37,6.1,gf,0.035,mm,OK,--,6:40:34 PM,11/25/2025,
38,9.0,gf,0.040,mm,OK,--,6:40:34 PM,11/25/2025,
39,12.1,gf,0.045,mm,OK,--,6:40:34 PM,11/25/2025,
40,13.9,gf,0.045,mm,OK,--,6:40:34 PM,11/25/2025,
41,16.0,gf,0.050,mm,OK,--,6:40:34 PM,11/25/2025,
42,19.6,gf,0.050,mm,OK,--,6:40:35 PM,11/25/2025,
43,22.7,gf,0.055,mm,OK,--,6:40:35 PM,11/25/2025,
44,25.9,gf,0.060,mm,OK,--,6:40:35 PM,11/25/2025,
45,28.9,gf,0.065,mm,OK,--,6:40:35 PM,11/25/2025,
46,31.5,gf,0.065,mm,OK,--,6:40:35 PM,11/25/2025,
47,33.3,gf,0.070,mm,OK,--,6:40:35 PM,11/25/2025,
48,35.0,gf,0.070,mm,OK,--,6:40:35 PM,11/25/2025,
49,36.4,gf,0.075,mm,OK,--,6:40:35 PM,11/25/2025,
50,37.4,gf,0.075,mm,OK,--,6:40:35 PM,11/25/2025,
51,37.5,gf,0.080,mm,OK,--,6:40:35 PM,11/25/2025,
52,38.0,gf,0.085,mm,OK,--,6:40:36 PM,11/25/2025,
53,38.2,gf,0.085,mm,OK,--,6:40:36 PM,11/25/2025,
54,38.1,gf,0.090,mm,OK,--,6:40:36 PM,11/25/2025,
55,37.5,gf,0.090,mm,OK,--,6:40:36 PM,11/25/2025,
56,37.7,gf,0.090,mm,OK,--,6:40:36 PM,11/25/2025,
57,37.2,gf,0.095,mm,OK,--,6:40:36 PM,11/25/2025,
58,36.9,gf,0.095,mm,OK,--,6:40:36 PM,11/25/2025,
59,37.2,gf,0.095,mm,OK,--,6:40:36 PM,11/25/2025,
60,37.2,gf,0.100,mm,OK,--,6:40:36 PM,11/25/2025,
61,37.5,gf,0.100,mm,OK,--,6:40:36 PM,11/25/2025,
62,37.4,gf,0.105,mm,OK,--,6:40:37 PM,11/25/2025,
63,36.8,gf,0.105,mm,OK,--,6:40:37 PM,11/25/2025,
64,36.7,gf,0.110,mm,OK,--,6:40:37 PM,11/25/2025,
65,36.9,gf,0.110,mm,OK,--,6:40:37 PM,11/25/2025,
66,36.8,gf,0.110,mm,OK,--,6:40:37 PM,11/25/2025,
67,36.8,gf,0.115,mm,OK,--,6:40:37 PM,11/25/2025,
68,36.8,gf,0.115,mm,OK,--,6:40:37 PM,11/25/2025,
69,36.8,gf,0.120,mm,OK,--,6:40:37 PM,11/25/2025,
70,36.7,gf,0.120,mm,OK,--,6:40:37 PM,11/25/2025,
71,36.6,gf,0.125,mm,OK,--,6:40:37 PM,11/25/2025,
72,36.6,gf,0.125,mm,OK,--,6:40:38 PM,11/25/2025,
73,36.7,gf,0.130,mm,OK,--,6:40:38 PM,11/25/2025,
74,36.5,gf,0.130,mm,OK,--,6:40:38 PM,11/25/2025,
75,36.4,gf,0.130,mm,OK,--,6:40:38 PM,11/25/2025,
76,36.7,gf,0.135,mm,OK,--,6:40:38 PM,11/25/2025,
77,36.5,gf,0.135,mm,OK,--,6:40:38 PM,11/25/2025,
78,36.5,gf,0.135,mm,OK,--,6:40:38 PM,11/25/2025,
79,36.7,gf,0.140,mm,OK,--,6:40:38 PM,11/25/2025,
80,36.9,gf,0.140,mm,OK,--,6:40:38 PM,11/25/2025,
81,36.6,gf,0.145,mm,OK,--,6:40:38 PM,11/25/2025,
82,36.7,gf,0.150,mm,OK,--,6:40:39 PM,11/25/2025,
83,36.6,gf,0.150,mm,OK,--,6:40:39 PM,11/25/2025,
84,36.6,gf,0.155,mm,OK,--,6:40:39 PM,11/25/2025,
85,36.3,gf,0.155,mm,OK,--,6:40:39 PM,11/25/2025,
86,36.4,gf,0.160,mm,OK,--,6:40:39 PM,11/25/2025,
