Maximum,192.3,@,No.980,,,,,,
Minimum,-0.2,@,No.3,,,,,,
Average,49.84,,,,,,,,
Data Quantity,1818,,,,,,,,
Number of NG,0,,,,,,,,
No.,Force,Unit,Displacement,Unit,Judge,Position,Time,Date,
1,0.0,gf,0.000,mm,OK,--,9:44:06 AM,11/29/2025,
2,0.1,gf,0.000,mm,OK,--,9:44:07 AM,11/29/2025,
3,-0.2,gf,0.000,mm,OK,--,9:44:07 AM,11/29/2025,
4,-0.1,gf,0.000,mm,OK,--,9:44:07 AM,11/29/2025,
5,0.1,gf,0.000,mm,OK,--,9:44:07 AM,11/29/2025,
6,0.1,gf,0.000,mm,OK,--,9:44:07 AM,11/29/2025,
7,-0.1,gf,0.000,mm,OK,--,9:44:07 AM,11/29/2025,
8,-0.2,gf,0.000,mm,OK,--,9:44:07 AM,11/29/2025,
9,-0.1,gf,0.000,mm,OK,--,9:44:07 AM,11/29/2025,
10,0.0,gf,0.000,mm,OK,--,9:44:07 AM,11/29/2025,
11,-0.2,gf,0.005,mm,OK,--,9:44:07 AM,11/29/2025,
12,-0.1,gf,0.005,mm,OK,--,9:44:08 AM,11/29/2025,
13,0.1,gf,0.005,mm,OK,--,9:44:08 AM,11/29/2025,
14,-0.1,gf,0.005,mm,OK,--,9:44:08 AM,11/29/2025,
15,-0.1,gf,0.005,mm,OK,--,9:44:08 AM,11/29/2025,
16,0.1,gf,0.005,mm,OK,--,9:44:08 AM,11/29/2025,
17,0.1,gf,0.010,mm,OK,--,9:44:08 AM,11/29/2025,
18,0.0,gf,0.010,mm,OK,--,9:44:08 AM,11/29/2025,
19,0.0,gf,0.010,mm,OK,--,9:44:08 AM,11/29/2025,
20,0.0,gf,0.010,mm,OK,--,9:44:08 AM,11/29/2025,
21,0.0,gf,0.010,mm,OK,--,9:44:08 AM,11/29/2025,
22,0.1,gf,0.010,mm,OK,--,9:44:09 AM,11/29/2025,
23,0.0,gf,0.010,mm,OK,--,9:44:09 AM,11/29/2025,
24,0.0,gf,0.010,mm,OK,--,9:44:09 AM,11/29/2025,
25,0.0,gf,0.015,mm,OK,--,9:44:09 AM,11/29/2025,
26,0.0,gf,0.015,mm,OK,--,9:44:09 AM,11/29/2025,
27,0.0,gf,0.015,mm,OK,--,9:44:09 AM,11/29/2025,
28,-0.1,gf,0.015,mm,OK,--,9:44:09 AM,11/29/2025,
29,0.0,gf,0.015,mm,OK,--,9:44:09 AM,11/29/2025,
30,0.1,gf,0.015,mm,OK,--,9:44:09 AM,11/29/2025,
31,-0.1,gf,0.015,mm,OK,--,9:44:09 AM,11/29/2025,
32,-0.1,gf,0.015,mm,OK,--,9:44:10 AM,11/29/2025,
33,0.0,gf,0.015,mm,OK,--,9:44:10 AM,11/29/2025,
34,0.0,gf,0.020,mm,OK,--,9:44:10 AM,11/29/2025,
35,0.0,gf,0.020,mm,OK,--,9:44:10 AM,11/29/2025,
36,0.0,gf,0.020,mm,OK,--,9:44:10 AM,11/29/2025,
37,0.0,gf,0.020,mm,OK,--,9:44:10 AM,11/29/2025,
38,0.0,gf,0.020,mm,OK,--,9:44:10 AM,11/29/2025,
39,0.0,gf,0.020,mm,OK,--,9:44:10 AM,11/29/2025,
40,0.0,gf,0.020,mm,OK,--,9:44:10 AM,11/29/2025,
41,0.0,gf,0.025,mm,OK,--,9:44:10 AM,11/29/2025,
42,-0.1,gf,0.025,mm,OK,--,9:44:11 AM,11/29/2025,
43,0.0,gf,0.030,mm,OK,--,9:44:11 AM,11/29/2025,
44,0.0,gf,0.030,mm,OK,--,9:44:11 AM,11/29/2025,
45,5.5,gf,0.040,mm,OK,--,9:44:11 AM,11/29/2025,
46,12.0,gf,0.045,mm,OK,--,9:44:11 AM,11/29/2025,
47,12.6,gf,0.055,mm,OK,--,9:44:11 AM,11/29/2025,
48,14.9,gf,0.060,mm,OK,--,9:44:11 AM,11/29/2025,
49,18.2,gf,0.060,mm,OK,--,9:44:11 AM,11/29/2025,
50,20.7,gf,0.065,mm,OK,--,9:44:11 AM,11/29/2025,
51,25.6,gf,0.070,mm,OK,--,9:44:11 AM,11/29/2025,
52,29.9,gf,0.075,mm,OK,--,9:44:12 AM,11/29/2025,
53,32.4,gf,0.075,mm,OK,--,9:44:12 AM,11/29/2025,
54,35.1,gf,0.080,mm,OK,--,9:44:12 AM,11/29/2025,
55,36.7,gf,0.085,mm,OK,--,9:44:12 AM,11/29/2025,
56,37.6,gf,0.085,mm,OK,--,9:44:12 AM,11/29/2025,
57,38.1,gf,0.090,mm,OK,--,9:44:12 AM,11/29/2025,
58,38.6,gf,0.090,mm,OK,--,9:44:12 AM,11/29/2025,
59,39.1,gf,0.090,mm,OK,--,9:44:12 AM,11/29/2025,
60,39.5,gf,0.095,mm,OK,--,9:44:12 AM,11/29/2025,
61,39.8,gf,0.095,mm,OK,--,9:44:12 AM,11/29/2025,
62,40.1,gf,0.100,mm,OK,--,9:44:13 AM,11/29/2025,
63,40.2,gf,0.100,mm,OK,--,9:44:13 AM,11/29/2025,
64,40.0,gf,0.105,mm,OK,--,9:44:13 AM,11/29/2025,
65,40.0,gf,0.110,mm,OK,--,9:44:13 AM,11/29/2025,
66,39.9,gf,0.110,mm,OK,--,9:44:13 AM,11/29/2025,
67,40.0,gf,0.115,mm,OK,--,9:44:13 AM,11/29/2025,
68,40.1,gf,0.115,mm,OK,--,9:44:13 AM,11/29/2025,
69,40.3,gf,0.120,mm,OK,--,9:44:13 AM,11/29/2025,
70,40.5,gf,0.120,mm,OK,--,9:44:13 AM,11/29/2025,
71,40.4,gf,0.125,mm,OK,--,9:44:13 AM,11/29/2025,
72,40.6,gf,0.125,mm,OK,--,9:44:14 AM,11/29/2025,
73,40.4,gf,0.130,mm,OK,--,9:44:14 AM,11/29/2025,
74,40.2,gf,0.130,mm,OK,--,9:44:14 AM,11/29/2025,
