Maximum,198.2,@,No.949,,,,,,
Minimum,-0.2,@,No.59,,,,,,
Average,47.74,,,,,,,,
Data Quantity,1793,,,,,,,,
Number of NG,0,,,,,,,,
No.,Force,Unit,Displacement,Unit,Judge,Position,Time,Date,
1,0.1,gf,0.005,mm,OK,--,9:52:41 AM,1/10/2026,
2,0.0,gf,0.005,mm,OK,--,9:52:41 AM,1/10/2026,
3,0.1,gf,0.005,mm,OK,--,9:52:41 AM,1/10/2026,
4,-0.1,gf,0.005,mm,OK,--,9:52:41 AM,1/10/2026,
5,0.0,gf,0.005,mm,OK,--,9:52:41 AM,1/10/2026,
6,0.0,gf,0.005,mm,OK,--,9:52:41 AM,1/10/2026,
7,-0.1,gf,0.005,mm,OK,--,9:52:41 AM,1/10/2026,
8,-0.1,gf,0.005,mm,OK,--,9:52:41 AM,1/10/2026,
9,0.0,gf,0.005,mm,OK,--,9:52:41 AM,1/10/2026,
10,0.1,gf,0.005,mm,OK,--,9:52:41 AM,1/10/2026,
11,0.0,gf,0.005,mm,OK,--,9:52:42 AM,1/10/2026,
12,-0.1,gf,0.005,mm,OK,--,9:52:42 AM,1/10/2026,
13,0.1,gf,0.005,mm,OK,--,9:52:42 AM,1/10/2026,
14,0.1,gf,0.010,mm,OK,--,9:52:42 AM,1/10/2026,
15,-0.1,gf,0.010,mm,OK,--,9:52:42 AM,1/10/2026,
16,0.0,gf,0.010,mm,OK,--,9:52:42 AM,1/10/2026,
17,0.1,gf,0.015,mm,OK,--,9:52:42 AM,1/10/2026,
18,0.1,gf,0.020,mm,OK,--,9:52:42 AM,1/10/2026,
19,0.0,gf,0.035,mm,OK,--,9:52:42 AM,1/10/2026,
20,-0.1,gf,0.050,mm,OK,--,9:52:42 AM,1/10/2026,
21,0.0,gf,0.070,mm,OK,--,9:52:43 AM,1/10/2026,
22,0.1,gf,0.085,mm,OK,--,9:52:43 AM,1/10/2026,
23,0.0,gf,0.100,mm,OK,--,9:52:43 AM,1/10/2026,
24,-0.1,gf,0.110,mm,OK,--,9:52:43 AM,1/10/2026,
25,0.1,gf,0.125,mm,OK,--,9:52:43 AM,1/10/2026,
26,0.1,gf,0.135,mm,OK,--,9:52:43 AM,1/10/2026,
27,-0.1,gf,0.145,mm,OK,--,9:52:43 AM,1/10/2026,
28,0.0,gf,0.155,mm,OK,--,9:52:43 AM,1/10/2026,
29,0.1,gf,0.160,mm,OK,--,9:52:43 AM,1/10/2026,
30,0.0,gf,0.165,mm,OK,--,9:52:43 AM,1/10/2026,
31,-0.1,gf,0.175,mm,OK,--,9:52:44 AM,1/10/2026,
32,0.0,gf,0.180,mm,OK,--,9:52:44 AM,1/10/2026,
33,0.0,gf,0.190,mm,OK,--,9:52:44 AM,1/10/2026,
34,-0.1,gf,0.195,mm,OK,--,9:52:44 AM,1/10/2026,
35,0.0,gf,0.200,mm,OK,--,9:52:44 AM,1/10/2026,
36,0.0,gf,0.205,mm,OK,--,9:52:44 AM,1/10/2026,
37,0.1,gf,0.210,mm,OK,--,9:52:44 AM,1/10/2026,
38,0.0,gf,0.215,mm,OK,--,9:52:44 AM,1/10/2026,
39,0.0,gf,0.220,mm,OK,--,9:52:44 AM,1/10/2026,
40,0.0,gf,0.225,mm,OK,--,9:52:44 AM,1/10/2026,
41,0.0,gf,0.230,mm,OK,--,9:52:45 AM,1/10/2026,
42,0.1,gf,0.235,mm,OK,--,9:52:45 AM,1/10/2026,
43,-0.1,gf,0.240,mm,OK,--,9:52:45 AM,1/10/2026,
44,0.0,gf,0.245,mm,OK,--,9:52:45 AM,1/10/2026,
45,0.1,gf,0.250,mm,OK,--,9:52:45 AM,1/10/2026,
46,0.0,gf,0.255,mm,OK,--,9:52:45 AM,1/10/2026,
47,-0.1,gf,0.260,mm,OK,--,9:52:45 AM,1/10/2026,
48,0.0,gf,0.265,mm,OK,--,9:52:45 AM,1/10/2026,
49,0.2,gf,0.265,mm,OK,--,9:52:45 AM,1/10/2026,
50,0.0,gf,0.270,mm,OK,--,9:52:45 AM,1/10/2026,
51,0.0,gf,0.280,mm,OK,--,9:52:46 AM,1/10/2026,
52,0.0,gf,0.285,mm,OK,--,9:52:46 AM,1/10/2026,
53,0.0,gf,0.290,mm,OK,--,9:52:46 AM,1/10/2026,
54,0.0,gf,0.290,mm,OK,--,9:52:46 AM,1/10/2026,
55,-0.1,gf,0.295,mm,OK,--,9:52:46 AM,1/10/2026,
56,0.0,gf,0.300,mm,OK,--,9:52:46 AM,1/10/2026,
57,0.1,gf,0.305,mm,OK,--,9:52:46 AM,1/10/2026,
58,0.0,gf,0.310,mm,OK,--,9:52:46 AM,1/10/2026,
59,-0.2,gf,0.315,mm,OK,--,9:52:46 AM,1/10/2026,
60,0.0,gf,0.320,mm,OK,--,9:52:46 AM,1/10/2026,
61,0.1,gf,0.325,mm,OK,--,9:52:47 AM,1/10/2026,
62,-0.1,gf,0.330,mm,OK,--,9:52:47 AM,1/10/2026,
63,-0.1,gf,0.335,mm,OK,--,9:52:47 AM,1/10/2026,
64,-0.1,gf,0.340,mm,OK,--,9:52:47 AM,1/10/2026,
65,0.0,gf,0.345,mm,OK,--,9:52:47 AM,1/10/2026,
66,-0.1,gf,0.355,mm,OK,--,9:52:47 AM,1/10/2026,
67,-0.1,gf,0.360,mm,OK,--,9:52:47 AM,1/10/2026,
68,0.0,gf,0.365,mm,OK,--,9:52:47 AM,1/10/2026,
69,0.0,gf,0.375,mm,OK,--,9:52:47 AM,1/10/2026,
70,0.0,gf,0.380,mm,OK,--,9:52:47 AM,1/10/2026,
71,0.0,gf,0.385,mm,OK,--,9:52:48 AM,1/10/2026,
72,-0.1,gf,0.390,mm,OK,--,9:52:48 AM,1/10/2026,
73,0.1,gf,0.400,mm,OK,--,9:52:48 AM,1/10/2026,
74,0.0,gf,0.405,mm,OK,--,9:52:48 AM,1/10/2026,
75,-0.1,gf,0.410,mm,OK,--,9:52:48 AM,1/10/2026,
76,0.1,gf,0.420,mm,OK,--,9:52:48 AM,1/10/2026,
77,0.1,gf,0.425,mm,OK,--,9:52:48 AM,1/10/2026,
78,0.1,gf,0.430,mm,OK,--,9:52:48 AM,1/10/2026,
79,-0.1,gf,0.435,mm,OK,--,9:52:48 AM,1/10/2026,
80,0.0,gf,0.440,mm,OK,--,9:52:48 AM,1/10/2026,
81,0.1,gf,0.445,mm,OK,--,9:52:49 AM,1/10/2026,
82,0.0,gf,0.450,mm,OK,--,9:52:49 AM,1/10/2026,
83,0.0,gf,0.455,mm,OK,--,9:52:49 AM,1/10/2026,
84,0.0,gf,0.460,mm,OK,--,9:52:49 AM,1/10/2026,
85,0.0,gf,0.465,mm,OK,--,9:52:49 AM,1/10/2026,
86,0.1,gf,0.470,mm,OK,--,9:52:49 AM,1/10/2026,
87,-0.1,gf,0.480,mm,OK,--,9:52:49 AM,1/10/2026,
88,0.7,gf,0.485,mm,OK,--,9:52:49 AM,1/10/2026,
89,5.2,gf,0.490,mm,OK,--,9:52:49 AM,1/10/2026,
90,10.4,gf,0.500,mm,OK,--,9:52:49 AM,1/10/2026,
91,15.0,gf,0.500,mm,OK,--,9:52:50 AM,1/10/2026,
92,19.2,gf,0.505,mm,OK,--,9:52:50 AM,1/10/2026,
93,23.2,gf,0.510,mm,OK,--,9:52:50 AM,1/10/2026,
94,25.9,gf,0.515,mm,OK,--,9:52:50 AM,1/10/2026,
95,29.1,gf,0.515,mm,OK,--,9:52:50 AM,1/10/2026,
96,32.1,gf,0.520,mm,OK,--,9:52:50 AM,1/10/2026,
97,34.3,gf,0.525,mm,OK,--,9:52:50 AM,1/10/2026,
98,34.5,gf,0.525,mm,OK,--,9:52:50 AM,1/10/2026,
99,32.6,gf,0.530,mm,OK,--,9:52:50 AM,1/10/2026,
100,32.8,gf,0.530,mm,OK,--,9:52:50 AM,1/10/2026,
101,33.0,gf,0.535,mm,OK,--,9:52:51 AM,1/10/2026,
102,32.7,gf,0.540,mm,OK,--,9:52:51 AM,1/10/2026,
103,32.8,gf,0.540,mm,OK,--,9:52:51 AM,1/10/2026,
104,32.7,gf,0.545,mm,OK,--,9:52:51 AM,1/10/2026,
105,33.4,gf,0.550,mm,OK,--,9:52:51 AM,1/10/2026,
106,32.6,gf,0.560,mm,OK,--,9:52:51 AM,1/10/2026,
107,32.0,gf,0.560,mm,OK,--,9:52:51 AM,1/10/2026,
