Maximum,192.7,@,No.1044,,,,,,
Minimum,-0.1,@,No.1,,,,,,
Average,50.93,,,,,,,,
Data Quantity,1932,,,,,,,,
Number of NG,0,,,,,,,,
No.,Force,Unit,Displacement,Unit,Judge,Position,Time,Date,
1,-0.1,gf,0.000,mm,OK,--,2:36:33 PM,11/28/2025,
2,-0.1,gf,0.000,mm,OK,--,2:36:33 PM,11/28/2025,
3,0.2,gf,0.000,mm,OK,--,2:36:33 PM,11/28/2025,
4,0.0,gf,0.000,mm,OK,--,2:36:34 PM,11/28/2025,
5,-0.1,gf,0.000,mm,OK,--,2:36:34 PM,11/28/2025,
6,0.0,gf,0.005,mm,OK,--,2:36:34 PM,11/28/2025,
7,0.0,gf,0.005,mm,OK,--,2:36:34 PM,11/28/2025,
8,0.0,gf,0.005,mm,OK,--,2:36:34 PM,11/28/2025,
9,0.0,gf,0.010,mm,OK,--,2:36:34 PM,11/28/2025,
10,0.0,gf,0.010,mm,OK,--,2:36:34 PM,11/28/2025,
11,0.0,gf,0.010,mm,OK,--,2:36:34 PM,11/28/2025,
12,0.0,gf,0.015,mm,OK,--,2:36:34 PM,11/28/2025,
13,0.0,gf,0.015,mm,OK,--,2:36:34 PM,11/28/2025,
14,0.0,gf,0.015,mm,OK,--,2:36:35 PM,11/28/2025,
15,0.0,gf,0.020,mm,OK,--,2:36:35 PM,11/28/2025,
16,0.8,gf,0.020,mm,OK,--,2:36:35 PM,11/28/2025,
17,2.3,gf,0.025,mm,OK,--,2:36:35 PM,11/28/2025,
18,3.9,gf,0.025,mm,OK,--,2:36:35 PM,11/28/2025,
19,5.5,gf,0.025,mm,OK,--,2:36:35 PM,11/28/2025,
20,7.0,gf,0.030,mm,OK,--,2:36:35 PM,11/28/2025,
21,8.5,gf,0.030,mm,OK,--,2:36:35 PM,11/28/2025,
22,9.4,gf,0.030,mm,OK,--,2:36:35 PM,11/28/2025,
23,10.1,gf,0.030,mm,OK,--,2:36:35 PM,11/28/2025,
24,10.5,gf,0.030,mm,OK,--,2:36:36 PM,11/28/2025,
25,10.8,gf,0.030,mm,OK,--,2:36:36 PM,11/28/2025,
26,11.1,gf,0.030,mm,OK,--,2:36:36 PM,11/28/2025,
27,11.6,gf,0.035,mm,OK,--,2:36:36 PM,11/28/2025,
28,12.9,gf,0.035,mm,OK,--,2:36:36 PM,11/28/2025,
29,14.0,gf,0.035,mm,OK,--,2:36:36 PM,11/28/2025,
30,15.3,gf,0.035,mm,OK,--,2:36:36 PM,11/28/2025,
31,16.5,gf,0.040,mm,OK,--,2:36:36 PM,11/28/2025,
32,18.2,gf,0.040,mm,OK,--,2:36:36 PM,11/28/2025,
33,20.5,gf,0.040,mm,OK,--,2:36:36 PM,11/28/2025,
34,21.7,gf,0.045,mm,OK,--,2:36:37 PM,11/28/2025,
35,22.3,gf,0.045,mm,OK,--,2:36:37 PM,11/28/2025,
36,22.9,gf,0.045,mm,OK,--,2:36:37 PM,11/28/2025,
37,23.4,gf,0.045,mm,OK,--,2:36:37 PM,11/28/2025,
38,23.9,gf,0.045,mm,OK,--,2:36:37 PM,11/28/2025,
39,24.1,gf,0.045,mm,OK,--,2:36:37 PM,11/28/2025,
40,24.6,gf,0.045,mm,OK,--,2:36:37 PM,11/28/2025,
41,24.9,gf,0.045,mm,OK,--,2:36:37 PM,11/28/2025,
42,25.6,gf,0.045,mm,OK,--,2:36:37 PM,11/28/2025,
43,27.2,gf,0.050,mm,OK,--,2:36:37 PM,11/28/2025,
44,28.3,gf,0.050,mm,OK,--,2:36:38 PM,11/28/2025,
45,29.4,gf,0.050,mm,OK,--,2:36:38 PM,11/28/2025,
46,30.5,gf,0.050,mm,OK,--,2:36:38 PM,11/28/2025,
47,31.1,gf,0.055,mm,OK,--,2:36:38 PM,11/28/2025,
48,31.6,gf,0.055,mm,OK,--,2:36:38 PM,11/28/2025,
49,32.3,gf,0.055,mm,OK,--,2:36:38 PM,11/28/2025,
50,32.8,gf,0.055,mm,OK,--,2:36:38 PM,11/28/2025,
51,33.4,gf,0.055,mm,OK,--,2:36:38 PM,11/28/2025,
52,33.8,gf,0.055,mm,OK,--,2:36:38 PM,11/28/2025,
53,34.7,gf,0.060,mm,OK,--,2:36:38 PM,11/28/2025,
54,35.6,gf,0.065,mm,OK,--,2:36:39 PM,11/28/2025,
55,35.8,gf,0.070,mm,OK,--,2:36:39 PM,11/28/2025,
56,35.9,gf,0.070,mm,OK,--,2:36:39 PM,11/28/2025,
57,35.9,gf,0.075,mm,OK,--,2:36:39 PM,11/28/2025,
58,35.9,gf,0.075,mm,OK,--,2:36:39 PM,11/28/2025,
59,36.0,gf,0.075,mm,OK,--,2:36:39 PM,11/28/2025,
60,36.1,gf,0.080,mm,OK,--,2:36:39 PM,11/28/2025,
