Maximum,195.3,@,No.1028,,,,,,
Minimum,-0.1,@,No.2,,,,,,
Average,48.50,,,,,,,,
Data Quantity,1976,,,,,,,,
Number of NG,0,,,,,,,,
No.,Force,Unit,Displacement,Unit,Judge,Position,Time,Date,
1,0.0,gf,0.005,mm,OK,--,1:05:50 PM,11/27/2025,
2,-0.1,gf,0.005,mm,OK,--,1:05:50 PM,11/27/2025,
3,0.0,gf,0.005,mm,OK,--,1:05:50 PM,11/27/2025,
4,0.0,gf,0.005,mm,OK,--,1:05:50 PM,11/27/2025,
5,0.1,gf,0.005,mm,OK,--,1:05:50 PM,11/27/2025,
6,0.0,gf,0.010,mm,OK,--,1:05:50 PM,11/27/2025,
7,0.0,gf,0.010,mm,OK,--,1:05:51 PM,11/27/2025,
8,0.0,gf,0.015,mm,OK,--,1:05:51 PM,11/27/2025,
9,0.1,gf,0.015,mm,OK,--,1:05:51 PM,11/27/2025,
10,0.0,gf,0.015,mm,OK,--,1:05:51 PM,11/27/2025,
11,0.0,gf,0.020,mm,OK,--,1:05:51 PM,11/27/2025,
12,-0.1,gf,0.020,mm,OK,--,1:05:51 PM,11/27/2025,
13,0.0,gf,0.025,mm,OK,--,1:05:51 PM,11/27/2025,
14,0.5,gf,0.025,mm,OK,--,1:05:51 PM,11/27/2025,
15,1.7,gf,0.030,mm,OK,--,1:05:51 PM,11/27/2025,
16,2.1,gf,0.030,mm,OK,--,1:05:51 PM,11/27/2025,
17,2.5,gf,0.030,mm,OK,--,1:05:52 PM,11/27/2025,
18,2.8,gf,0.035,mm,OK,--,1:05:52 PM,11/27/2025,
19,3.1,gf,0.035,mm,OK,--,1:05:52 PM,11/27/2025,
20,3.6,gf,0.035,mm,OK,--,1:05:52 PM,11/27/2025,
21,4.3,gf,0.035,mm,OK,--,1:05:52 PM,11/27/2025,
22,5.2,gf,0.035,mm,OK,--,1:05:52 PM,11/27/2025,
23,6.3,gf,0.040,mm,OK,--,1:05:52 PM,11/27/2025,
24,7.8,gf,0.040,mm,OK,--,1:05:52 PM,11/27/2025,
25,9.7,gf,0.040,mm,OK,--,1:05:52 PM,11/27/2025,
26,11.1,gf,0.045,mm,OK,--,1:05:52 PM,11/27/2025,
27,12.2,gf,0.045,mm,OK,--,1:05:53 PM,11/27/2025,
28,13.0,gf,0.045,mm,OK,--,1:05:53 PM,11/27/2025,
29,13.8,gf,0.045,mm,OK,--,1:05:53 PM,11/27/2025,
30,14.2,gf,0.050,mm,OK,--,1:05:53 PM,11/27/2025,
31,14.9,gf,0.050,mm,OK,--,1:05:53 PM,11/27/2025,
32,15.3,gf,0.050,mm,OK,--,1:05:53 PM,11/27/2025,
33,15.5,gf,0.050,mm,OK,--,1:05:53 PM,11/27/2025,
34,15.8,gf,0.050,mm,OK,--,1:05:53 PM,11/27/2025,
35,15.9,gf,0.050,mm,OK,--,1:05:53 PM,11/27/2025,
36,15.9,gf,0.050,mm,OK,--,1:05:53 PM,11/27/2025,
37,15.9,gf,0.050,mm,OK,--,1:05:54 PM,11/27/2025,
38,15.9,gf,0.050,mm,OK,--,1:05:54 PM,11/27/2025,
39,16.0,gf,0.050,mm,OK,--,1:05:54 PM,11/27/2025,
40,16.1,gf,0.050,mm,OK,--,1:05:54 PM,11/27/2025,
41,16.2,gf,0.050,mm,OK,--,1:05:54 PM,11/27/2025,
42,16.4,gf,0.050,mm,OK,--,1:05:54 PM,11/27/2025,
43,16.7,gf,0.050,mm,OK,--,1:05:54 PM,11/27/2025,
44,17.1,gf,0.050,mm,OK,--,1:05:54 PM,11/27/2025,
45,17.8,gf,0.055,mm,OK,--,1:05:54 PM,11/27/2025,
46,18.2,gf,0.055,mm,OK,--,1:05:54 PM,11/27/2025,
47,18.8,gf,0.055,mm,OK,--,1:05:55 PM,11/27/2025,
48,19.6,gf,0.055,mm,OK,--,1:05:55 PM,11/27/2025,
49,21.6,gf,0.055,mm,OK,--,1:05:55 PM,11/27/2025,
50,24.1,gf,0.060,mm,OK,--,1:05:55 PM,11/27/2025,
51,26.5,gf,0.065,mm,OK,--,1:05:55 PM,11/27/2025,
52,28.2,gf,0.065,mm,OK,--,1:05:55 PM,11/27/2025,
53,28.8,gf,0.070,mm,OK,--,1:05:55 PM,11/27/2025,
54,29.6,gf,0.070,mm,OK,--,1:05:55 PM,11/27/2025,
55,30.2,gf,0.070,mm,OK,--,1:05:55 PM,11/27/2025,
56,30.9,gf,0.075,mm,OK,--,1:05:55 PM,11/27/2025,
57,31.4,gf,0.075,mm,OK,--,1:05:56 PM,11/27/2025,
58,31.7,gf,0.075,mm,OK,--,1:05:56 PM,11/27/2025,
59,31.6,gf,0.075,mm,OK,--,1:05:56 PM,11/27/2025,
60,31.7,gf,0.080,mm,OK,--,1:05:56 PM,11/27/2025,
61,31.7,gf,0.080,mm,OK,--,1:05:56 PM,11/27/2025,
62,31.8,gf,0.080,mm,OK,--,1:05:56 PM,11/27/2025,
63,32.0,gf,0.085,mm,OK,--,1:05:56 PM,11/27/2025,
64,32.2,gf,0.085,mm,OK,--,1:05:56 PM,11/27/2025,
65,32.4,gf,0.085,mm,OK,--,1:05:56 PM,11/27/2025,
66,32.5,gf,0.085,mm,OK,--,1:05:56 PM,11/27/2025,
67,32.7,gf,0.090,mm,OK,--,1:05:57 PM,11/27/2025,
68,32.8,gf,0.090,mm,OK,--,1:05:57 PM,11/27/2025,
69,33.0,gf,0.090,mm,OK,--,1:05:57 PM,11/27/2025,
70,33.2,gf,0.090,mm,OK,--,1:05:57 PM,11/27/2025,
71,33.4,gf,0.090,mm,OK,--,1:05:57 PM,11/27/2025,
72,34.1,gf,0.090,mm,OK,--,1:05:57 PM,11/27/2025,
73,35.3,gf,0.095,mm,OK,--,1:05:57 PM,11/27/2025,
74,35.5,gf,0.095,mm,OK,--,1:05:57 PM,11/27/2025,
75,35.4,gf,0.100,mm,OK,--,1:05:57 PM,11/27/2025,
76,35.4,gf,0.100,mm,OK,--,1:05:57 PM,11/27/2025,
77,35.4,gf,0.105,mm,OK,--,1:05:58 PM,11/27/2025,
78,35.4,gf,0.105,mm,OK,--,1:05:58 PM,11/27/2025,
79,35.4,gf,0.110,mm,OK,--,1:05:58 PM,11/27/2025,
80,35.4,gf,0.110,mm,OK,--,1:05:58 PM,11/27/2025,
81,35.4,gf,0.115,mm,OK,--,1:05:58 PM,11/27/2025,
82,35.4,gf,0.120,mm,OK,--,1:05:58 PM,11/27/2025,
83,35.4,gf,0.125,mm,OK,--,1:05:58 PM,11/27/2025,
84,35.4,gf,0.130,mm,OK,--,1:05:58 PM,11/27/2025,
85,35.5,gf,0.135,mm,OK,--,1:05:58 PM,11/27/2025,
86,35.5,gf,0.140,mm,OK,--,1:05:58 PM,11/27/2025,
87,35.5,gf,0.140,mm,OK,--,1:05:59 PM,11/27/2025,
88,35.5,gf,0.145,mm,OK,--,1:05:59 PM,11/27/2025,
89,35.5,gf,0.150,mm,OK,--,1:05:59 PM,11/27/2025,
90,35.5,gf,0.155,mm,OK,--,1:05:59 PM,11/27/2025,
