Maximum,196.9,@,No.1047,,,,,,
Minimum,-0.2,@,No.14,,,,,,
Average,42.94,,,,,,,,
Data Quantity,2033,,,,,,,,
Number of NG,0,,,,,,,,
No.,Force,Unit,Displacement,Unit,Judge,Position,Time,Date,
1,0.0,gf,0.000,mm,OK,--,6:42:17 PM,1/26/2026,
2,0.1,gf,0.000,mm,OK,--,6:42:17 PM,1/26/2026,
3,0.0,gf,0.000,mm,OK,--,6:42:17 PM,1/26/2026,
4,0.2,gf,0.000,mm,OK,--,6:42:17 PM,1/26/2026,
5,0.0,gf,0.000,mm,OK,--,6:42:17 PM,1/26/2026,
6,-0.1,gf,0.000,mm,OK,--,6:42:18 PM,1/26/2026,
7,-0.1,gf,0.000,mm,OK,--,6:42:18 PM,1/26/2026,
8,0.0,gf,0.000,mm,OK,--,6:42:18 PM,1/26/2026,
9,0.0,gf,0.000,mm,OK,--,6:42:18 PM,1/26/2026,
10,-0.1,gf,0.000,mm,OK,--,6:42:18 PM,1/26/2026,
11,0.0,gf,0.000,mm,OK,--,6:42:18 PM,1/26/2026,
12,0.0,gf,0.005,mm,OK,--,6:42:18 PM,1/26/2026,
13,0.0,gf,0.005,mm,OK,--,6:42:18 PM,1/26/2026,
14,-0.2,gf,0.005,mm,OK,--,6:42:18 PM,1/26/2026,
15,0.0,gf,0.010,mm,OK,--,6:42:18 PM,1/26/2026,
16,-0.1,gf,0.010,mm,OK,--,6:42:19 PM,1/26/2026,
17,-0.1,gf,0.010,mm,OK,--,6:42:19 PM,1/26/2026,
18,-0.1,gf,0.015,mm,OK,--,6:42:19 PM,1/26/2026,
19,0.0,gf,0.015,mm,OK,--,6:42:19 PM,1/26/2026,
20,0.0,gf,0.015,mm,OK,--,6:42:19 PM,1/26/2026,
21,-0.1,gf,0.015,mm,OK,--,6:42:19 PM,1/26/2026,
22,-0.1,gf,0.020,mm,OK,--,6:42:19 PM,1/26/2026,
23,0.1,gf,0.020,mm,OK,--,6:42:19 PM,1/26/2026,
24,0.0,gf,0.020,mm,OK,--,6:42:19 PM,1/26/2026,
25,0.0,gf,0.020,mm,OK,--,6:42:19 PM,1/26/2026,
26,-0.1,gf,0.020,mm,OK,--,6:42:20 PM,1/26/2026,
27,0.2,gf,0.020,mm,OK,--,6:42:20 PM,1/26/2026,
28,0.0,gf,0.020,mm,OK,--,6:42:20 PM,1/26/2026,
29,-0.1,gf,0.025,mm,OK,--,6:42:20 PM,1/26/2026,
30,0.0,gf,0.025,mm,OK,--,6:42:20 PM,1/26/2026,
31,0.0,gf,0.025,mm,OK,--,6:42:20 PM,1/26/2026,
32,0.0,gf,0.025,mm,OK,--,6:42:20 PM,1/26/2026,
33,0.0,gf,0.025,mm,OK,--,6:42:20 PM,1/26/2026,
34,-0.1,gf,0.030,mm,OK,--,6:42:20 PM,1/26/2026,
35,0.0,gf,0.030,mm,OK,--,6:42:20 PM,1/26/2026,
36,0.1,gf,0.030,mm,OK,--,6:42:21 PM,1/26/2026,
37,0.0,gf,0.035,mm,OK,--,6:42:21 PM,1/26/2026,
38,0.0,gf,0.040,mm,OK,--,6:42:21 PM,1/26/2026,
39,0.0,gf,0.045,mm,OK,--,6:42:21 PM,1/26/2026,
40,0.0,gf,0.050,mm,OK,--,6:42:21 PM,1/26/2026,
41,-0.1,gf,0.060,mm,OK,--,6:42:21 PM,1/26/2026,
42,0.0,gf,0.065,mm,OK,--,6:42:21 PM,1/26/2026,
43,2.1,gf,0.075,mm,OK,--,6:42:21 PM,1/26/2026,
44,6.4,gf,0.080,mm,OK,--,6:42:21 PM,1/26/2026,
45,8.8,gf,0.080,mm,OK,--,6:42:21 PM,1/26/2026,
46,11.0,gf,0.085,mm,OK,--,6:42:22 PM,1/26/2026,
47,12.2,gf,0.085,mm,OK,--,6:42:22 PM,1/26/2026,
48,12.9,gf,0.085,mm,OK,--,6:42:22 PM,1/26/2026,
49,13.5,gf,0.085,mm,OK,--,6:42:22 PM,1/26/2026,
50,14.4,gf,0.090,mm,OK,--,6:42:22 PM,1/26/2026,
51,15.3,gf,0.090,mm,OK,--,6:42:22 PM,1/26/2026,
52,16.3,gf,0.090,mm,OK,--,6:42:22 PM,1/26/2026,
53,17.0,gf,0.090,mm,OK,--,6:42:22 PM,1/26/2026,
54,17.3,gf,0.090,mm,OK,--,6:42:22 PM,1/26/2026,
55,17.7,gf,0.090,mm,OK,--,6:42:22 PM,1/26/2026,
56,18.2,gf,0.090,mm,OK,--,6:42:23 PM,1/26/2026,
57,19.1,gf,0.095,mm,OK,--,6:42:23 PM,1/26/2026,
58,20.4,gf,0.095,mm,OK,--,6:42:23 PM,1/26/2026,
59,22.1,gf,0.095,mm,OK,--,6:42:23 PM,1/26/2026,
60,25.5,gf,0.100,mm,OK,--,6:42:23 PM,1/26/2026,
61,29.2,gf,0.105,mm,OK,--,6:42:23 PM,1/26/2026,
62,32.9,gf,0.110,mm,OK,--,6:42:23 PM,1/26/2026,
63,35.8,gf,0.110,mm,OK,--,6:42:23 PM,1/26/2026,
64,38.4,gf,0.115,mm,OK,--,6:42:23 PM,1/26/2026,
65,37.7,gf,0.120,mm,OK,--,6:42:23 PM,1/26/2026,
66,38.8,gf,0.125,mm,OK,--,6:42:24 PM,1/26/2026,
67,38.3,gf,0.125,mm,OK,--,6:42:24 PM,1/26/2026,
68,38.3,gf,0.130,mm,OK,--,6:42:24 PM,1/26/2026,
69,38.3,gf,0.130,mm,OK,--,6:42:24 PM,1/26/2026,
70,38.5,gf,0.135,mm,OK,--,6:42:24 PM,1/26/2026,
71,38.5,gf,0.140,mm,OK,--,6:42:24 PM,1/26/2026,
72,38.3,gf,0.145,mm,OK,--,6:42:24 PM,1/26/2026,
73,38.3,gf,0.150,mm,OK,--,6:42:24 PM,1/26/2026,
74,37.9,gf,0.155,mm,OK,--,6:42:24 PM,1/26/2026,
75,37.6,gf,0.160,mm,OK,--,6:42:24 PM,1/26/2026,
76,37.7,gf,0.165,mm,OK,--,6:42:25 PM,1/26/2026,
77,37.6,gf,0.175,mm,OK,--,6:42:25 PM,1/26/2026,
78,37.3,gf,0.180,mm,OK,--,6:42:25 PM,1/26/2026,
79,37.3,gf,0.190,mm,OK,--,6:42:25 PM,1/26/2026,
80,37.2,gf,0.195,mm,OK,--,6:42:25 PM,1/26/2026,
81,37.2,gf,0.195,mm,OK,--,6:42:25 PM,1/26/2026,
82,37.3,gf,0.200,mm,OK,--,6:42:25 PM,1/26/2026,
83,37.3,gf,0.205,mm,OK,--,6:42:25 PM,1/26/2026,
84,37.3,gf,0.205,mm,OK,--,6:42:25 PM,1/26/2026,
85,37.4,gf,0.210,mm,OK,--,6:42:25 PM,1/26/2026,
86,37.4,gf,0.210,mm,OK,--,6:42:26 PM,1/26/2026,
87,37.5,gf,0.215,mm,OK,--,6:42:26 PM,1/26/2026,
88,37.4,gf,0.215,mm,OK,--,6:42:26 PM,1/26/2026,
89,37.4,gf,0.220,mm,OK,--,6:42:26 PM,1/26/2026,
90,37.4,gf,0.220,mm,OK,--,6:42:26 PM,1/26/2026,
91,37.4,gf,0.225,mm,OK,--,6:42:26 PM,1/26/2026,
92,37.4,gf,0.225,mm,OK,--,6:42:26 PM,1/26/2026,
93,37.4,gf,0.225,mm,OK,--,6:42:26 PM,1/26/2026,
94,37.4,gf,0.230,mm,OK,--,6:42:26 PM,1/26/2026,
95,37.4,gf,0.235,mm,OK,--,6:42:26 PM,1/26/2026,
96,37.3,gf,0.240,mm,OK,--,6:42:27 PM,1/26/2026,
97,37.2,gf,0.245,mm,OK,--,6:42:27 PM,1/26/2026,
98,37.2,gf,0.245,mm,OK,--,6:42:27 PM,1/26/2026,
99,37.2,gf,0.250,mm,OK,--,6:42:27 PM,1/26/2026,
100,37.2,gf,0.255,mm,OK,--,6:42:27 PM,1/26/2026,
101,37.3,gf,0.260,mm,OK,--,6:42:27 PM,1/26/2026,
102,37.4,gf,0.260,mm,OK,--,6:42:27 PM,1/26/2026,
103,37.5,gf,0.265,mm,OK,--,6:42:27 PM,1/26/2026,
104,37.5,gf,0.265,mm,OK,--,6:42:27 PM,1/26/2026,
105,37.5,gf,0.270,mm,OK,--,6:42:27 PM,1/26/2026,
106,37.5,gf,0.270,mm,OK,--,6:42:28 PM,1/26/2026,
107,37.7,gf,0.275,mm,OK,--,6:42:28 PM,1/26/2026,
108,37.5,gf,0.275,mm,OK,--,6:42:28 PM,1/26/2026,
109,37.6,gf,0.280,mm,OK,--,6:42:28 PM,1/26/2026,
110,37.5,gf,0.285,mm,OK,--,6:42:28 PM,1/26/2026,
111,37.6,gf,0.285,mm,OK,--,6:42:28 PM,1/26/2026,
112,37.6,gf,0.290,mm,OK,--,6:42:28 PM,1/26/2026,
113,37.5,gf,0.295,mm,OK,--,6:42:28 PM,1/26/2026,
114,37.5,gf,0.295,mm,OK,--,6:42:28 PM,1/26/2026,
115,37.4,gf,0.300,mm,OK,--,6:42:28 PM,1/26/2026,
116,37.3,gf,0.305,mm,OK,--,6:42:29 PM,1/26/2026,
117,37.3,gf,0.305,mm,OK,--,6:42:29 PM,1/26/2026,
118,37.5,gf,0.310,mm,OK,--,6:42:29 PM,1/26/2026,
119,37.2,gf,0.315,mm,OK,--,6:42:29 PM,1/26/2026,
120,37.1,gf,0.315,mm,OK,--,6:42:29 PM,1/26/2026,
121,37.2,gf,0.320,mm,OK,--,6:42:29 PM,1/26/2026,
122,37.2,gf,0.320,mm,OK,--,6:42:29 PM,1/26/2026,
