Maximum,193.5,@,No.1106,,,,,,
Minimum,-0.2,@,No.2258,,,,,,
Average,49.87,,,,,,,,
Data Quantity,2271,,,,,,,,
Number of NG,0,,,,,,,,
No.,Force,Unit,Displacement,Unit,Judge,Position,Time,Date,
1,0.0,gf,0.000,mm,OK,--,9:01:03 PM,3/23/2026,
2,0.1,gf,0.000,mm,OK,--,9:01:03 PM,3/23/2026,
3,0.0,gf,0.000,mm,OK,--,9:01:03 PM,3/23/2026,
4,0.0,gf,0.000,mm,OK,--,9:01:04 PM,3/23/2026,
5,0.1,gf,0.000,mm,OK,--,9:01:04 PM,3/23/2026,
6,0.1,gf,0.000,mm,OK,--,9:01:04 PM,3/23/2026,
7,-0.1,gf,0.000,mm,OK,--,9:01:04 PM,3/23/2026,
8,0.0,gf,0.000,mm,OK,--,9:01:04 PM,3/23/2026,
9,0.1,gf,0.000,mm,OK,--,9:01:04 PM,3/23/2026,
10,0.0,gf,0.000,mm,OK,--,9:01:04 PM,3/23/2026,
11,-0.1,gf,0.000,mm,OK,--,9:01:04 PM,3/23/2026,
12,-0.1,gf,0.000,mm,OK,--,9:01:04 PM,3/23/2026,
13,0.0,gf,0.000,mm,OK,--,9:01:04 PM,3/23/2026,
14,0.0,gf,0.000,mm,OK,--,9:01:05 PM,3/23/2026,
15,0.0,gf,0.000,mm,OK,--,9:01:05 PM,3/23/2026,
16,0.1,gf,0.000,mm,OK,--,9:01:05 PM,3/23/2026,
17,0.0,gf,0.000,mm,OK,--,9:01:05 PM,3/23/2026,
18,0.0,gf,0.000,mm,OK,--,9:01:05 PM,3/23/2026,
19,0.1,gf,0.000,mm,OK,--,9:01:05 PM,3/23/2026,
20,0.1,gf,0.000,mm,OK,--,9:01:05 PM,3/23/2026,
21,0.0,gf,0.000,mm,OK,--,9:01:05 PM,3/23/2026,
22,0.0,gf,0.000,mm,OK,--,9:01:05 PM,3/23/2026,
23,0.0,gf,0.000,mm,OK,--,9:01:05 PM,3/23/2026,
24,0.0,gf,0.000,mm,OK,--,9:01:06 PM,3/23/2026,
25,0.0,gf,0.000,mm,OK,--,9:01:06 PM,3/23/2026,
26,-0.1,gf,0.000,mm,OK,--,9:01:06 PM,3/23/2026,
27,-0.1,gf,0.000,mm,OK,--,9:01:06 PM,3/23/2026,
28,0.0,gf,0.000,mm,OK,--,9:01:06 PM,3/23/2026,
29,-0.1,gf,0.000,mm,OK,--,9:01:06 PM,3/23/2026,
30,0.0,gf,0.000,mm,OK,--,9:01:06 PM,3/23/2026,
31,0.0,gf,0.000,mm,OK,--,9:01:06 PM,3/23/2026,
32,0.0,gf,0.000,mm,OK,--,9:01:06 PM,3/23/2026,
33,-0.1,gf,0.000,mm,OK,--,9:01:06 PM,3/23/2026,
34,0.1,gf,0.000,mm,OK,--,9:01:07 PM,3/23/2026,
35,0.0,gf,0.005,mm,OK,--,9:01:07 PM,3/23/2026,
36,0.0,gf,0.005,mm,OK,--,9:01:07 PM,3/23/2026,
37,-0.1,gf,0.005,mm,OK,--,9:01:07 PM,3/23/2026,
38,0.0,gf,0.010,mm,OK,--,9:01:07 PM,3/23/2026,
39,0.0,gf,0.010,mm,OK,--,9:01:07 PM,3/23/2026,
40,0.0,gf,0.015,mm,OK,--,9:01:07 PM,3/23/2026,
41,0.0,gf,0.015,mm,OK,--,9:01:07 PM,3/23/2026,
42,0.0,gf,0.020,mm,OK,--,9:01:07 PM,3/23/2026,
43,-0.1,gf,0.025,mm,OK,--,9:01:07 PM,3/23/2026,
44,0.0,gf,0.030,mm,OK,--,9:01:08 PM,3/23/2026,
45,0.0,gf,0.035,mm,OK,--,9:01:08 PM,3/23/2026,
46,0.0,gf,0.040,mm,OK,--,9:01:08 PM,3/23/2026,
47,0.0,gf,0.050,mm,OK,--,9:01:08 PM,3/23/2026,
48,-0.1,gf,0.060,mm,OK,--,9:01:08 PM,3/23/2026,
49,0.0,gf,0.065,mm,OK,--,9:01:08 PM,3/23/2026,
50,0.0,gf,0.075,mm,OK,--,9:01:08 PM,3/23/2026,
51,0.0,gf,0.080,mm,OK,--,9:01:08 PM,3/23/2026,
52,0.0,gf,0.090,mm,OK,--,9:01:08 PM,3/23/2026,
53,0.0,gf,0.100,mm,OK,--,9:01:08 PM,3/23/2026,
54,0.0,gf,0.110,mm,OK,--,9:01:09 PM,3/23/2026,
55,0.0,gf,0.120,mm,OK,--,9:01:09 PM,3/23/2026,
56,0.0,gf,0.125,mm,OK,--,9:01:09 PM,3/23/2026,
57,0.0,gf,0.130,mm,OK,--,9:01:09 PM,3/23/2026,
58,0.3,gf,0.140,mm,OK,--,9:01:09 PM,3/23/2026,
59,4.7,gf,0.145,mm,OK,--,9:01:09 PM,3/23/2026,
60,8.6,gf,0.150,mm,OK,--,9:01:09 PM,3/23/2026,
61,12.1,gf,0.150,mm,OK,--,9:01:09 PM,3/23/2026,
62,15.1,gf,0.155,mm,OK,--,9:01:09 PM,3/23/2026,
63,17.9,gf,0.160,mm,OK,--,9:01:09 PM,3/23/2026,
64,21.2,gf,0.160,mm,OK,--,9:01:10 PM,3/23/2026,
65,23.7,gf,0.165,mm,OK,--,9:01:10 PM,3/23/2026,
66,25.4,gf,0.165,mm,OK,--,9:01:10 PM,3/23/2026,
67,26.6,gf,0.170,mm,OK,--,9:01:10 PM,3/23/2026,
68,27.3,gf,0.170,mm,OK,--,9:01:10 PM,3/23/2026,
69,27.9,gf,0.170,mm,OK,--,9:01:10 PM,3/23/2026,
70,28.7,gf,0.170,mm,OK,--,9:01:10 PM,3/23/2026,
71,29.5,gf,0.170,mm,OK,--,9:01:10 PM,3/23/2026,
72,30.7,gf,0.175,mm,OK,--,9:01:10 PM,3/23/2026,
73,30.9,gf,0.175,mm,OK,--,9:01:10 PM,3/23/2026,
74,30.8,gf,0.175,mm,OK,--,9:01:11 PM,3/23/2026,
75,31.1,gf,0.175,mm,OK,--,9:01:11 PM,3/23/2026,
76,31.2,gf,0.175,mm,OK,--,9:01:11 PM,3/23/2026,
77,31.5,gf,0.180,mm,OK,--,9:01:11 PM,3/23/2026,
78,32.4,gf,0.180,mm,OK,--,9:01:11 PM,3/23/2026,
79,31.9,gf,0.180,mm,OK,--,9:01:11 PM,3/23/2026,
80,32.1,gf,0.180,mm,OK,--,9:01:11 PM,3/23/2026,
81,31.9,gf,0.180,mm,OK,--,9:01:11 PM,3/23/2026,
82,32.4,gf,0.185,mm,OK,--,9:01:11 PM,3/23/2026,
83,32.8,gf,0.185,mm,OK,--,9:01:11 PM,3/23/2026,
84,32.9,gf,0.185,mm,OK,--,9:01:12 PM,3/23/2026,
85,32.9,gf,0.185,mm,OK,--,9:01:12 PM,3/23/2026,
86,33.6,gf,0.190,mm,OK,--,9:01:12 PM,3/23/2026,
