Maximum,192.6,@,No.1104,,,,,,
Minimum,-0.1,@,No.5,,,,,,
Average,53.44,,,,,,,,
Data Quantity,2326,,,,,,,,
Number of NG,0,,,,,,,,
No.,Force,Unit,Displacement,Unit,Judge,Position,Time,Date,
1,0.1,gf,0.000,mm,OK,--,5:04:44 PM,12/27/2025,
2,0.0,gf,0.000,mm,OK,--,5:04:44 PM,12/27/2025,
3,0.0,gf,0.000,mm,OK,--,5:04:44 PM,12/27/2025,
4,0.0,gf,0.000,mm,OK,--,5:04:44 PM,12/27/2025,
5,-0.1,gf,0.000,mm,OK,--,5:04:45 PM,12/27/2025,
6,0.0,gf,0.000,mm,OK,--,5:04:45 PM,12/27/2025,
7,0.0,gf,0.000,mm,OK,--,5:04:45 PM,12/27/2025,
8,0.0,gf,0.000,mm,OK,--,5:04:45 PM,12/27/2025,
9,0.0,gf,0.000,mm,OK,--,5:04:45 PM,12/27/2025,
10,0.0,gf,0.000,mm,OK,--,5:04:45 PM,12/27/2025,
11,0.0,gf,0.000,mm,OK,--,5:04:45 PM,12/27/2025,
12,0.0,gf,0.000,mm,OK,--,5:04:45 PM,12/27/2025,
13,0.0,gf,0.000,mm,OK,--,5:04:45 PM,12/27/2025,
14,0.0,gf,0.000,mm,OK,--,5:04:45 PM,12/27/2025,
15,0.0,gf,0.000,mm,OK,--,5:04:46 PM,12/27/2025,
16,0.0,gf,0.000,mm,OK,--,5:04:46 PM,12/27/2025,
17,0.0,gf,0.000,mm,OK,--,5:04:46 PM,12/27/2025,
18,0.0,gf,0.000,mm,OK,--,5:04:46 PM,12/27/2025,
19,0.0,gf,0.000,mm,OK,--,5:04:46 PM,12/27/2025,
20,0.0,gf,0.000,mm,OK,--,5:04:46 PM,12/27/2025,
21,0.0,gf,0.000,mm,OK,--,5:04:46 PM,12/27/2025,
22,0.0,gf,0.000,mm,OK,--,5:04:46 PM,12/27/2025,
23,0.0,gf,0.000,mm,OK,--,5:04:46 PM,12/27/2025,
24,0.0,gf,0.000,mm,OK,--,5:04:46 PM,12/27/2025,
25,0.0,gf,0.000,mm,OK,--,5:04:47 PM,12/27/2025,
26,0.0,gf,0.000,mm,OK,--,5:04:47 PM,12/27/2025,
27,0.0,gf,0.000,mm,OK,--,5:04:47 PM,12/27/2025,
28,0.0,gf,0.000,mm,OK,--,5:04:47 PM,12/27/2025,
29,0.0,gf,0.005,mm,OK,--,5:04:47 PM,12/27/2025,
30,0.0,gf,0.005,mm,OK,--,5:04:47 PM,12/27/2025,
31,0.0,gf,0.005,mm,OK,--,5:04:47 PM,12/27/2025,
32,0.0,gf,0.010,mm,OK,--,5:04:47 PM,12/27/2025,
33,0.0,gf,0.020,mm,OK,--,5:04:47 PM,12/27/2025,
34,0.5,gf,0.030,mm,OK,--,5:04:47 PM,12/27/2025,
35,8.3,gf,0.040,mm,OK,--,5:04:48 PM,12/27/2025,
36,16.6,gf,0.050,mm,OK,--,5:04:48 PM,12/27/2025,
37,24.8,gf,0.060,mm,OK,--,5:04:48 PM,12/27/2025,
38,30.7,gf,0.065,mm,OK,--,5:04:48 PM,12/27/2025,
39,34.9,gf,0.070,mm,OK,--,5:04:48 PM,12/27/2025,
40,37.9,gf,0.075,mm,OK,--,5:04:48 PM,12/27/2025,
41,40.5,gf,0.075,mm,OK,--,5:04:48 PM,12/27/2025,
42,43.2,gf,0.080,mm,OK,--,5:04:48 PM,12/27/2025,
43,46.0,gf,0.080,mm,OK,--,5:04:48 PM,12/27/2025,
44,48.1,gf,0.085,mm,OK,--,5:04:48 PM,12/27/2025,
45,47.1,gf,0.090,mm,OK,--,5:04:49 PM,12/27/2025,
46,44.7,gf,0.095,mm,OK,--,5:04:49 PM,12/27/2025,
47,44.5,gf,0.095,mm,OK,--,5:04:49 PM,12/27/2025,
