Maximum,192.0,@,No.1022,,,,,,
Minimum,-0.1,@,No.1,,,,,,
Average,58.29,,,,,,,,
Data Quantity,2068,,,,,,,,
Number of NG,0,,,,,,,,
No.,Force,Unit,Displacement,Unit,Judge,Position,Time,Date,
1,-0.1,gf,0.000,mm,OK,--,6:19:18 PM,1/26/2026,
2,-0.1,gf,0.000,mm,OK,--,6:19:18 PM,1/26/2026,
3,0.0,gf,0.000,mm,OK,--,6:19:18 PM,1/26/2026,
4,0.0,gf,0.000,mm,OK,--,6:19:18 PM,1/26/2026,
5,-0.1,gf,0.000,mm,OK,--,6:19:18 PM,1/26/2026,
6,0.0,gf,0.000,mm,OK,--,6:19:18 PM,1/26/2026,
7,0.0,gf,0.000,mm,OK,--,6:19:19 PM,1/26/2026,
8,-0.1,gf,0.000,mm,OK,--,6:19:19 PM,1/26/2026,
9,0.0,gf,0.005,mm,OK,--,6:19:19 PM,1/26/2026,
10,0.1,gf,0.005,mm,OK,--,6:19:19 PM,1/26/2026,
11,0.0,gf,0.010,mm,OK,--,6:19:19 PM,1/26/2026,
12,0.0,gf,0.010,mm,OK,--,6:19:19 PM,1/26/2026,
13,0.0,gf,0.010,mm,OK,--,6:19:19 PM,1/26/2026,
14,0.0,gf,0.015,mm,OK,--,6:19:19 PM,1/26/2026,
15,0.0,gf,0.015,mm,OK,--,6:19:19 PM,1/26/2026,
16,0.0,gf,0.015,mm,OK,--,6:19:19 PM,1/26/2026,
17,0.0,gf,0.020,mm,OK,--,6:19:20 PM,1/26/2026,
18,0.0,gf,0.020,mm,OK,--,6:19:20 PM,1/26/2026,
19,0.0,gf,0.025,mm,OK,--,6:19:20 PM,1/26/2026,
20,0.0,gf,0.025,mm,OK,--,6:19:20 PM,1/26/2026,
21,0.0,gf,0.030,mm,OK,--,6:19:20 PM,1/26/2026,
22,0.0,gf,0.030,mm,OK,--,6:19:20 PM,1/26/2026,
23,0.0,gf,0.030,mm,OK,--,6:19:20 PM,1/26/2026,
24,0.0,gf,0.030,mm,OK,--,6:19:20 PM,1/26/2026,
25,0.0,gf,0.030,mm,OK,--,6:19:20 PM,1/26/2026,
26,0.0,gf,0.030,mm,OK,--,6:19:20 PM,1/26/2026,
27,0.1,gf,0.030,mm,OK,--,6:19:21 PM,1/26/2026,
28,0.0,gf,0.035,mm,OK,--,6:19:21 PM,1/26/2026,
29,0.0,gf,0.035,mm,OK,--,6:19:21 PM,1/26/2026,
30,0.0,gf,0.035,mm,OK,--,6:19:21 PM,1/26/2026,
31,0.0,gf,0.035,mm,OK,--,6:19:21 PM,1/26/2026,
32,0.6,gf,0.035,mm,OK,--,6:19:21 PM,1/26/2026,
33,1.6,gf,0.035,mm,OK,--,6:19:21 PM,1/26/2026,
34,2.2,gf,0.040,mm,OK,--,6:19:21 PM,1/26/2026,
35,2.8,gf,0.040,mm,OK,--,6:19:21 PM,1/26/2026,
36,3.8,gf,0.040,mm,OK,--,6:19:21 PM,1/26/2026,
37,5.5,gf,0.040,mm,OK,--,6:19:22 PM,1/26/2026,
38,7.2,gf,0.045,mm,OK,--,6:19:22 PM,1/26/2026,
39,9.2,gf,0.045,mm,OK,--,6:19:22 PM,1/26/2026,
40,10.7,gf,0.045,mm,OK,--,6:19:22 PM,1/26/2026,
41,13.0,gf,0.050,mm,OK,--,6:19:22 PM,1/26/2026,
42,16.1,gf,0.050,mm,OK,--,6:19:22 PM,1/26/2026,
43,17.8,gf,0.055,mm,OK,--,6:19:22 PM,1/26/2026,
44,20.3,gf,0.060,mm,OK,--,6:19:22 PM,1/26/2026,
45,23.0,gf,0.060,mm,OK,--,6:19:22 PM,1/26/2026,
46,24.1,gf,0.060,mm,OK,--,6:19:22 PM,1/26/2026,
47,25.2,gf,0.065,mm,OK,--,6:19:23 PM,1/26/2026,
48,26.7,gf,0.065,mm,OK,--,6:19:23 PM,1/26/2026,
49,28.3,gf,0.065,mm,OK,--,6:19:23 PM,1/26/2026,
50,29.7,gf,0.070,mm,OK,--,6:19:23 PM,1/26/2026,
51,31.5,gf,0.070,mm,OK,--,6:19:23 PM,1/26/2026,
52,33.5,gf,0.070,mm,OK,--,6:19:23 PM,1/26/2026,
53,35.7,gf,0.075,mm,OK,--,6:19:23 PM,1/26/2026,
54,37.8,gf,0.075,mm,OK,--,6:19:23 PM,1/26/2026,
55,40.2,gf,0.080,mm,OK,--,6:19:23 PM,1/26/2026,
56,41.3,gf,0.085,mm,OK,--,6:19:23 PM,1/26/2026,
57,41.8,gf,0.085,mm,OK,--,6:19:24 PM,1/26/2026,
58,42.4,gf,0.090,mm,OK,--,6:19:24 PM,1/26/2026,
59,42.9,gf,0.090,mm,OK,--,6:19:24 PM,1/26/2026,
60,43.5,gf,0.095,mm,OK,--,6:19:24 PM,1/26/2026,
61,44.1,gf,0.100,mm,OK,--,6:19:24 PM,1/26/2026,
62,44.4,gf,0.105,mm,OK,--,6:19:24 PM,1/26/2026,
63,43.9,gf,0.110,mm,OK,--,6:19:24 PM,1/26/2026,
64,43.6,gf,0.110,mm,OK,--,6:19:24 PM,1/26/2026,
65,43.5,gf,0.115,mm,OK,--,6:19:24 PM,1/26/2026,
66,43.4,gf,0.120,mm,OK,--,6:19:24 PM,1/26/2026,
67,43.4,gf,0.125,mm,OK,--,6:19:25 PM,1/26/2026,
