Maximum,200.2,@,No.1002,,,,,,
Minimum,-0.4,@,No.8,,,,,,
Average,50.19,,,,,,,,
Data Quantity,1983,,,,,,,,
Number of NG,3,,,,,,,,
No.,Force,Unit,Displacement,Unit,Judge,Position,Time,Date,
1,0.0,gf,0.000,mm,OK,--,10:01:19 PM,4/14/2026,
2,0.0,gf,0.000,mm,OK,--,10:01:19 PM,4/14/2026,
3,0.0,gf,0.000,mm,OK,--,10:01:19 PM,4/14/2026,
4,-0.1,gf,0.000,mm,OK,--,10:01:19 PM,4/14/2026,
5,0.0,gf,0.000,mm,OK,--,10:01:19 PM,4/14/2026,
6,0.0,gf,0.000,mm,OK,--,10:01:19 PM,4/14/2026,
7,-0.3,gf,0.000,mm,OK,--,10:01:19 PM,4/14/2026,
8,-0.4,gf,0.000,mm,OK,--,10:01:20 PM,4/14/2026,
9,0.0,gf,0.000,mm,OK,--,10:01:20 PM,4/14/2026,
10,0.1,gf,0.005,mm,OK,--,10:01:20 PM,4/14/2026,
11,0.0,gf,0.005,mm,OK,--,10:01:20 PM,4/14/2026,
12,-0.1,gf,0.005,mm,OK,--,10:01:20 PM,4/14/2026,
13,0.1,gf,0.005,mm,OK,--,10:01:20 PM,4/14/2026,
14,0.0,gf,0.005,mm,OK,--,10:01:20 PM,4/14/2026,
15,0.0,gf,0.005,mm,OK,--,10:01:20 PM,4/14/2026,
16,0.0,gf,0.005,mm,OK,--,10:01:20 PM,4/14/2026,
17,0.0,gf,0.005,mm,OK,--,10:01:20 PM,4/14/2026,
18,0.0,gf,0.010,mm,OK,--,10:01:21 PM,4/14/2026,
19,0.0,gf,0.010,mm,OK,--,10:01:21 PM,4/14/2026,
20,0.0,gf,0.010,mm,OK,--,10:01:21 PM,4/14/2026,
21,0.0,gf,0.015,mm,OK,--,10:01:21 PM,4/14/2026,
22,0.0,gf,0.015,mm,OK,--,10:01:21 PM,4/14/2026,
23,0.0,gf,0.020,mm,OK,--,10:01:21 PM,4/14/2026,
24,0.0,gf,0.020,mm,OK,--,10:01:21 PM,4/14/2026,
25,0.0,gf,0.025,mm,OK,--,10:01:21 PM,4/14/2026,
26,0.0,gf,0.030,mm,OK,--,10:01:21 PM,4/14/2026,
27,0.0,gf,0.030,mm,OK,--,10:01:21 PM,4/14/2026,
28,0.0,gf,0.035,mm,OK,--,10:01:22 PM,4/14/2026,
29,0.0,gf,0.040,mm,OK,--,10:01:22 PM,4/14/2026,
30,0.0,gf,0.045,mm,OK,--,10:01:22 PM,4/14/2026,
31,0.0,gf,0.050,mm,OK,--,10:01:22 PM,4/14/2026,
32,1.5,gf,0.055,mm,OK,--,10:01:22 PM,4/14/2026,
33,6.4,gf,0.060,mm,OK,--,10:01:22 PM,4/14/2026,
34,10.7,gf,0.065,mm,OK,--,10:01:22 PM,4/14/2026,
35,14.6,gf,0.070,mm,OK,--,10:01:22 PM,4/14/2026,
36,18.3,gf,0.075,mm,OK,--,10:01:22 PM,4/14/2026,
37,21.4,gf,0.075,mm,OK,--,10:01:22 PM,4/14/2026,
38,24.5,gf,0.080,mm,OK,--,10:01:23 PM,4/14/2026,
39,27.6,gf,0.085,mm,OK,--,10:01:23 PM,4/14/2026,
40,30.9,gf,0.085,mm,OK,--,10:01:23 PM,4/14/2026,
41,34.0,gf,0.090,mm,OK,--,10:01:23 PM,4/14/2026,
42,36.4,gf,0.095,mm,OK,--,10:01:23 PM,4/14/2026,
43,36.5,gf,0.100,mm,OK,--,10:01:23 PM,4/14/2026,
44,36.9,gf,0.105,mm,OK,--,10:01:23 PM,4/14/2026,
45,35.4,gf,0.110,mm,OK,--,10:01:23 PM,4/14/2026,
46,35.2,gf,0.115,mm,OK,--,10:01:23 PM,4/14/2026,
47,34.9,gf,0.120,mm,OK,--,10:01:23 PM,4/14/2026,
48,34.8,gf,0.125,mm,OK,--,10:01:24 PM,4/14/2026,
49,34.7,gf,0.130,mm,OK,--,10:01:24 PM,4/14/2026,
50,34.8,gf,0.135,mm,OK,--,10:01:24 PM,4/14/2026,
51,34.8,gf,0.140,mm,OK,--,10:01:24 PM,4/14/2026,
52,34.9,gf,0.145,mm,OK,--,10:01:24 PM,4/14/2026,
53,35.0,gf,0.155,mm,OK,--,10:01:24 PM,4/14/2026,
54,35.1,gf,0.160,mm,OK,--,10:01:24 PM,4/14/2026,
55,35.2,gf,0.165,mm,OK,--,10:01:24 PM,4/14/2026,
56,35.1,gf,0.170,mm,OK,--,10:01:24 PM,4/14/2026,
57,35.2,gf,0.175,mm,OK,--,10:01:24 PM,4/14/2026,
58,35.3,gf,0.180,mm,OK,--,10:01:25 PM,4/14/2026,
59,35.4,gf,0.180,mm,OK,--,10:01:25 PM,4/14/2026,
60,35.5,gf,0.185,mm,OK,--,10:01:25 PM,4/14/2026,
61,35.5,gf,0.190,mm,OK,--,10:01:25 PM,4/14/2026,
62,35.4,gf,0.195,mm,OK,--,10:01:25 PM,4/14/2026,
63,35.4,gf,0.195,mm,OK,--,10:01:25 PM,4/14/2026,
64,35.4,gf,0.200,mm,OK,--,10:01:25 PM,4/14/2026,
65,35.5,gf,0.205,mm,OK,--,10:01:25 PM,4/14/2026,
66,35.5,gf,0.205,mm,OK,--,10:01:25 PM,4/14/2026,
67,35.5,gf,0.210,mm,OK,--,10:01:25 PM,4/14/2026,
68,35.5,gf,0.215,mm,OK,--,10:01:26 PM,4/14/2026,
69,35.5,gf,0.215,mm,OK,--,10:01:26 PM,4/14/2026,
70,35.4,gf,0.220,mm,OK,--,10:01:26 PM,4/14/2026,
71,35.3,gf,0.225,mm,OK,--,10:01:26 PM,4/14/2026,
72,35.4,gf,0.230,mm,OK,--,10:01:26 PM,4/14/2026,
73,35.3,gf,0.235,mm,OK,--,10:01:26 PM,4/14/2026,
74,35.3,gf,0.240,mm,OK,--,10:01:26 PM,4/14/2026,
75,35.3,gf,0.240,mm,OK,--,10:01:26 PM,4/14/2026,
76,35.4,gf,0.245,mm,OK,--,10:01:26 PM,4/14/2026,
77,35.3,gf,0.250,mm,OK,--,10:01:26 PM,4/14/2026,
78,35.4,gf,0.255,mm,OK,--,10:01:27 PM,4/14/2026,
79,35.5,gf,0.255,mm,OK,--,10:01:27 PM,4/14/2026,
80,35.3,gf,0.260,mm,OK,--,10:01:27 PM,4/14/2026,
81,35.3,gf,0.265,mm,OK,--,10:01:27 PM,4/14/2026,
82,35.3,gf,0.270,mm,OK,--,10:01:27 PM,4/14/2026,
83,35.2,gf,0.275,mm,OK,--,10:01:27 PM,4/14/2026,
84,35.3,gf,0.280,mm,OK,--,10:01:27 PM,4/14/2026,
85,35.4,gf,0.280,mm,OK,--,10:01:27 PM,4/14/2026,
86,35.4,gf,0.285,mm,OK,--,10:01:27 PM,4/14/2026,
87,35.4,gf,0.290,mm,OK,--,10:01:27 PM,4/14/2026,
88,35.4,gf,0.290,mm,OK,--,10:01:28 PM,4/14/2026,
89,35.5,gf,0.290,mm,OK,--,10:01:28 PM,4/14/2026,
90,35.6,gf,0.295,mm,OK,--,10:01:28 PM,4/14/2026,
91,35.6,gf,0.295,mm,OK,--,10:01:28 PM,4/14/2026,
92,35.5,gf,0.300,mm,OK,--,10:01:28 PM,4/14/2026,
93,35.5,gf,0.300,mm,OK,--,10:01:28 PM,4/14/2026,
94,35.5,gf,0.305,mm,OK,--,10:01:28 PM,4/14/2026,
95,35.5,gf,0.310,mm,OK,--,10:01:28 PM,4/14/2026,
96,35.5,gf,0.310,mm,OK,--,10:01:28 PM,4/14/2026,
97,35.5,gf,0.315,mm,OK,--,10:01:29 PM,4/14/2026,
98,35.6,gf,0.315,mm,OK,--,10:01:29 PM,4/14/2026,
99,35.6,gf,0.320,mm,OK,--,10:01:29 PM,4/14/2026,
100,35.7,gf,0.320,mm,OK,--,10:01:29 PM,4/14/2026,
101,35.7,gf,0.325,mm,OK,--,10:01:29 PM,4/14/2026,
102,35.6,gf,0.325,mm,OK,--,10:01:29 PM,4/14/2026,
103,35.7,gf,0.330,mm,OK,--,10:01:29 PM,4/14/2026,
104,35.8,gf,0.330,mm,OK,--,10:01:29 PM,4/14/2026,
105,35.8,gf,0.335,mm,OK,--,10:01:29 PM,4/14/2026,
106,35.8,gf,0.335,mm,OK,--,10:01:29 PM,4/14/2026,
107,35.7,gf,0.340,mm,OK,--,10:01:29 PM,4/14/2026,
108,35.7,gf,0.340,mm,OK,--,10:01:30 PM,4/14/2026,
109,35.9,gf,0.345,mm,OK,--,10:01:30 PM,4/14/2026,
110,35.8,gf,0.345,mm,OK,--,10:01:30 PM,4/14/2026,
111,35.8,gf,0.350,mm,OK,--,10:01:30 PM,4/14/2026,
112,35.7,gf,0.355,mm,OK,--,10:01:30 PM,4/14/2026,
113,35.7,gf,0.355,mm,OK,--,10:01:30 PM,4/14/2026,
114,35.6,gf,0.360,mm,OK,--,10:01:30 PM,4/14/2026,
115,35.6,gf,0.365,mm,OK,--,10:01:30 PM,4/14/2026,
116,35.6,gf,0.370,mm,OK,--,10:01:30 PM,4/14/2026,
117,35.6,gf,0.370,mm,OK,--,10:01:30 PM,4/14/2026,
118,35.6,gf,0.375,mm,OK,--,10:01:31 PM,4/14/2026,
119,35.6,gf,0.380,mm,OK,--,10:01:31 PM,4/14/2026,
120,35.6,gf,0.380,mm,OK,--,10:01:31 PM,4/14/2026,
121,35.7,gf,0.385,mm,OK,--,10:01:31 PM,4/14/2026,
122,35.7,gf,0.385,mm,OK,--,10:01:31 PM,4/14/2026,
123,35.7,gf,0.390,mm,OK,--,10:01:31 PM,4/14/2026,
124,35.7,gf,0.395,mm,OK,--,10:01:31 PM,4/14/2026,
125,35.6,gf,0.395,mm,OK,--,10:01:31 PM,4/14/2026,
126,35.7,gf,0.400,mm,OK,--,10:01:31 PM,4/14/2026,
127,35.6,gf,0.405,mm,OK,--,10:01:31 PM,4/14/2026,
128,35.6,gf,0.405,mm,OK,--,10:01:32 PM,4/14/2026,
129,35.6,gf,0.410,mm,OK,--,10:01:32 PM,4/14/2026,
130,35.7,gf,0.415,mm,OK,--,10:01:32 PM,4/14/2026,
131,35.6,gf,0.415,mm,OK,--,10:01:32 PM,4/14/2026,
132,35.6,gf,0.420,mm,OK,--,10:01:32 PM,4/14/2026,
133,35.6,gf,0.425,mm,OK,--,10:01:32 PM,4/14/2026,
134,35.5,gf,0.430,mm,OK,--,10:01:32 PM,4/14/2026,
135,35.5,gf,0.430,mm,OK,--,10:01:32 PM,4/14/2026,
136,35.5,gf,0.435,mm,OK,--,10:01:32 PM,4/14/2026,
137,35.5,gf,0.440,mm,OK,--,10:01:32 PM,4/14/2026,
138,35.5,gf,0.445,mm,OK,--,10:01:33 PM,4/14/2026,
139,35.4,gf,0.450,mm,OK,--,10:01:33 PM,4/14/2026,
140,35.4,gf,0.455,mm,OK,--,10:01:33 PM,4/14/2026,
141,35.5,gf,0.455,mm,OK,--,10:01:33 PM,4/14/2026,
142,35.6,gf,0.460,mm,OK,--,10:01:33 PM,4/14/2026,
143,35.6,gf,0.460,mm,OK,--,10:01:33 PM,4/14/2026,
144,35.7,gf,0.465,mm,OK,--,10:01:33 PM,4/14/2026,
145,35.7,gf,0.465,mm,OK,--,10:01:33 PM,4/14/2026,
146,35.7,gf,0.470,mm,OK,--,10:01:33 PM,4/14/2026,
147,35.7,gf,0.470,mm,OK,--,10:01:33 PM,4/14/2026,
148,35.7,gf,0.475,mm,OK,--,10:01:34 PM,4/14/2026,
149,35.7,gf,0.475,mm,OK,--,10:01:34 PM,4/14/2026,
150,35.7,gf,0.480,mm,OK,--,10:01:34 PM,4/14/2026,
151,35.7,gf,0.485,mm,OK,--,10:01:34 PM,4/14/2026,
152,35.7,gf,0.490,mm,OK,--,10:01:34 PM,4/14/2026,
153,35.7,gf,0.490,mm,OK,--,10:01:34 PM,4/14/2026,
154,35.8,gf,0.495,mm,OK,--,10:01:34 PM,4/14/2026,
155,35.8,gf,0.495,mm,OK,--,10:01:34 PM,4/14/2026,
156,35.9,gf,0.500,mm,OK,--,10:01:34 PM,4/14/2026,
157,36.0,gf,0.500,mm,OK,--,10:01:34 PM,4/14/2026,
158,35.9,gf,0.505,mm,OK,--,10:01:35 PM,4/14/2026,
159,35.9,gf,0.505,mm,OK,--,10:01:35 PM,4/14/2026,
160,35.9,gf,0.510,mm,OK,--,10:01:35 PM,4/14/2026,
161,35.9,gf,0.510,mm,OK,--,10:01:35 PM,4/14/2026,
162,36.1,gf,0.510,mm,OK,--,10:01:35 PM,4/14/2026,
163,36.0,gf,0.515,mm,OK,--,10:01:35 PM,4/14/2026,
164,36.1,gf,0.515,mm,OK,--,10:01:35 PM,4/14/2026,
165,36.1,gf,0.520,mm,OK,--,10:01:35 PM,4/14/2026,
