Maximum,196.2,@,No.1012,,,,,,
Minimum,-0.8,@,No.2029,,,,,,
Average,50.79,,,,,,,,
Data Quantity,2038,,,,,,,,
Number of NG,0,,,,,,,,
No.,Force,Unit,Displacement,Unit,Judge,Position,Time,Date,
1,0.2,gf,0.000,mm,OK,--,2:31:21 PM,12/29/2025,
2,0.1,gf,0.000,mm,OK,--,2:31:21 PM,12/29/2025,
3,-0.1,gf,0.000,mm,OK,--,2:31:21 PM,12/29/2025,
4,0.0,gf,0.000,mm,OK,--,2:31:21 PM,12/29/2025,
5,0.1,gf,0.000,mm,OK,--,2:31:21 PM,12/29/2025,
6,0.0,gf,0.000,mm,OK,--,2:31:22 PM,12/29/2025,
7,-0.1,gf,0.000,mm,OK,--,2:31:22 PM,12/29/2025,
8,-0.1,gf,0.000,mm,OK,--,2:31:22 PM,12/29/2025,
9,-0.1,gf,0.000,mm,OK,--,2:31:22 PM,12/29/2025,
10,-0.1,gf,0.000,mm,OK,--,2:31:22 PM,12/29/2025,
11,-0.1,gf,0.000,mm,OK,--,2:31:22 PM,12/29/2025,
12,0.0,gf,0.000,mm,OK,--,2:31:22 PM,12/29/2025,
13,0.1,gf,0.000,mm,OK,--,2:31:22 PM,12/29/2025,
14,0.0,gf,0.000,mm,OK,--,2:31:22 PM,12/29/2025,
15,0.0,gf,0.000,mm,OK,--,2:31:22 PM,12/29/2025,
16,0.1,gf,0.005,mm,OK,--,2:31:23 PM,12/29/2025,
17,0.0,gf,0.005,mm,OK,--,2:31:23 PM,12/29/2025,
18,0.0,gf,0.005,mm,OK,--,2:31:23 PM,12/29/2025,
19,0.0,gf,0.005,mm,OK,--,2:31:23 PM,12/29/2025,
20,0.0,gf,0.005,mm,OK,--,2:31:23 PM,12/29/2025,
21,0.1,gf,0.005,mm,OK,--,2:31:23 PM,12/29/2025,
22,-0.1,gf,0.005,mm,OK,--,2:31:23 PM,12/29/2025,
23,-0.2,gf,0.005,mm,OK,--,2:31:23 PM,12/29/2025,
24,0.1,gf,0.005,mm,OK,--,2:31:23 PM,12/29/2025,
25,0.0,gf,0.005,mm,OK,--,2:31:23 PM,12/29/2025,
26,0.0,gf,0.005,mm,OK,--,2:31:24 PM,12/29/2025,
27,0.0,gf,0.005,mm,OK,--,2:31:24 PM,12/29/2025,
28,0.0,gf,0.005,mm,OK,--,2:31:24 PM,12/29/2025,
29,0.0,gf,0.005,mm,OK,--,2:31:24 PM,12/29/2025,
30,-0.1,gf,0.010,mm,OK,--,2:31:24 PM,12/29/2025,
31,0.0,gf,0.010,mm,OK,--,2:31:24 PM,12/29/2025,
32,0.0,gf,0.010,mm,OK,--,2:31:24 PM,12/29/2025,
33,0.0,gf,0.010,mm,OK,--,2:31:24 PM,12/29/2025,
34,-0.1,gf,0.010,mm,OK,--,2:31:24 PM,12/29/2025,
35,-0.1,gf,0.010,mm,OK,--,2:31:24 PM,12/29/2025,
36,0.0,gf,0.010,mm,OK,--,2:31:25 PM,12/29/2025,
37,0.0,gf,0.010,mm,OK,--,2:31:25 PM,12/29/2025,
