Maximum,189.7,@,No.1241,,,,,,
Minimum,-0.9,@,No.2375,,,,,,
Average,51.49,,,,,,,,
Data Quantity,2390,,,,,,,,
Number of NG,0,,,,,,,,
No.,Force,Unit,Displacement,Unit,Judge,Position,Time,Date,
1,0.0,gf,0.000,mm,OK,--,7:02:32 PM,3/11/2026,
2,0.0,gf,0.000,mm,OK,--,7:02:32 PM,3/11/2026,
3,0.0,gf,0.000,mm,OK,--,7:02:32 PM,3/11/2026,
4,0.0,gf,0.005,mm,OK,--,7:02:32 PM,3/11/2026,
5,0.0,gf,0.005,mm,OK,--,7:02:32 PM,3/11/2026,
6,0.0,gf,0.005,mm,OK,--,7:02:33 PM,3/11/2026,
7,0.0,gf,0.010,mm,OK,--,7:02:33 PM,3/11/2026,
8,0.0,gf,0.015,mm,OK,--,7:02:33 PM,3/11/2026,
9,0.0,gf,0.020,mm,OK,--,7:02:33 PM,3/11/2026,
10,0.0,gf,0.025,mm,OK,--,7:02:33 PM,3/11/2026,
11,0.0,gf,0.030,mm,OK,--,7:02:33 PM,3/11/2026,
12,0.0,gf,0.035,mm,OK,--,7:02:33 PM,3/11/2026,
13,0.0,gf,0.040,mm,OK,--,7:02:33 PM,3/11/2026,
14,0.0,gf,0.050,mm,OK,--,7:02:33 PM,3/11/2026,
15,0.0,gf,0.055,mm,OK,--,7:02:33 PM,3/11/2026,
16,0.0,gf,0.060,mm,OK,--,7:02:34 PM,3/11/2026,
17,0.0,gf,0.065,mm,OK,--,7:02:34 PM,3/11/2026,
18,0.0,gf,0.070,mm,OK,--,7:02:34 PM,3/11/2026,
19,0.0,gf,0.070,mm,OK,--,7:02:34 PM,3/11/2026,
20,0.1,gf,0.075,mm,OK,--,7:02:34 PM,3/11/2026,
21,0.0,gf,0.075,mm,OK,--,7:02:34 PM,3/11/2026,
22,0.0,gf,0.080,mm,OK,--,7:02:34 PM,3/11/2026,
23,0.0,gf,0.080,mm,OK,--,7:02:34 PM,3/11/2026,
24,0.0,gf,0.085,mm,OK,--,7:02:34 PM,3/11/2026,
25,0.0,gf,0.085,mm,OK,--,7:02:34 PM,3/11/2026,
26,0.0,gf,0.090,mm,OK,--,7:02:35 PM,3/11/2026,
27,0.0,gf,0.090,mm,OK,--,7:02:35 PM,3/11/2026,
28,0.0,gf,0.095,mm,OK,--,7:02:35 PM,3/11/2026,
29,0.0,gf,0.100,mm,OK,--,7:02:35 PM,3/11/2026,
30,0.0,gf,0.100,mm,OK,--,7:02:35 PM,3/11/2026,
31,0.0,gf,0.100,mm,OK,--,7:02:35 PM,3/11/2026,
32,0.0,gf,0.105,mm,OK,--,7:02:35 PM,3/11/2026,
33,0.0,gf,0.105,mm,OK,--,7:02:35 PM,3/11/2026,
34,0.0,gf,0.105,mm,OK,--,7:02:35 PM,3/11/2026,
35,0.0,gf,0.110,mm,OK,--,7:02:35 PM,3/11/2026,
36,0.0,gf,0.110,mm,OK,--,7:02:36 PM,3/11/2026,
37,0.0,gf,0.115,mm,OK,--,7:02:36 PM,3/11/2026,
38,0.0,gf,0.115,mm,OK,--,7:02:36 PM,3/11/2026,
39,0.1,gf,0.120,mm,OK,--,7:02:36 PM,3/11/2026,
40,0.0,gf,0.125,mm,OK,--,7:02:36 PM,3/11/2026,
41,0.0,gf,0.125,mm,OK,--,7:02:36 PM,3/11/2026,
42,0.0,gf,0.130,mm,OK,--,7:02:36 PM,3/11/2026,
43,0.0,gf,0.130,mm,OK,--,7:02:36 PM,3/11/2026,
44,0.0,gf,0.135,mm,OK,--,7:02:36 PM,3/11/2026,
45,0.0,gf,0.135,mm,OK,--,7:02:36 PM,3/11/2026,
46,0.0,gf,0.140,mm,OK,--,7:02:37 PM,3/11/2026,
47,0.0,gf,0.140,mm,OK,--,7:02:37 PM,3/11/2026,
48,0.0,gf,0.145,mm,OK,--,7:02:37 PM,3/11/2026,
49,0.0,gf,0.145,mm,OK,--,7:02:37 PM,3/11/2026,
50,0.0,gf,0.150,mm,OK,--,7:02:37 PM,3/11/2026,
51,0.0,gf,0.155,mm,OK,--,7:02:37 PM,3/11/2026,
52,0.0,gf,0.160,mm,OK,--,7:02:37 PM,3/11/2026,
53,0.3,gf,0.165,mm,OK,--,7:02:37 PM,3/11/2026,
54,3.0,gf,0.170,mm,OK,--,7:02:37 PM,3/11/2026,
55,5.9,gf,0.175,mm,OK,--,7:02:37 PM,3/11/2026,
56,8.3,gf,0.180,mm,OK,--,7:02:38 PM,3/11/2026,
57,9.2,gf,0.180,mm,OK,--,7:02:38 PM,3/11/2026,
58,10.1,gf,0.180,mm,OK,--,7:02:38 PM,3/11/2026,
59,10.9,gf,0.185,mm,OK,--,7:02:38 PM,3/11/2026,
60,12.2,gf,0.185,mm,OK,--,7:02:38 PM,3/11/2026,
61,13.2,gf,0.190,mm,OK,--,7:02:38 PM,3/11/2026,
62,14.0,gf,0.190,mm,OK,--,7:02:38 PM,3/11/2026,
63,14.5,gf,0.190,mm,OK,--,7:02:38 PM,3/11/2026,
64,15.2,gf,0.195,mm,OK,--,7:02:38 PM,3/11/2026,
65,15.9,gf,0.195,mm,OK,--,7:02:38 PM,3/11/2026,
66,16.5,gf,0.195,mm,OK,--,7:02:39 PM,3/11/2026,
67,17.0,gf,0.200,mm,OK,--,7:02:39 PM,3/11/2026,
68,17.9,gf,0.200,mm,OK,--,7:02:39 PM,3/11/2026,
69,18.8,gf,0.205,mm,OK,--,7:02:39 PM,3/11/2026,
70,19.9,gf,0.205,mm,OK,--,7:02:39 PM,3/11/2026,
71,21.1,gf,0.210,mm,OK,--,7:02:39 PM,3/11/2026,
72,22.2,gf,0.215,mm,OK,--,7:02:39 PM,3/11/2026,
73,23.2,gf,0.220,mm,OK,--,7:02:39 PM,3/11/2026,
74,23.9,gf,0.220,mm,OK,--,7:02:39 PM,3/11/2026,
75,24.5,gf,0.225,mm,OK,--,7:02:39 PM,3/11/2026,
76,24.7,gf,0.225,mm,OK,--,7:02:40 PM,3/11/2026,
77,25.1,gf,0.225,mm,OK,--,7:02:40 PM,3/11/2026,
78,25.3,gf,0.230,mm,OK,--,7:02:40 PM,3/11/2026,
79,25.5,gf,0.230,mm,OK,--,7:02:40 PM,3/11/2026,
80,25.9,gf,0.230,mm,OK,--,7:02:40 PM,3/11/2026,
81,26.1,gf,0.230,mm,OK,--,7:02:40 PM,3/11/2026,
82,26.4,gf,0.230,mm,OK,--,7:02:40 PM,3/11/2026,
83,26.7,gf,0.235,mm,OK,--,7:02:40 PM,3/11/2026,
84,26.9,gf,0.235,mm,OK,--,7:02:40 PM,3/11/2026,
85,27.2,gf,0.235,mm,OK,--,7:02:40 PM,3/11/2026,
86,27.4,gf,0.235,mm,OK,--,7:02:41 PM,3/11/2026,
87,27.5,gf,0.235,mm,OK,--,7:02:41 PM,3/11/2026,
88,28.0,gf,0.240,mm,OK,--,7:02:41 PM,3/11/2026,
89,28.7,gf,0.240,mm,OK,--,7:02:41 PM,3/11/2026,
90,29.0,gf,0.245,mm,OK,--,7:02:41 PM,3/11/2026,
91,29.2,gf,0.245,mm,OK,--,7:02:41 PM,3/11/2026,
92,29.5,gf,0.245,mm,OK,--,7:02:41 PM,3/11/2026,
93,29.9,gf,0.250,mm,OK,--,7:02:41 PM,3/11/2026,
94,30.6,gf,0.250,mm,OK,--,7:02:41 PM,3/11/2026,
95,31.0,gf,0.255,mm,OK,--,7:02:41 PM,3/11/2026,
96,31.1,gf,0.255,mm,OK,--,7:02:42 PM,3/11/2026,
97,31.2,gf,0.255,mm,OK,--,7:02:42 PM,3/11/2026,
98,31.2,gf,0.260,mm,OK,--,7:02:42 PM,3/11/2026,
99,31.5,gf,0.260,mm,OK,--,7:02:42 PM,3/11/2026,
100,31.5,gf,0.260,mm,OK,--,7:02:42 PM,3/11/2026,
101,31.7,gf,0.260,mm,OK,--,7:02:42 PM,3/11/2026,
102,31.8,gf,0.260,mm,OK,--,7:02:42 PM,3/11/2026,
103,31.9,gf,0.265,mm,OK,--,7:02:42 PM,3/11/2026,
104,32.2,gf,0.265,mm,OK,--,7:02:42 PM,3/11/2026,
105,32.3,gf,0.270,mm,OK,--,7:02:42 PM,3/11/2026,
106,32.4,gf,0.270,mm,OK,--,7:02:43 PM,3/11/2026,
107,32.5,gf,0.270,mm,OK,--,7:02:43 PM,3/11/2026,
108,32.8,gf,0.275,mm,OK,--,7:02:43 PM,3/11/2026,
109,32.4,gf,0.280,mm,OK,--,7:02:43 PM,3/11/2026,
110,32.5,gf,0.280,mm,OK,--,7:02:43 PM,3/11/2026,
111,32.6,gf,0.280,mm,OK,--,7:02:43 PM,3/11/2026,
112,32.8,gf,0.285,mm,OK,--,7:02:43 PM,3/11/2026,
113,32.6,gf,0.290,mm,OK,--,7:02:43 PM,3/11/2026,
114,32.5,gf,0.295,mm,OK,--,7:02:43 PM,3/11/2026,
115,32.5,gf,0.300,mm,OK,--,7:02:43 PM,3/11/2026,
116,32.4,gf,0.300,mm,OK,--,7:02:44 PM,3/11/2026,
117,32.4,gf,0.305,mm,OK,--,7:02:44 PM,3/11/2026,
118,32.5,gf,0.305,mm,OK,--,7:02:44 PM,3/11/2026,
119,32.6,gf,0.305,mm,OK,--,7:02:44 PM,3/11/2026,
120,32.7,gf,0.310,mm,OK,--,7:02:44 PM,3/11/2026,
121,32.6,gf,0.315,mm,OK,--,7:02:44 PM,3/11/2026,
122,32.5,gf,0.315,mm,OK,--,7:02:44 PM,3/11/2026,
123,32.5,gf,0.320,mm,OK,--,7:02:44 PM,3/11/2026,
124,32.7,gf,0.320,mm,OK,--,7:02:44 PM,3/11/2026,
125,32.7,gf,0.325,mm,OK,--,7:02:44 PM,3/11/2026,
126,32.7,gf,0.330,mm,OK,--,7:02:45 PM,3/11/2026,
127,32.7,gf,0.335,mm,OK,--,7:02:45 PM,3/11/2026,
128,32.6,gf,0.340,mm,OK,--,7:02:45 PM,3/11/2026,
129,32.7,gf,0.345,mm,OK,--,7:02:45 PM,3/11/2026,
130,32.5,gf,0.350,mm,OK,--,7:02:45 PM,3/11/2026,
131,32.5,gf,0.350,mm,OK,--,7:02:45 PM,3/11/2026,
132,32.4,gf,0.355,mm,OK,--,7:02:45 PM,3/11/2026,
