Maximum,193.0,@,No.988,,,,,,
Minimum,-0.3,@,No.1968,,,,,,
Average,49.89,,,,,,,,
Data Quantity,1985,,,,,,,,
Number of NG,0,,,,,,,,
No.,Force,Unit,Displacement,Unit,Judge,Position,Time,Date,
1,0.0,gf,0.000,mm,OK,--,8:09:24 PM,3/14/2026,
2,0.0,gf,0.000,mm,OK,--,8:09:24 PM,3/14/2026,
3,0.0,gf,0.005,mm,OK,--,8:09:25 PM,3/14/2026,
4,0.1,gf,0.005,mm,OK,--,8:09:25 PM,3/14/2026,
5,0.0,gf,0.005,mm,OK,--,8:09:25 PM,3/14/2026,
6,0.0,gf,0.010,mm,OK,--,8:09:25 PM,3/14/2026,
7,0.0,gf,0.010,mm,OK,--,8:09:25 PM,3/14/2026,
8,-0.1,gf,0.010,mm,OK,--,8:09:25 PM,3/14/2026,
9,0.0,gf,0.015,mm,OK,--,8:09:25 PM,3/14/2026,
10,0.0,gf,0.020,mm,OK,--,8:09:25 PM,3/14/2026,
11,0.0,gf,0.025,mm,OK,--,8:09:25 PM,3/14/2026,
12,0.0,gf,0.030,mm,OK,--,8:09:25 PM,3/14/2026,
13,-0.1,gf,0.030,mm,OK,--,8:09:26 PM,3/14/2026,
14,0.0,gf,0.040,mm,OK,--,8:09:26 PM,3/14/2026,
15,0.0,gf,0.040,mm,OK,--,8:09:26 PM,3/14/2026,
16,0.0,gf,0.045,mm,OK,--,8:09:26 PM,3/14/2026,
17,0.0,gf,0.050,mm,OK,--,8:09:26 PM,3/14/2026,
18,0.0,gf,0.050,mm,OK,--,8:09:26 PM,3/14/2026,
19,0.0,gf,0.050,mm,OK,--,8:09:26 PM,3/14/2026,
20,0.0,gf,0.055,mm,OK,--,8:09:26 PM,3/14/2026,
21,0.0,gf,0.055,mm,OK,--,8:09:26 PM,3/14/2026,
22,0.8,gf,0.055,mm,OK,--,8:09:26 PM,3/14/2026,
23,2.0,gf,0.055,mm,OK,--,8:09:27 PM,3/14/2026,
24,3.9,gf,0.060,mm,OK,--,8:09:27 PM,3/14/2026,
25,5.6,gf,0.060,mm,OK,--,8:09:27 PM,3/14/2026,
26,6.5,gf,0.060,mm,OK,--,8:09:27 PM,3/14/2026,
27,7.1,gf,0.060,mm,OK,--,8:09:27 PM,3/14/2026,
28,7.6,gf,0.065,mm,OK,--,8:09:27 PM,3/14/2026,
29,8.2,gf,0.065,mm,OK,--,8:09:27 PM,3/14/2026,
30,8.8,gf,0.065,mm,OK,--,8:09:27 PM,3/14/2026,
31,9.6,gf,0.065,mm,OK,--,8:09:27 PM,3/14/2026,
32,10.4,gf,0.065,mm,OK,--,8:09:27 PM,3/14/2026,
33,11.0,gf,0.065,mm,OK,--,8:09:28 PM,3/14/2026,
34,11.5,gf,0.065,mm,OK,--,8:09:28 PM,3/14/2026,
35,12.0,gf,0.070,mm,OK,--,8:09:28 PM,3/14/2026,
36,13.2,gf,0.070,mm,OK,--,8:09:28 PM,3/14/2026,
37,13.6,gf,0.070,mm,OK,--,8:09:28 PM,3/14/2026,
38,14.5,gf,0.070,mm,OK,--,8:09:28 PM,3/14/2026,
39,15.1,gf,0.075,mm,OK,--,8:09:28 PM,3/14/2026,
40,15.7,gf,0.075,mm,OK,--,8:09:28 PM,3/14/2026,
41,16.2,gf,0.075,mm,OK,--,8:09:28 PM,3/14/2026,
