Maximum,199.9,@,No.1072,,,,,,
Minimum,-0.1,@,No.1,,,,,,
Average,45.19,,,,,,,,
Data Quantity,2084,,,,,,,,
Number of NG,0,,,,,,,,
No.,Force,Unit,Displacement,Unit,Judge,Position,Time,Date,
1,-0.1,gf,0.000,mm,OK,--,7:32:17 PM,1/25/2026,
2,-0.1,gf,0.000,mm,OK,--,7:32:17 PM,1/25/2026,
3,0.1,gf,0.000,mm,OK,--,7:32:17 PM,1/25/2026,
4,0.0,gf,0.000,mm,OK,--,7:32:17 PM,1/25/2026,
5,0.0,gf,0.000,mm,OK,--,7:32:17 PM,1/25/2026,
6,0.0,gf,0.000,mm,OK,--,7:32:17 PM,1/25/2026,
7,0.0,gf,0.000,mm,OK,--,7:32:17 PM,1/25/2026,
8,0.1,gf,0.005,mm,OK,--,7:32:18 PM,1/25/2026,
9,-0.1,gf,0.005,mm,OK,--,7:32:18 PM,1/25/2026,
10,-0.1,gf,0.005,mm,OK,--,7:32:18 PM,1/25/2026,
11,0.4,gf,0.005,mm,OK,--,7:32:18 PM,1/25/2026,
12,0.1,gf,0.005,mm,OK,--,7:32:18 PM,1/25/2026,
13,-0.1,gf,0.005,mm,OK,--,7:32:18 PM,1/25/2026,
14,0.0,gf,0.010,mm,OK,--,7:32:18 PM,1/25/2026,
15,0.1,gf,0.010,mm,OK,--,7:32:18 PM,1/25/2026,
16,0.0,gf,0.010,mm,OK,--,7:32:18 PM,1/25/2026,
17,0.0,gf,0.010,mm,OK,--,7:32:18 PM,1/25/2026,
18,0.0,gf,0.010,mm,OK,--,7:32:19 PM,1/25/2026,
19,0.0,gf,0.015,mm,OK,--,7:32:19 PM,1/25/2026,
20,0.1,gf,0.015,mm,OK,--,7:32:19 PM,1/25/2026,
21,0.0,gf,0.015,mm,OK,--,7:32:19 PM,1/25/2026,
22,0.0,gf,0.015,mm,OK,--,7:32:19 PM,1/25/2026,
23,0.0,gf,0.020,mm,OK,--,7:32:19 PM,1/25/2026,
24,-0.1,gf,0.020,mm,OK,--,7:32:19 PM,1/25/2026,
25,0.0,gf,0.020,mm,OK,--,7:32:19 PM,1/25/2026,
26,0.0,gf,0.020,mm,OK,--,7:32:19 PM,1/25/2026,
27,0.0,gf,0.020,mm,OK,--,7:32:19 PM,1/25/2026,
28,0.0,gf,0.020,mm,OK,--,7:32:20 PM,1/25/2026,
29,-0.1,gf,0.025,mm,OK,--,7:32:20 PM,1/25/2026,
30,0.0,gf,0.025,mm,OK,--,7:32:20 PM,1/25/2026,
31,0.1,gf,0.025,mm,OK,--,7:32:20 PM,1/25/2026,
32,0.9,gf,0.030,mm,OK,--,7:32:20 PM,1/25/2026,
33,2.8,gf,0.030,mm,OK,--,7:32:20 PM,1/25/2026,
34,5.3,gf,0.035,mm,OK,--,7:32:20 PM,1/25/2026,
35,7.2,gf,0.035,mm,OK,--,7:32:20 PM,1/25/2026,
36,8.5,gf,0.040,mm,OK,--,7:32:20 PM,1/25/2026,
37,9.5,gf,0.040,mm,OK,--,7:32:20 PM,1/25/2026,
38,9.5,gf,0.040,mm,OK,--,7:32:21 PM,1/25/2026,
39,9.6,gf,0.045,mm,OK,--,7:32:21 PM,1/25/2026,
40,9.6,gf,0.045,mm,OK,--,7:32:21 PM,1/25/2026,
41,9.8,gf,0.045,mm,OK,--,7:32:21 PM,1/25/2026,
42,10.3,gf,0.050,mm,OK,--,7:32:21 PM,1/25/2026,
43,11.6,gf,0.050,mm,OK,--,7:32:21 PM,1/25/2026,
44,14.1,gf,0.050,mm,OK,--,7:32:21 PM,1/25/2026,
45,16.0,gf,0.055,mm,OK,--,7:32:21 PM,1/25/2026,
46,17.8,gf,0.055,mm,OK,--,7:32:21 PM,1/25/2026,
47,19.0,gf,0.060,mm,OK,--,7:32:21 PM,1/25/2026,
48,20.3,gf,0.060,mm,OK,--,7:32:22 PM,1/25/2026,
49,21.6,gf,0.060,mm,OK,--,7:32:22 PM,1/25/2026,
50,22.6,gf,0.065,mm,OK,--,7:32:22 PM,1/25/2026,
51,23.1,gf,0.065,mm,OK,--,7:32:22 PM,1/25/2026,
52,23.6,gf,0.065,mm,OK,--,7:32:22 PM,1/25/2026,
53,24.0,gf,0.065,mm,OK,--,7:32:22 PM,1/25/2026,
54,24.2,gf,0.065,mm,OK,--,7:32:22 PM,1/25/2026,
55,24.7,gf,0.070,mm,OK,--,7:32:22 PM,1/25/2026,
56,25.4,gf,0.070,mm,OK,--,7:32:22 PM,1/25/2026,
57,26.3,gf,0.070,mm,OK,--,7:32:22 PM,1/25/2026,
58,26.8,gf,0.075,mm,OK,--,7:32:23 PM,1/25/2026,
59,27.3,gf,0.075,mm,OK,--,7:32:23 PM,1/25/2026,
60,28.0,gf,0.075,mm,OK,--,7:32:23 PM,1/25/2026,
61,28.5,gf,0.075,mm,OK,--,7:32:23 PM,1/25/2026,
62,29.0,gf,0.080,mm,OK,--,7:32:23 PM,1/25/2026,
63,29.6,gf,0.080,mm,OK,--,7:32:23 PM,1/25/2026,
64,30.4,gf,0.080,mm,OK,--,7:32:23 PM,1/25/2026,
65,31.4,gf,0.085,mm,OK,--,7:32:23 PM,1/25/2026,
66,32.0,gf,0.085,mm,OK,--,7:32:23 PM,1/25/2026,
67,32.4,gf,0.085,mm,OK,--,7:32:23 PM,1/25/2026,
68,32.1,gf,0.090,mm,OK,--,7:32:24 PM,1/25/2026,
69,30.6,gf,0.090,mm,OK,--,7:32:24 PM,1/25/2026,
70,29.6,gf,0.095,mm,OK,--,7:32:24 PM,1/25/2026,
71,30.1,gf,0.095,mm,OK,--,7:32:24 PM,1/25/2026,
72,31.0,gf,0.100,mm,OK,--,7:32:24 PM,1/25/2026,
73,31.8,gf,0.100,mm,OK,--,7:32:24 PM,1/25/2026,
74,32.4,gf,0.105,mm,OK,--,7:32:24 PM,1/25/2026,
75,32.8,gf,0.105,mm,OK,--,7:32:24 PM,1/25/2026,
76,33.1,gf,0.110,mm,OK,--,7:32:24 PM,1/25/2026,
77,33.2,gf,0.110,mm,OK,--,7:32:24 PM,1/25/2026,
78,33.3,gf,0.115,mm,OK,--,7:32:25 PM,1/25/2026,
79,33.7,gf,0.120,mm,OK,--,7:32:25 PM,1/25/2026,
80,34.8,gf,0.120,mm,OK,--,7:32:25 PM,1/25/2026,
81,34.9,gf,0.125,mm,OK,--,7:32:25 PM,1/25/2026,
82,34.6,gf,0.125,mm,OK,--,7:32:25 PM,1/25/2026,
83,34.4,gf,0.125,mm,OK,--,7:32:25 PM,1/25/2026,
84,34.8,gf,0.125,mm,OK,--,7:32:25 PM,1/25/2026,
85,34.8,gf,0.130,mm,OK,--,7:32:25 PM,1/25/2026,
86,35.0,gf,0.130,mm,OK,--,7:32:25 PM,1/25/2026,
