Maximum,190.8,@,No.924,,,,,,
Minimum,-0.6,@,No.1869,,,,,,
Average,51.86,,,,,,,,
Data Quantity,1883,,,,,,,,
Number of NG,0,,,,,,,,
No.,Force,Unit,Displacement,Unit,Judge,Position,Time,Date,
1,-0.1,gf,0.000,mm,OK,--,7:28:42 PM,1/25/2026,
2,-0.1,gf,0.000,mm,OK,--,7:28:43 PM,1/25/2026,
3,0.1,gf,0.000,mm,OK,--,7:28:43 PM,1/25/2026,
4,0.1,gf,0.000,mm,OK,--,7:28:43 PM,1/25/2026,
5,-0.1,gf,0.000,mm,OK,--,7:28:43 PM,1/25/2026,
6,-0.1,gf,0.000,mm,OK,--,7:28:43 PM,1/25/2026,
7,0.0,gf,0.000,mm,OK,--,7:28:43 PM,1/25/2026,
8,0.0,gf,0.000,mm,OK,--,7:28:43 PM,1/25/2026,
9,0.0,gf,0.005,mm,OK,--,7:28:43 PM,1/25/2026,
10,0.0,gf,0.005,mm,OK,--,7:28:43 PM,1/25/2026,
11,0.0,gf,0.005,mm,OK,--,7:28:43 PM,1/25/2026,
12,0.0,gf,0.005,mm,OK,--,7:28:44 PM,1/25/2026,
13,0.0,gf,0.005,mm,OK,--,7:28:44 PM,1/25/2026,
14,0.0,gf,0.005,mm,OK,--,7:28:44 PM,1/25/2026,
15,0.1,gf,0.010,mm,OK,--,7:28:44 PM,1/25/2026,
16,0.0,gf,0.010,mm,OK,--,7:28:44 PM,1/25/2026,
17,-0.1,gf,0.015,mm,OK,--,7:28:44 PM,1/25/2026,
18,-0.1,gf,0.015,mm,OK,--,7:28:44 PM,1/25/2026,
19,0.1,gf,0.020,mm,OK,--,7:28:44 PM,1/25/2026,
20,0.0,gf,0.020,mm,OK,--,7:28:44 PM,1/25/2026,
21,0.0,gf,0.025,mm,OK,--,7:28:44 PM,1/25/2026,
22,0.5,gf,0.025,mm,OK,--,7:28:45 PM,1/25/2026,
23,2.9,gf,0.030,mm,OK,--,7:28:45 PM,1/25/2026,
24,5.6,gf,0.030,mm,OK,--,7:28:45 PM,1/25/2026,
25,13.6,gf,0.040,mm,OK,--,7:28:45 PM,1/25/2026,
26,17.4,gf,0.045,mm,OK,--,7:28:45 PM,1/25/2026,
27,19.4,gf,0.045,mm,OK,--,7:28:45 PM,1/25/2026,
28,20.7,gf,0.050,mm,OK,--,7:28:45 PM,1/25/2026,
29,22.2,gf,0.050,mm,OK,--,7:28:45 PM,1/25/2026,
