Maximum,192.2,@,No.1176,,,,,
Minimum,-0.2,@,No.2388,,,,,
Average,54.46,,,,,,,
Data Quantity,2405,,,,,,,
Number of NG,0,,,,,,,
No.,Force,Unit,Displacement,Unit,Judge,Position,Time,Date
1,-0.1,gf,0,mm,OK,--,8:56:17 AM,1/10/2026
2,-0.1,gf,0,mm,OK,--,8:56:17 AM,1/10/2026
3,-0.1,gf,0,mm,OK,--,8:56:17 AM,1/10/2026
4,0,gf,0,mm,OK,--,8:56:17 AM,1/10/2026
5,0,gf,0,mm,OK,--,8:56:17 AM,1/10/2026
6,-0.1,gf,0,mm,OK,--,8:56:17 AM,1/10/2026
7,0,gf,0,mm,OK,--,8:56:17 AM,1/10/2026
8,0.1,gf,0,mm,OK,--,8:56:17 AM,1/10/2026
9,0,gf,0,mm,OK,--,8:56:17 AM,1/10/2026
10,0,gf,0,mm,OK,--,8:56:17 AM,1/10/2026
11,0,gf,0,mm,OK,--,8:56:17 AM,1/10/2026
12,0,gf,0,mm,OK,--,8:56:18 AM,1/10/2026
13,0,gf,0,mm,OK,--,8:56:18 AM,1/10/2026
14,0,gf,0,mm,OK,--,8:56:18 AM,1/10/2026
15,0,gf,0,mm,OK,--,8:56:18 AM,1/10/2026
16,0,gf,0,mm,OK,--,8:56:18 AM,1/10/2026
17,0,gf,0,mm,OK,--,8:56:18 AM,1/10/2026
18,0,gf,0,mm,OK,--,8:56:18 AM,1/10/2026
19,0,gf,0,mm,OK,--,8:56:18 AM,1/10/2026
20,-0.1,gf,0,mm,OK,--,8:56:18 AM,1/10/2026
21,0,gf,0,mm,OK,--,8:56:18 AM,1/10/2026
22,0,gf,0.005,mm,OK,--,8:56:19 AM,1/10/2026
23,-0.1,gf,0.005,mm,OK,--,8:56:19 AM,1/10/2026
24,0,gf,0.005,mm,OK,--,8:56:19 AM,1/10/2026
25,0,gf,0.01,mm,OK,--,8:56:19 AM,1/10/2026
26,0,gf,0.01,mm,OK,--,8:56:19 AM,1/10/2026
27,0,gf,0.02,mm,OK,--,8:56:19 AM,1/10/2026
28,0,gf,0.025,mm,OK,--,8:56:19 AM,1/10/2026
29,0,gf,0.035,mm,OK,--,8:56:19 AM,1/10/2026
30,0,gf,0.04,mm,OK,--,8:56:19 AM,1/10/2026
31,0,gf,0.045,mm,OK,--,8:56:19 AM,1/10/2026
32,0,gf,0.055,mm,OK,--,8:56:20 AM,1/10/2026
33,0,gf,0.06,mm,OK,--,8:56:20 AM,1/10/2026
34,-0.1,gf,0.065,mm,OK,--,8:56:20 AM,1/10/2026
35,0,gf,0.07,mm,OK,--,8:56:20 AM,1/10/2026
36,0,gf,0.08,mm,OK,--,8:56:20 AM,1/10/2026
37,-0.1,gf,0.085,mm,OK,--,8:56:20 AM,1/10/2026
38,0,gf,0.095,mm,OK,--,8:56:20 AM,1/10/2026
39,0,gf,0.1,mm,OK,--,8:56:20 AM,1/10/2026
40,0,gf,0.11,mm,OK,--,8:56:20 AM,1/10/2026
