Maximum,190.2,@,No.1041,,,,,,
Minimum,-0.3,@,No.1984,,,,,,
Average,47.18,,,,,,,,
Data Quantity,1996,,,,,,,,
Number of NG,0,,,,,,,,
No.,Force,Unit,Displacement,Unit,Judge,Position,Time,Date,
1,0.1,gf,0.000,mm,OK,--,8:27:24 PM,1/25/2026,
2,0.0,gf,0.000,mm,OK,--,8:27:24 PM,1/25/2026,
3,0.0,gf,0.000,mm,OK,--,8:27:24 PM,1/25/2026,
4,0.0,gf,0.000,mm,OK,--,8:27:24 PM,1/25/2026,
5,0.0,gf,0.000,mm,OK,--,8:27:24 PM,1/25/2026,
6,0.0,gf,0.000,mm,OK,--,8:27:24 PM,1/25/2026,
7,0.0,gf,0.000,mm,OK,--,8:27:25 PM,1/25/2026,
8,0.0,gf,0.000,mm,OK,--,8:27:25 PM,1/25/2026,
9,0.0,gf,0.000,mm,OK,--,8:27:25 PM,1/25/2026,
10,0.0,gf,0.000,mm,OK,--,8:27:25 PM,1/25/2026,
11,0.0,gf,0.000,mm,OK,--,8:27:25 PM,1/25/2026,
12,0.0,gf,0.000,mm,OK,--,8:27:25 PM,1/25/2026,
13,0.0,gf,0.005,mm,OK,--,8:27:25 PM,1/25/2026,
14,0.0,gf,0.005,mm,OK,--,8:27:25 PM,1/25/2026,
15,-0.1,gf,0.005,mm,OK,--,8:27:25 PM,1/25/2026,
16,-0.1,gf,0.005,mm,OK,--,8:27:25 PM,1/25/2026,
17,0.1,gf,0.010,mm,OK,--,8:27:26 PM,1/25/2026,
18,0.0,gf,0.010,mm,OK,--,8:27:26 PM,1/25/2026,
19,0.0,gf,0.010,mm,OK,--,8:27:26 PM,1/25/2026,
20,0.0,gf,0.015,mm,OK,--,8:27:26 PM,1/25/2026,
21,0.0,gf,0.015,mm,OK,--,8:27:26 PM,1/25/2026,
22,0.0,gf,0.015,mm,OK,--,8:27:26 PM,1/25/2026,
23,0.0,gf,0.020,mm,OK,--,8:27:26 PM,1/25/2026,
24,0.0,gf,0.020,mm,OK,--,8:27:26 PM,1/25/2026,
25,0.0,gf,0.020,mm,OK,--,8:27:26 PM,1/25/2026,
26,-0.1,gf,0.025,mm,OK,--,8:27:26 PM,1/25/2026,
27,0.0,gf,0.025,mm,OK,--,8:27:27 PM,1/25/2026,
28,0.0,gf,0.030,mm,OK,--,8:27:27 PM,1/25/2026,
29,0.0,gf,0.030,mm,OK,--,8:27:27 PM,1/25/2026,
30,0.0,gf,0.035,mm,OK,--,8:27:27 PM,1/25/2026,
31,0.0,gf,0.035,mm,OK,--,8:27:27 PM,1/25/2026,
32,0.0,gf,0.040,mm,OK,--,8:27:27 PM,1/25/2026,
33,0.0,gf,0.045,mm,OK,--,8:27:27 PM,1/25/2026,
34,1.8,gf,0.050,mm,OK,--,8:27:27 PM,1/25/2026,
35,6.0,gf,0.055,mm,OK,--,8:27:27 PM,1/25/2026,
36,9.0,gf,0.060,mm,OK,--,8:27:27 PM,1/25/2026,
37,10.8,gf,0.060,mm,OK,--,8:27:28 PM,1/25/2026,
38,12.0,gf,0.065,mm,OK,--,8:27:28 PM,1/25/2026,
39,13.1,gf,0.065,mm,OK,--,8:27:28 PM,1/25/2026,
40,14.7,gf,0.070,mm,OK,--,8:27:28 PM,1/25/2026,
41,15.8,gf,0.070,mm,OK,--,8:27:28 PM,1/25/2026,
42,16.8,gf,0.075,mm,OK,--,8:27:28 PM,1/25/2026,
43,17.7,gf,0.075,mm,OK,--,8:27:28 PM,1/25/2026,
44,18.9,gf,0.080,mm,OK,--,8:27:28 PM,1/25/2026,
45,19.8,gf,0.080,mm,OK,--,8:27:28 PM,1/25/2026,
46,20.6,gf,0.085,mm,OK,--,8:27:28 PM,1/25/2026,
47,21.4,gf,0.085,mm,OK,--,8:27:29 PM,1/25/2026,
48,22.0,gf,0.085,mm,OK,--,8:27:29 PM,1/25/2026,
49,22.4,gf,0.090,mm,OK,--,8:27:29 PM,1/25/2026,
50,22.7,gf,0.090,mm,OK,--,8:27:29 PM,1/25/2026,
51,23.1,gf,0.090,mm,OK,--,8:27:29 PM,1/25/2026,
52,23.6,gf,0.090,mm,OK,--,8:27:29 PM,1/25/2026,
53,23.9,gf,0.095,mm,OK,--,8:27:29 PM,1/25/2026,
54,24.4,gf,0.095,mm,OK,--,8:27:29 PM,1/25/2026,
55,24.8,gf,0.095,mm,OK,--,8:27:29 PM,1/25/2026,
56,25.2,gf,0.100,mm,OK,--,8:27:29 PM,1/25/2026,
57,25.8,gf,0.100,mm,OK,--,8:27:30 PM,1/25/2026,
58,26.6,gf,0.100,mm,OK,--,8:27:30 PM,1/25/2026,
59,27.4,gf,0.105,mm,OK,--,8:27:30 PM,1/25/2026,
60,27.8,gf,0.110,mm,OK,--,8:27:30 PM,1/25/2026,
61,28.0,gf,0.110,mm,OK,--,8:27:30 PM,1/25/2026,
62,28.3,gf,0.115,mm,OK,--,8:27:30 PM,1/25/2026,
63,28.8,gf,0.120,mm,OK,--,8:27:30 PM,1/25/2026,
64,29.2,gf,0.120,mm,OK,--,8:27:30 PM,1/25/2026,
65,29.6,gf,0.125,mm,OK,--,8:27:30 PM,1/25/2026,
66,29.9,gf,0.125,mm,OK,--,8:27:30 PM,1/25/2026,
67,30.4,gf,0.130,mm,OK,--,8:27:31 PM,1/25/2026,
68,30.7,gf,0.130,mm,OK,--,8:27:31 PM,1/25/2026,
69,31.0,gf,0.135,mm,OK,--,8:27:31 PM,1/25/2026,
70,31.5,gf,0.135,mm,OK,--,8:27:31 PM,1/25/2026,
71,31.7,gf,0.140,mm,OK,--,8:27:31 PM,1/25/2026,
72,31.9,gf,0.145,mm,OK,--,8:27:31 PM,1/25/2026,
73,31.9,gf,0.145,mm,OK,--,8:27:31 PM,1/25/2026,
74,32.0,gf,0.150,mm,OK,--,8:27:31 PM,1/25/2026,
75,32.1,gf,0.155,mm,OK,--,8:27:31 PM,1/25/2026,
76,32.1,gf,0.155,mm,OK,--,8:27:31 PM,1/25/2026,
77,32.0,gf,0.160,mm,OK,--,8:27:32 PM,1/25/2026,
78,32.0,gf,0.160,mm,OK,--,8:27:32 PM,1/25/2026,
79,32.0,gf,0.165,mm,OK,--,8:27:32 PM,1/25/2026,
80,32.1,gf,0.165,mm,OK,--,8:27:32 PM,1/25/2026,
81,32.1,gf,0.170,mm,OK,--,8:27:32 PM,1/25/2026,
82,32.1,gf,0.175,mm,OK,--,8:27:32 PM,1/25/2026,
83,32.0,gf,0.180,mm,OK,--,8:27:32 PM,1/25/2026,
84,32.0,gf,0.180,mm,OK,--,8:27:32 PM,1/25/2026,
85,32.0,gf,0.185,mm,OK,--,8:27:32 PM,1/25/2026,
86,32.0,gf,0.185,mm,OK,--,8:27:32 PM,1/25/2026,
87,31.9,gf,0.190,mm,OK,--,8:27:33 PM,1/25/2026,
88,31.9,gf,0.190,mm,OK,--,8:27:33 PM,1/25/2026,
89,31.9,gf,0.195,mm,OK,--,8:27:33 PM,1/25/2026,
90,31.8,gf,0.195,mm,OK,--,8:27:33 PM,1/25/2026,
91,31.8,gf,0.200,mm,OK,--,8:27:33 PM,1/25/2026,
92,31.8,gf,0.200,mm,OK,--,8:27:33 PM,1/25/2026,
93,31.8,gf,0.205,mm,OK,--,8:27:33 PM,1/25/2026,
94,31.9,gf,0.205,mm,OK,--,8:27:33 PM,1/25/2026,
95,31.9,gf,0.210,mm,OK,--,8:27:33 PM,1/25/2026,
96,31.8,gf,0.210,mm,OK,--,8:27:33 PM,1/25/2026,
97,31.8,gf,0.215,mm,OK,--,8:27:34 PM,1/25/2026,
98,31.7,gf,0.215,mm,OK,--,8:27:34 PM,1/25/2026,
99,31.8,gf,0.220,mm,OK,--,8:27:34 PM,1/25/2026,
100,31.8,gf,0.220,mm,OK,--,8:27:34 PM,1/25/2026,
101,31.8,gf,0.225,mm,OK,--,8:27:34 PM,1/25/2026,
102,31.8,gf,0.225,mm,OK,--,8:27:34 PM,1/25/2026,
103,31.7,gf,0.230,mm,OK,--,8:27:34 PM,1/25/2026,
104,31.7,gf,0.230,mm,OK,--,8:27:34 PM,1/25/2026,
105,31.7,gf,0.235,mm,OK,--,8:27:34 PM,1/25/2026,
106,31.6,gf,0.235,mm,OK,--,8:27:34 PM,1/25/2026,
107,31.7,gf,0.240,mm,OK,--,8:27:35 PM,1/25/2026,
108,31.7,gf,0.240,mm,OK,--,8:27:35 PM,1/25/2026,
109,31.7,gf,0.240,mm,OK,--,8:27:35 PM,1/25/2026,
110,31.8,gf,0.240,mm,OK,--,8:27:35 PM,1/25/2026,
111,31.7,gf,0.245,mm,OK,--,8:27:35 PM,1/25/2026,
112,31.7,gf,0.245,mm,OK,--,8:27:35 PM,1/25/2026,
113,31.8,gf,0.245,mm,OK,--,8:27:35 PM,1/25/2026,
114,31.9,gf,0.250,mm,OK,--,8:27:35 PM,1/25/2026,
115,32.0,gf,0.250,mm,OK,--,8:27:35 PM,1/25/2026,
116,32.0,gf,0.255,mm,OK,--,8:27:35 PM,1/25/2026,
117,31.8,gf,0.260,mm,OK,--,8:27:36 PM,1/25/2026,
118,31.8,gf,0.265,mm,OK,--,8:27:36 PM,1/25/2026,
119,31.7,gf,0.265,mm,OK,--,8:27:36 PM,1/25/2026,
120,31.8,gf,0.270,mm,OK,--,8:27:36 PM,1/25/2026,
121,31.9,gf,0.270,mm,OK,--,8:27:36 PM,1/25/2026,
122,31.9,gf,0.270,mm,OK,--,8:27:36 PM,1/25/2026,
123,31.9,gf,0.275,mm,OK,--,8:27:36 PM,1/25/2026,
124,32.0,gf,0.280,mm,OK,--,8:27:36 PM,1/25/2026,
125,32.0,gf,0.280,mm,OK,--,8:27:36 PM,1/25/2026,
126,32.0,gf,0.285,mm,OK,--,8:27:36 PM,1/25/2026,
127,31.8,gf,0.290,mm,OK,--,8:27:37 PM,1/25/2026,
128,31.8,gf,0.290,mm,OK,--,8:27:37 PM,1/25/2026,
129,31.8,gf,0.295,mm,OK,--,8:27:37 PM,1/25/2026,
130,31.8,gf,0.300,mm,OK,--,8:27:37 PM,1/25/2026,
131,31.7,gf,0.300,mm,OK,--,8:27:37 PM,1/25/2026,
132,31.9,gf,0.300,mm,OK,--,8:27:37 PM,1/25/2026,
133,31.7,gf,0.305,mm,OK,--,8:27:37 PM,1/25/2026,
134,31.7,gf,0.305,mm,OK,--,8:27:37 PM,1/25/2026,
135,31.9,gf,0.310,mm,OK,--,8:27:37 PM,1/25/2026,
136,32.0,gf,0.310,mm,OK,--,8:27:37 PM,1/25/2026,
137,32.1,gf,0.315,mm,OK,--,8:27:38 PM,1/25/2026,
138,32.0,gf,0.325,mm,OK,--,8:27:38 PM,1/25/2026,
139,32.0,gf,0.330,mm,OK,--,8:27:38 PM,1/25/2026,
140,32.1,gf,0.335,mm,OK,--,8:27:38 PM,1/25/2026,
141,32.1,gf,0.345,mm,OK,--,8:27:38 PM,1/25/2026,
142,32.2,gf,0.355,mm,OK,--,8:27:38 PM,1/25/2026,
143,31.9,gf,0.365,mm,OK,--,8:27:38 PM,1/25/2026,
144,31.7,gf,0.370,mm,OK,--,8:27:38 PM,1/25/2026,
145,31.6,gf,0.370,mm,OK,--,8:27:38 PM,1/25/2026,
