Maximum,191.6,@,No.1033,,,,,,
Minimum,-0.1,@,No.1,,,,,,
Average,47.92,,,,,,,,
Data Quantity,2003,,,,,,,,
Number of NG,0,,,,,,,,
No.,Force,Unit,Displacement,Unit,Judge,Position,Time,Date,
1,-0.1,gf,0.000,mm,OK,--,8:31:06 PM,1/25/2026,
2,0.0,gf,0.000,mm,OK,--,8:31:07 PM,1/25/2026,
3,0.0,gf,0.005,mm,OK,--,8:31:07 PM,1/25/2026,
4,0.0,gf,0.005,mm,OK,--,8:31:07 PM,1/25/2026,
5,0.0,gf,0.005,mm,OK,--,8:31:07 PM,1/25/2026,
6,0.0,gf,0.010,mm,OK,--,8:31:07 PM,1/25/2026,
7,0.0,gf,0.010,mm,OK,--,8:31:07 PM,1/25/2026,
8,0.0,gf,0.010,mm,OK,--,8:31:07 PM,1/25/2026,
9,0.3,gf,0.015,mm,OK,--,8:31:07 PM,1/25/2026,
10,0.0,gf,0.015,mm,OK,--,8:31:07 PM,1/25/2026,
11,-0.1,gf,0.020,mm,OK,--,8:31:07 PM,1/25/2026,
12,-0.1,gf,0.020,mm,OK,--,8:31:08 PM,1/25/2026,
13,0.0,gf,0.025,mm,OK,--,8:31:08 PM,1/25/2026,
14,0.0,gf,0.025,mm,OK,--,8:31:08 PM,1/25/2026,
15,0.0,gf,0.030,mm,OK,--,8:31:08 PM,1/25/2026,
16,1.7,gf,0.035,mm,OK,--,8:31:08 PM,1/25/2026,
17,5.3,gf,0.035,mm,OK,--,8:31:08 PM,1/25/2026,
18,7.5,gf,0.040,mm,OK,--,8:31:08 PM,1/25/2026,
19,8.3,gf,0.040,mm,OK,--,8:31:08 PM,1/25/2026,
20,8.9,gf,0.045,mm,OK,--,8:31:08 PM,1/25/2026,
21,9.6,gf,0.045,mm,OK,--,8:31:08 PM,1/25/2026,
22,10.2,gf,0.045,mm,OK,--,8:31:09 PM,1/25/2026,
23,10.6,gf,0.045,mm,OK,--,8:31:09 PM,1/25/2026,
24,10.8,gf,0.045,mm,OK,--,8:31:09 PM,1/25/2026,
25,11.1,gf,0.045,mm,OK,--,8:31:09 PM,1/25/2026,
26,11.5,gf,0.050,mm,OK,--,8:31:09 PM,1/25/2026,
27,11.9,gf,0.050,mm,OK,--,8:31:09 PM,1/25/2026,
28,12.5,gf,0.050,mm,OK,--,8:31:09 PM,1/25/2026,
29,13.3,gf,0.050,mm,OK,--,8:31:09 PM,1/25/2026,
30,14.1,gf,0.055,mm,OK,--,8:31:09 PM,1/25/2026,
31,15.1,gf,0.055,mm,OK,--,8:31:09 PM,1/25/2026,
32,15.6,gf,0.055,mm,OK,--,8:31:10 PM,1/25/2026,
33,16.2,gf,0.060,mm,OK,--,8:31:10 PM,1/25/2026,
34,17.0,gf,0.060,mm,OK,--,8:31:10 PM,1/25/2026,
35,18.2,gf,0.065,mm,OK,--,8:31:10 PM,1/25/2026,
36,19.6,gf,0.065,mm,OK,--,8:31:10 PM,1/25/2026,
37,21.2,gf,0.070,mm,OK,--,8:31:10 PM,1/25/2026,
38,21.9,gf,0.075,mm,OK,--,8:31:10 PM,1/25/2026,
39,22.2,gf,0.075,mm,OK,--,8:31:10 PM,1/25/2026,
40,22.8,gf,0.075,mm,OK,--,8:31:10 PM,1/25/2026,
41,23.6,gf,0.080,mm,OK,--,8:31:10 PM,1/25/2026,
42,24.4,gf,0.080,mm,OK,--,8:31:11 PM,1/25/2026,
43,25.2,gf,0.085,mm,OK,--,8:31:11 PM,1/25/2026,
44,25.5,gf,0.085,mm,OK,--,8:31:11 PM,1/25/2026,
45,26.0,gf,0.085,mm,OK,--,8:31:11 PM,1/25/2026,
46,26.3,gf,0.090,mm,OK,--,8:31:11 PM,1/25/2026,
47,26.7,gf,0.090,mm,OK,--,8:31:11 PM,1/25/2026,
48,27.7,gf,0.090,mm,OK,--,8:31:11 PM,1/25/2026,
49,28.1,gf,0.095,mm,OK,--,8:31:11 PM,1/25/2026,
50,28.4,gf,0.095,mm,OK,--,8:31:11 PM,1/25/2026,
