Maximum,188.8,@,No.854,,,,,,
Minimum,-0.3,@,No.1751,,,,,,
Average,44.69,,,,,,,,
Data Quantity,1768,,,,,,,,
Number of NG,0,,,,,,,,
No.,Force,Unit,Displacement,Unit,Judge,Position,Time,Date,
1,0.2,gf,0.000,mm,OK,--,4:15:56 PM,12/27/2025,
2,0.2,gf,0.000,mm,OK,--,4:15:56 PM,12/27/2025,
3,0.1,gf,0.000,mm,OK,--,4:15:56 PM,12/27/2025,
4,0.0,gf,0.000,mm,OK,--,4:15:57 PM,12/27/2025,
5,0.0,gf,0.000,mm,OK,--,4:15:57 PM,12/27/2025,
6,0.0,gf,0.000,mm,OK,--,4:15:57 PM,12/27/2025,
7,0.0,gf,0.000,mm,OK,--,4:15:57 PM,12/27/2025,
8,0.0,gf,0.005,mm,OK,--,4:15:57 PM,12/27/2025,
9,0.0,gf,0.005,mm,OK,--,4:15:57 PM,12/27/2025,
10,0.0,gf,0.005,mm,OK,--,4:15:57 PM,12/27/2025,
11,0.0,gf,0.010,mm,OK,--,4:15:57 PM,12/27/2025,
12,0.0,gf,0.010,mm,OK,--,4:15:57 PM,12/27/2025,
13,0.0,gf,0.010,mm,OK,--,4:15:57 PM,12/27/2025,
14,0.0,gf,0.015,mm,OK,--,4:15:58 PM,12/27/2025,
15,0.0,gf,0.015,mm,OK,--,4:15:58 PM,12/27/2025,
16,0.0,gf,0.015,mm,OK,--,4:15:58 PM,12/27/2025,
17,0.0,gf,0.020,mm,OK,--,4:15:58 PM,12/27/2025,
18,0.0,gf,0.020,mm,OK,--,4:15:58 PM,12/27/2025,
19,0.0,gf,0.020,mm,OK,--,4:15:58 PM,12/27/2025,
20,0.0,gf,0.020,mm,OK,--,4:15:58 PM,12/27/2025,
21,0.0,gf,0.025,mm,OK,--,4:15:58 PM,12/27/2025,
22,0.0,gf,0.025,mm,OK,--,4:15:58 PM,12/27/2025,
23,0.0,gf,0.025,mm,OK,--,4:15:58 PM,12/27/2025,
24,0.1,gf,0.025,mm,OK,--,4:15:59 PM,12/27/2025,
25,0.1,gf,0.025,mm,OK,--,4:15:59 PM,12/27/2025,
26,0.1,gf,0.030,mm,OK,--,4:15:59 PM,12/27/2025,
27,0.0,gf,0.030,mm,OK,--,4:15:59 PM,12/27/2025,
28,0.0,gf,0.030,mm,OK,--,4:15:59 PM,12/27/2025,
29,0.0,gf,0.030,mm,OK,--,4:15:59 PM,12/27/2025,
30,0.0,gf,0.030,mm,OK,--,4:15:59 PM,12/27/2025,
31,0.0,gf,0.030,mm,OK,--,4:15:59 PM,12/27/2025,
32,0.0,gf,0.030,mm,OK,--,4:15:59 PM,12/27/2025,
33,0.0,gf,0.030,mm,OK,--,4:15:59 PM,12/27/2025,
34,0.0,gf,0.030,mm,OK,--,4:16:00 PM,12/27/2025,
35,0.0,gf,0.035,mm,OK,--,4:16:00 PM,12/27/2025,
36,0.0,gf,0.035,mm,OK,--,4:16:00 PM,12/27/2025,
37,0.0,gf,0.035,mm,OK,--,4:16:00 PM,12/27/2025,
38,0.0,gf,0.035,mm,OK,--,4:16:00 PM,12/27/2025,
39,0.0,gf,0.040,mm,OK,--,4:16:00 PM,12/27/2025,
40,0.1,gf,0.040,mm,OK,--,4:16:00 PM,12/27/2025,
41,0.0,gf,0.040,mm,OK,--,4:16:00 PM,12/27/2025,
42,0.0,gf,0.045,mm,OK,--,4:16:00 PM,12/27/2025,
43,0.1,gf,0.045,mm,OK,--,4:16:00 PM,12/27/2025,
44,0.0,gf,0.045,mm,OK,--,4:16:01 PM,12/27/2025,
45,0.0,gf,0.050,mm,OK,--,4:16:01 PM,12/27/2025,
46,1.4,gf,0.050,mm,OK,--,4:16:01 PM,12/27/2025,
47,4.7,gf,0.055,mm,OK,--,4:16:01 PM,12/27/2025,
48,8.1,gf,0.060,mm,OK,--,4:16:01 PM,12/27/2025,
49,11.0,gf,0.060,mm,OK,--,4:16:01 PM,12/27/2025,
50,13.4,gf,0.065,mm,OK,--,4:16:01 PM,12/27/2025,
51,15.8,gf,0.065,mm,OK,--,4:16:01 PM,12/27/2025,
52,19.3,gf,0.070,mm,OK,--,4:16:01 PM,12/27/2025,
53,23.8,gf,0.075,mm,OK,--,4:16:01 PM,12/27/2025,
54,28.4,gf,0.080,mm,OK,--,4:16:02 PM,12/27/2025,
55,33.3,gf,0.090,mm,OK,--,4:16:02 PM,12/27/2025,
56,34.3,gf,0.095,mm,OK,--,4:16:02 PM,12/27/2025,
57,35.4,gf,0.100,mm,OK,--,4:16:02 PM,12/27/2025,
58,36.4,gf,0.105,mm,OK,--,4:16:02 PM,12/27/2025,
59,34.9,gf,0.110,mm,OK,--,4:16:02 PM,12/27/2025,
60,34.6,gf,0.115,mm,OK,--,4:16:02 PM,12/27/2025,
61,34.7,gf,0.120,mm,OK,--,4:16:02 PM,12/27/2025,
62,34.4,gf,0.130,mm,OK,--,4:16:02 PM,12/27/2025,
63,34.2,gf,0.135,mm,OK,--,4:16:02 PM,12/27/2025,
64,34.1,gf,0.145,mm,OK,--,4:16:03 PM,12/27/2025,
65,33.9,gf,0.150,mm,OK,--,4:16:03 PM,12/27/2025,
66,33.7,gf,0.160,mm,OK,--,4:16:03 PM,12/27/2025,
67,33.5,gf,0.165,mm,OK,--,4:16:03 PM,12/27/2025,
68,33.6,gf,0.170,mm,OK,--,4:16:03 PM,12/27/2025,
69,33.6,gf,0.180,mm,OK,--,4:16:03 PM,12/27/2025,
70,33.6,gf,0.185,mm,OK,--,4:16:03 PM,12/27/2025,
71,33.6,gf,0.195,mm,OK,--,4:16:03 PM,12/27/2025,
72,33.6,gf,0.200,mm,OK,--,4:16:03 PM,12/27/2025,
73,33.8,gf,0.205,mm,OK,--,4:16:03 PM,12/27/2025,
74,33.7,gf,0.215,mm,OK,--,4:16:04 PM,12/27/2025,
75,33.8,gf,0.225,mm,OK,--,4:16:04 PM,12/27/2025,
76,33.7,gf,0.235,mm,OK,--,4:16:04 PM,12/27/2025,
77,33.8,gf,0.245,mm,OK,--,4:16:04 PM,12/27/2025,
78,33.8,gf,0.250,mm,OK,--,4:16:04 PM,12/27/2025,
79,33.8,gf,0.260,mm,OK,--,4:16:04 PM,12/27/2025,
80,33.7,gf,0.265,mm,OK,--,4:16:04 PM,12/27/2025,
81,33.7,gf,0.270,mm,OK,--,4:16:04 PM,12/27/2025,
82,33.7,gf,0.275,mm,OK,--,4:16:04 PM,12/27/2025,
83,33.7,gf,0.275,mm,OK,--,4:16:04 PM,12/27/2025,
84,33.8,gf,0.280,mm,OK,--,4:16:05 PM,12/27/2025,
85,33.8,gf,0.285,mm,OK,--,4:16:05 PM,12/27/2025,
86,33.8,gf,0.290,mm,OK,--,4:16:05 PM,12/27/2025,
87,33.9,gf,0.295,mm,OK,--,4:16:05 PM,12/27/2025,
88,33.8,gf,0.300,mm,OK,--,4:16:05 PM,12/27/2025,
89,33.7,gf,0.300,mm,OK,--,4:16:05 PM,12/27/2025,
90,33.8,gf,0.305,mm,OK,--,4:16:05 PM,12/27/2025,
91,33.8,gf,0.310,mm,OK,--,4:16:05 PM,12/27/2025,
92,33.8,gf,0.310,mm,OK,--,4:16:05 PM,12/27/2025,
