Maximum,191.6,@,No.955,,,,,,
Minimum,-0.2,@,No.26,,,,,,
Average,48.31,,,,,,,,
Data Quantity,1578,,,,,,,,
Number of NG,0,,,,,,,,
No.,Force,Unit,Displacement,Unit,Judge,Position,Time,Date,
1,0.0,gf,0.000,mm,OK,--,4:12:53 PM,12/27/2025,
2,0.0,gf,0.000,mm,OK,--,4:12:53 PM,12/27/2025,
3,0.0,gf,0.000,mm,OK,--,4:12:53 PM,12/27/2025,
4,0.0,gf,0.000,mm,OK,--,4:12:53 PM,12/27/2025,
5,0.0,gf,0.000,mm,OK,--,4:12:53 PM,12/27/2025,
6,0.0,gf,0.000,mm,OK,--,4:12:53 PM,12/27/2025,
7,0.0,gf,0.000,mm,OK,--,4:12:53 PM,12/27/2025,
8,0.0,gf,0.000,mm,OK,--,4:12:53 PM,12/27/2025,
9,0.0,gf,0.000,mm,OK,--,4:12:53 PM,12/27/2025,
10,0.0,gf,0.000,mm,OK,--,4:12:54 PM,12/27/2025,
11,0.0,gf,0.000,mm,OK,--,4:12:54 PM,12/27/2025,
12,0.0,gf,0.000,mm,OK,--,4:12:54 PM,12/27/2025,
13,-0.1,gf,0.000,mm,OK,--,4:12:54 PM,12/27/2025,
14,0.0,gf,0.000,mm,OK,--,4:12:54 PM,12/27/2025,
15,0.0,gf,0.000,mm,OK,--,4:12:54 PM,12/27/2025,
16,0.0,gf,0.000,mm,OK,--,4:12:54 PM,12/27/2025,
17,0.0,gf,0.000,mm,OK,--,4:12:54 PM,12/27/2025,
18,0.0,gf,0.000,mm,OK,--,4:12:54 PM,12/27/2025,
19,0.0,gf,0.000,mm,OK,--,4:12:54 PM,12/27/2025,
20,0.0,gf,0.000,mm,OK,--,4:12:55 PM,12/27/2025,
21,0.1,gf,0.000,mm,OK,--,4:12:55 PM,12/27/2025,
22,0.1,gf,0.000,mm,OK,--,4:12:55 PM,12/27/2025,
23,0.0,gf,0.000,mm,OK,--,4:12:55 PM,12/27/2025,
24,0.0,gf,0.000,mm,OK,--,4:12:55 PM,12/27/2025,
25,0.1,gf,0.000,mm,OK,--,4:12:55 PM,12/27/2025,
26,-0.2,gf,0.000,mm,OK,--,4:12:55 PM,12/27/2025,
27,0.0,gf,0.005,mm,OK,--,4:12:55 PM,12/27/2025,
28,0.0,gf,0.005,mm,OK,--,4:12:55 PM,12/27/2025,
29,0.0,gf,0.005,mm,OK,--,4:12:55 PM,12/27/2025,
30,0.0,gf,0.010,mm,OK,--,4:12:56 PM,12/27/2025,
31,0.1,gf,0.010,mm,OK,--,4:12:56 PM,12/27/2025,
32,0.0,gf,0.015,mm,OK,--,4:12:56 PM,12/27/2025,
33,0.0,gf,0.015,mm,OK,--,4:12:56 PM,12/27/2025,
34,0.0,gf,0.020,mm,OK,--,4:12:56 PM,12/27/2025,
35,0.0,gf,0.020,mm,OK,--,4:12:56 PM,12/27/2025,
36,0.7,gf,0.025,mm,OK,--,4:12:56 PM,12/27/2025,
37,3.1,gf,0.030,mm,OK,--,4:12:56 PM,12/27/2025,
38,5.8,gf,0.030,mm,OK,--,4:12:56 PM,12/27/2025,
39,8.3,gf,0.035,mm,OK,--,4:12:56 PM,12/27/2025,
40,11.0,gf,0.035,mm,OK,--,4:12:57 PM,12/27/2025,
41,13.7,gf,0.040,mm,OK,--,4:12:57 PM,12/27/2025,
42,16.6,gf,0.040,mm,OK,--,4:12:57 PM,12/27/2025,
43,17.6,gf,0.045,mm,OK,--,4:12:57 PM,12/27/2025,
44,17.5,gf,0.045,mm,OK,--,4:12:57 PM,12/27/2025,
45,17.6,gf,0.045,mm,OK,--,4:12:57 PM,12/27/2025,
46,17.6,gf,0.045,mm,OK,--,4:12:57 PM,12/27/2025,
47,17.8,gf,0.045,mm,OK,--,4:12:57 PM,12/27/2025,
48,18.1,gf,0.045,mm,OK,--,4:12:57 PM,12/27/2025,
49,18.6,gf,0.045,mm,OK,--,4:12:57 PM,12/27/2025,
50,19.4,gf,0.045,mm,OK,--,4:12:58 PM,12/27/2025,
51,20.1,gf,0.045,mm,OK,--,4:12:58 PM,12/27/2025,
52,21.1,gf,0.045,mm,OK,--,4:12:58 PM,12/27/2025,
53,22.3,gf,0.050,mm,OK,--,4:12:58 PM,12/27/2025,
54,23.7,gf,0.050,mm,OK,--,4:12:58 PM,12/27/2025,
55,25.1,gf,0.050,mm,OK,--,4:12:58 PM,12/27/2025,
56,26.3,gf,0.050,mm,OK,--,4:12:58 PM,12/27/2025,
57,27.5,gf,0.055,mm,OK,--,4:12:58 PM,12/27/2025,
58,28.6,gf,0.055,mm,OK,--,4:12:58 PM,12/27/2025,
59,29.5,gf,0.055,mm,OK,--,4:12:58 PM,12/27/2025,
60,30.5,gf,0.055,mm,OK,--,4:12:59 PM,12/27/2025,
61,31.8,gf,0.060,mm,OK,--,4:12:59 PM,12/27/2025,
62,33.2,gf,0.060,mm,OK,--,4:12:59 PM,12/27/2025,
63,33.8,gf,0.060,mm,OK,--,4:12:59 PM,12/27/2025,
64,34.2,gf,0.065,mm,OK,--,4:12:59 PM,12/27/2025,
65,34.3,gf,0.065,mm,OK,--,4:12:59 PM,12/27/2025,
66,34.5,gf,0.065,mm,OK,--,4:12:59 PM,12/27/2025,
67,34.6,gf,0.065,mm,OK,--,4:12:59 PM,12/27/2025,
68,34.8,gf,0.065,mm,OK,--,4:12:59 PM,12/27/2025,
69,35.0,gf,0.065,mm,OK,--,4:12:59 PM,12/27/2025,
70,35.4,gf,0.070,mm,OK,--,4:13:00 PM,12/27/2025,
71,35.8,gf,0.070,mm,OK,--,4:13:00 PM,12/27/2025,
72,35.8,gf,0.070,mm,OK,--,4:13:00 PM,12/27/2025,
73,35.9,gf,0.070,mm,OK,--,4:13:00 PM,12/27/2025,
74,36.0,gf,0.070,mm,OK,--,4:13:00 PM,12/27/2025,
75,36.1,gf,0.070,mm,OK,--,4:13:00 PM,12/27/2025,
76,36.2,gf,0.070,mm,OK,--,4:13:00 PM,12/27/2025,
77,36.5,gf,0.070,mm,OK,--,4:13:00 PM,12/27/2025,
78,36.6,gf,0.075,mm,OK,--,4:13:00 PM,12/27/2025,
79,36.9,gf,0.075,mm,OK,--,4:13:00 PM,12/27/2025,
80,37.0,gf,0.075,mm,OK,--,4:13:01 PM,12/27/2025,
