Maximum,191.4,@,No.1123,,,,,,
Minimum,-0.2,@,No.7,,,,,,
Average,55.23,,,,,,,,
Data Quantity,2183,,,,,,,,
Number of NG,0,,,,,,,,
No.,Force,Unit,Displacement,Unit,Judge,Position,Time,Date,
1,-0.1,gf,0.000,mm,OK,--,4:06:52 PM,12/27/2025,
2,-0.1,gf,0.000,mm,OK,--,4:06:52 PM,12/27/2025,
3,0.0,gf,0.000,mm,OK,--,4:06:52 PM,12/27/2025,
4,0.0,gf,0.000,mm,OK,--,4:06:52 PM,12/27/2025,
5,0.0,gf,0.000,mm,OK,--,4:06:52 PM,12/27/2025,
6,0.0,gf,0.000,mm,OK,--,4:06:52 PM,12/27/2025,
7,-0.2,gf,0.000,mm,OK,--,4:06:52 PM,12/27/2025,
8,0.0,gf,0.000,mm,OK,--,4:06:53 PM,12/27/2025,
9,0.0,gf,0.000,mm,OK,--,4:06:53 PM,12/27/2025,
10,0.0,gf,0.000,mm,OK,--,4:06:53 PM,12/27/2025,
11,0.0,gf,0.000,mm,OK,--,4:06:53 PM,12/27/2025,
12,0.0,gf,0.000,mm,OK,--,4:06:53 PM,12/27/2025,
13,0.0,gf,0.000,mm,OK,--,4:06:53 PM,12/27/2025,
14,0.0,gf,0.000,mm,OK,--,4:06:53 PM,12/27/2025,
15,0.0,gf,0.000,mm,OK,--,4:06:53 PM,12/27/2025,
16,0.0,gf,0.005,mm,OK,--,4:06:53 PM,12/27/2025,
17,0.0,gf,0.005,mm,OK,--,4:06:53 PM,12/27/2025,
18,0.0,gf,0.005,mm,OK,--,4:06:54 PM,12/27/2025,
19,0.1,gf,0.005,mm,OK,--,4:06:54 PM,12/27/2025,
20,0.0,gf,0.010,mm,OK,--,4:06:54 PM,12/27/2025,
21,0.0,gf,0.010,mm,OK,--,4:06:54 PM,12/27/2025,
22,0.0,gf,0.015,mm,OK,--,4:06:54 PM,12/27/2025,
23,0.0,gf,0.015,mm,OK,--,4:06:54 PM,12/27/2025,
24,1.8,gf,0.020,mm,OK,--,4:06:54 PM,12/27/2025,
25,4.6,gf,0.020,mm,OK,--,4:06:54 PM,12/27/2025,
26,7.2,gf,0.025,mm,OK,--,4:06:54 PM,12/27/2025,
27,9.5,gf,0.030,mm,OK,--,4:06:54 PM,12/27/2025,
28,11.1,gf,0.030,mm,OK,--,4:06:55 PM,12/27/2025,
29,12.1,gf,0.030,mm,OK,--,4:06:55 PM,12/27/2025,
30,13.5,gf,0.035,mm,OK,--,4:06:55 PM,12/27/2025,
31,14.5,gf,0.035,mm,OK,--,4:06:55 PM,12/27/2025,
32,15.3,gf,0.035,mm,OK,--,4:06:55 PM,12/27/2025,
33,15.9,gf,0.035,mm,OK,--,4:06:55 PM,12/27/2025,
34,17.0,gf,0.035,mm,OK,--,4:06:55 PM,12/27/2025,
35,18.2,gf,0.040,mm,OK,--,4:06:55 PM,12/27/2025,
36,19.9,gf,0.040,mm,OK,--,4:06:55 PM,12/27/2025,
37,21.5,gf,0.045,mm,OK,--,4:06:55 PM,12/27/2025,
38,22.8,gf,0.045,mm,OK,--,4:06:56 PM,12/27/2025,
39,23.5,gf,0.045,mm,OK,--,4:06:56 PM,12/27/2025,
40,24.3,gf,0.050,mm,OK,--,4:06:56 PM,12/27/2025,
41,25.6,gf,0.050,mm,OK,--,4:06:56 PM,12/27/2025,
42,27.2,gf,0.055,mm,OK,--,4:06:56 PM,12/27/2025,
43,28.7,gf,0.055,mm,OK,--,4:06:56 PM,12/27/2025,
44,30.2,gf,0.055,mm,OK,--,4:06:56 PM,12/27/2025,
45,31.3,gf,0.060,mm,OK,--,4:06:56 PM,12/27/2025,
46,32.3,gf,0.060,mm,OK,--,4:06:56 PM,12/27/2025,
47,33.2,gf,0.060,mm,OK,--,4:06:56 PM,12/27/2025,
48,33.9,gf,0.065,mm,OK,--,4:06:57 PM,12/27/2025,
49,34.2,gf,0.065,mm,OK,--,4:06:57 PM,12/27/2025,
50,34.3,gf,0.065,mm,OK,--,4:06:57 PM,12/27/2025,
51,35.0,gf,0.065,mm,OK,--,4:06:57 PM,12/27/2025,
