Maximum,191.5,@,No.906,,,,,,
Minimum,-0.2,@,No.1828,,,,,,
Average,53.94,,,,,,,,
Data Quantity,1853,,,,,,,,
Number of NG,0,,,,,,,,
No.,Force,Unit,Displacement,Unit,Judge,Position,Time,Date,
1,0.0,gf,0.000,mm,OK,--,9:26:19 AM,1/10/2026,
2,0.0,gf,0.000,mm,OK,--,9:26:19 AM,1/10/2026,
3,0.0,gf,0.000,mm,OK,--,9:26:19 AM,1/10/2026,
4,0.0,gf,0.000,mm,OK,--,9:26:19 AM,1/10/2026,
5,0.0,gf,0.000,mm,OK,--,9:26:19 AM,1/10/2026,
6,0.0,gf,0.000,mm,OK,--,9:26:19 AM,1/10/2026,
7,0.0,gf,0.000,mm,OK,--,9:26:19 AM,1/10/2026,
8,0.0,gf,0.000,mm,OK,--,9:26:19 AM,1/10/2026,
9,0.0,gf,0.000,mm,OK,--,9:26:19 AM,1/10/2026,
10,0.0,gf,0.000,mm,OK,--,9:26:20 AM,1/10/2026,
11,0.1,gf,0.000,mm,OK,--,9:26:20 AM,1/10/2026,
12,0.0,gf,0.000,mm,OK,--,9:26:20 AM,1/10/2026,
13,0.0,gf,0.000,mm,OK,--,9:26:20 AM,1/10/2026,
14,0.1,gf,0.000,mm,OK,--,9:26:20 AM,1/10/2026,
15,0.0,gf,0.000,mm,OK,--,9:26:20 AM,1/10/2026,
16,0.0,gf,0.000,mm,OK,--,9:26:20 AM,1/10/2026,
17,0.0,gf,0.000,mm,OK,--,9:26:20 AM,1/10/2026,
18,0.0,gf,0.000,mm,OK,--,9:26:20 AM,1/10/2026,
19,0.0,gf,0.005,mm,OK,--,9:26:20 AM,1/10/2026,
20,0.0,gf,0.005,mm,OK,--,9:26:21 AM,1/10/2026,
21,0.0,gf,0.005,mm,OK,--,9:26:21 AM,1/10/2026,
22,0.0,gf,0.010,mm,OK,--,9:26:21 AM,1/10/2026,
23,0.0,gf,0.010,mm,OK,--,9:26:21 AM,1/10/2026,
24,0.0,gf,0.015,mm,OK,--,9:26:21 AM,1/10/2026,
25,0.0,gf,0.020,mm,OK,--,9:26:21 AM,1/10/2026,
26,0.0,gf,0.025,mm,OK,--,9:26:21 AM,1/10/2026,
27,0.0,gf,0.025,mm,OK,--,9:26:21 AM,1/10/2026,
28,0.0,gf,0.030,mm,OK,--,9:26:21 AM,1/10/2026,
29,-0.1,gf,0.030,mm,OK,--,9:26:21 AM,1/10/2026,
30,0.0,gf,0.035,mm,OK,--,9:26:22 AM,1/10/2026,
31,0.0,gf,0.040,mm,OK,--,9:26:22 AM,1/10/2026,
32,-0.1,gf,0.045,mm,OK,--,9:26:22 AM,1/10/2026,
33,0.0,gf,0.050,mm,OK,--,9:26:22 AM,1/10/2026,
34,0.0,gf,0.060,mm,OK,--,9:26:22 AM,1/10/2026,
35,0.0,gf,0.065,mm,OK,--,9:26:22 AM,1/10/2026,
36,0.0,gf,0.070,mm,OK,--,9:26:22 AM,1/10/2026,
37,0.0,gf,0.075,mm,OK,--,9:26:22 AM,1/10/2026,
38,0.0,gf,0.080,mm,OK,--,9:26:22 AM,1/10/2026,
39,0.0,gf,0.085,mm,OK,--,9:26:22 AM,1/10/2026,
40,0.0,gf,0.090,mm,OK,--,9:26:23 AM,1/10/2026,
41,0.0,gf,0.095,mm,OK,--,9:26:23 AM,1/10/2026,
42,0.0,gf,0.105,mm,OK,--,9:26:23 AM,1/10/2026,
43,0.0,gf,0.110,mm,OK,--,9:26:23 AM,1/10/2026,
44,-0.1,gf,0.120,mm,OK,--,9:26:23 AM,1/10/2026,
45,0.0,gf,0.130,mm,OK,--,9:26:23 AM,1/10/2026,
46,0.0,gf,0.145,mm,OK,--,9:26:23 AM,1/10/2026,
47,3.7,gf,0.155,mm,OK,--,9:26:23 AM,1/10/2026,
48,9.7,gf,0.165,mm,OK,--,9:26:23 AM,1/10/2026,
49,15.9,gf,0.170,mm,OK,--,9:26:23 AM,1/10/2026,
50,22.4,gf,0.180,mm,OK,--,9:26:24 AM,1/10/2026,
51,29.1,gf,0.185,mm,OK,--,9:26:24 AM,1/10/2026,
52,35.9,gf,0.195,mm,OK,--,9:26:24 AM,1/10/2026,
53,37.8,gf,0.200,mm,OK,--,9:26:24 AM,1/10/2026,
54,35.9,gf,0.210,mm,OK,--,9:26:24 AM,1/10/2026,
55,35.7,gf,0.220,mm,OK,--,9:26:24 AM,1/10/2026,
56,35.5,gf,0.230,mm,OK,--,9:26:24 AM,1/10/2026,
57,35.5,gf,0.240,mm,OK,--,9:26:24 AM,1/10/2026,
58,35.6,gf,0.245,mm,OK,--,9:26:24 AM,1/10/2026,
59,35.7,gf,0.250,mm,OK,--,9:26:24 AM,1/10/2026,
60,35.8,gf,0.255,mm,OK,--,9:26:25 AM,1/10/2026,
61,35.8,gf,0.260,mm,OK,--,9:26:25 AM,1/10/2026,
62,35.8,gf,0.270,mm,OK,--,9:26:25 AM,1/10/2026,
63,35.9,gf,0.275,mm,OK,--,9:26:25 AM,1/10/2026,
64,35.9,gf,0.280,mm,OK,--,9:26:25 AM,1/10/2026,
